0,Ube4a
1,Tmub1
2,Taok3
10,Ager
14,Spop
15,Cirbp
16,Plscr1
17,Foxred2
18,Crhbp
19,Ruvbl1
21,Comt
22,Dnajb2
23,Prkra
24,Eid3
27,Smc1a
30,Clu
32,Fgf10
33,Eif2s1
39,Pak3
40,Ogt
41,Unc5cl
42,Ruvbl2
44,Slx4
51,Zfp709
52,Ube2g2
55,Nop53
59,Polh
65,Ripk2
71,Htra2
76,Map4k3
77,Cebpb
80,Rsl1d1
81,Tfap4
82,Cdk1
84,Polk
89,Ube2k
90,Pdgfra
91,Ncor1
92,Angptl4
93,Trpc2
94,Ybx3
96,Rgma
97,Zmynd11
98,Ube2u
99,Calr
101,Cebpg
102,Gpr37l1
103,Srxn1
104,Btk
105,Hspa1a
106,Ssrp1
108,Stradb
109,Ptk2b
112,Tbx2
113,Sqstm1
114,Rtel1
120,Os9
125,Ero1l
128,Spo11
130,Smc2
132,Ankrd6
133,Prdx2
136,Mgme1
139,Parp3
143,St8sia1
144,Stk3
145,Cdk5rap3
147,Mtor
152,Dkk1
153,Brf2
154,Msh5
157,Atf4
173,Rpain
174,Ass1
175,Sel1l
179,Nprl3
181,Ypel3
182,Clec16a
183,Trip13
185,Arnt
186,Pdcd6
187,App
188,Apoe
190,Apoa4
192,Pea15a
193,Tnf
200,Apoa1
202,Apex1
208,Stk10
209,Rad51b
214,Apc
215,Prkdc
224,Cdk2
226,Dnajb12
228,Dnajb1
229,Cdkn2a
237,Aida
243,Msh3
252,Bhlha15
254,Dnaja1
257,Ulk1
260,Spag9
261,Epha4
264,Ufc1
265,Ercc4
279,Ppargc1a
280,Klf2
283,Wdr24
284,Uba7
285,Serinc3
286,Tldc1
287,Ern2
291,Xrcc3
296,Exo1
300,5730559C18Rik
301,Tipin
305,Fbxo2
306,Aifm1
307,Cops5
309,Mtmr3
310,Hrk
311,Dapk1
312,Dab2ip
318,Ap5s1
321,Helb
327,Vkorc1l1
328,Lep
330,Rora
331,Ube2e2
332,Tgfbr3
333,Pmaip1
338,Mdfic
339,Txndc2
340,Map4k4
343,Bcl10
344,Eif2b5
345,Zfp580
346,Atg7
352,Parp16
354,Tlk1
355,Mif
360,Fgd2
361,Cd36
364,Creb3l1
369,Cdc42se1
370,Hk2
371,Pcsk9
373,Wdr48
375,Mapkbp1
376,Adam8
377,Cul4a
381,Cinp
383,AI314180
384,Nprl2
387,Wnt2b
388,Dusp15
389,Uchl5
391,Ube2t
394,Creb3l2
395,Ccdc47
397,Rnaseh2b
398,Fan1
405,Cpeb2
408,Clspn
412,Skil
413,Mnat1
415,Cdc42
416,Tonsl
417,Tmx1
419,Prpf19
423,Stk26
426,Gadd45a
430,Aup1
432,Rev1
436,Serp2
437,Gadd45b
439,Apbb1
445,Gfer
446,Atg14
449,Casp3
452,Tmx3
453,Casp4
454,Bfar
456,Nucks1
458,Psmc6
459,Romo1
460,Nf1
461,Vash1
462,Gm6811
463,Hspb1
465,Kptn
467,Hsf1
476,Tnfaip3
477,Foxm1
484,Hras
486,Foxa3
487,Trpa1
489,Map3k13
491,Ppp1r15b
495,Vps13c
496,Kat7
497,Ern1
509,Get4
510,Pml
520,Rnase4
521,Cpeb4
522,Bcap31
524,H2afx
529,Bcl2a1a
530,Smarcal1
532,Dek
534,Asns
535,Kcnd2
536,Atf3
539,Pla2g6
540,Batf
542,Xab2
545,Hp1bp3
546,Kcnk2
547,Ufd1
549,Ung
554,Rev3l
558,Atf2
561,Eya1
566,Eya2
569,Ubxn8
570,Eya3
575,Brca2
588,Phlpp1
592,Bnip3
596,Eya4
599,Hmox1
602,Hmga1
603,Hmgcr
604,Pcbp4
605,Rad18
611,Uggt2
