"","annotation","subannotation"
"O22.B002432.3_38_F.1.1","basal cells",NA
"N21.B002432.3_38_F.1.1","basal cells","Fos+"
"E10.B002432.3_38_F.1.1","basal cells","Chac1+Mthfd2+"
"F14.B002432.3_38_F.1.1","luminal progenitors",NA
"G19.B002432.3_38_F.1.1","stromal cells",NA
"J5.B002432.3_38_F.1.1","endothelial cells",NA
"K7.B002432.3_38_F.1.1","basal cells",NA
"L12.B002432.3_38_F.1.1","hormone responsive luminal cells",NA
"M18.B002432.3_38_F.1.1","stromal cells",NA
"N22.B002432.3_38_F.1.1","basal cells","Fos+"
"P1.B002432.3_38_F.1.1","basal cells","Fos+"
"P2.B002432.3_38_F.1.1","basal cells","Ifgbp2+Igfbp4"
"A17.B002432.3_38_F.1.1","stromal cells",NA
"B20.B002432.3_38_F.1.1","stromal cells",NA
"D4.B002432.3_38_F.1.1","basal cells","1"
"G20.B002432.3_38_F.1.1","stromal cells",NA
"I2.B002432.3_38_F.1.1","basal cells","1"
"J6.B002432.3_38_F.1.1","endothelial cells",NA
"K9.B002432.3_38_F.1.1","basal cells","1"
"L13.B002432.3_38_F.1.1","hormone responsive luminal cells",NA
"M20.B002432.3_38_F.1.1","stromal cells",NA
"O1.B002432.3_38_F.1.1","basal cells","2"
"P3.B002432.3_38_F.1.1","basal cells","1"
"A18.B002432.3_38_F.1.1","stromal cells",NA
"B21.B002432.3_38_F.1.1","endothelial cells",NA
"D5.B002432.3_38_F.1.1","basal cells","1"
"E11.B002432.3_38_F.1.1","hormone responsive luminal cells",NA
"F15.B002432.3_38_F.1.1","luminal progenitors",NA
"K11.B002432.3_38_F.1.1","hormone responsive luminal cells",NA
"L14.B002432.3_38_F.1.1","luminal progenitors",NA
"M21.B002432.3_38_F.1.1","basal cells","1"
"O2.B002432.3_38_F.1.1","basal cells","1"
"P4.B002432.3_38_F.1.1","basal cells","1"
"A20.B002432.3_38_F.1.1","stromal cells",NA
"A19.B002432.3_38_F.1.1","stromal cells",NA
"C1.B002432.3_38_F.1.1","basal cells","1"
"E14.B002432.3_38_F.1.1","luminal progenitors",NA
"D6.B002432.3_38_F.1.1","basal cells","Fos+"
"E13.B002432.3_38_F.1.1","luminal progenitors",NA
"F16.B002432.3_38_F.1.1","stromal cells",NA
"G21.B002432.3_38_F.1.1","basal cells","1"
"I3.B002432.3_38_F.1.1","basal cells","1"
"J7.B002432.3_38_F.1.1","basal cells","1"
"F17.B002432.3_38_F.1.1","stromal cells",NA
"C2.B002432.3_38_F.1.1","basal cells","Id1+Id2+Pdfgrl+Wnt10a"
"D9.B002432.3_38_F.1.1","basal cells","1"
"E15.B002432.3_38_F.1.1","luminal progenitors",NA
"F18.B002432.3_38_F.1.1","stromal cells",NA
"H1.B002432.3_38_F.1.1","basal cells","1"
"G22.B002432.3_38_F.1.1","basal cells","1"
"I5.B002432.3_38_F.1.1","basal cells","1"
"J9.B002432.3_38_F.1.1","basal cells",NA
"K13.B002432.3_38_F.1.1","hormone responsive luminal cells",NA
"I4.B002432.3_38_F.1.1","basal cells","1"
"J8.B002432.3_38_F.1.1","basal cells","1"
"K12.B002432.3_38_F.1.1","luminal progenitors",NA
"L16.B002432.3_38_F.1.1","stromal cells",NA
"M22.B002432.3_38_F.1.1","basal cells","1"
"O3.B002432.3_38_F.1.1","basal cells","1"
"P6.B002432.3_38_F.1.1","basal cells","Id1+Id2+Pdfgrl+Wnt10a"
"L17.B002432.3_38_F.1.1","stromal cells",NA
"C3.B002432.3_38_F.1.1","basal cells","Fos+"
"D11.B002432.3_38_F.1.1","luminal progenitors",NA
"E16.B002432.3_38_F.1.1","stromal cells",NA
"F19.B002432.3_38_F.1.1","stromal cells",NA
"H2.B002432.3_38_F.1.1","basal cells","1"
"I6.B002432.3_38_F.1.1","basal cells","Ifgbp2+Igfbp4"
"J10.B002432.3_38_F.1.1","basal cells","1"
"K14.B002432.3_38_F.1.1","hormone responsive luminal cells",NA
"N1.B002432.3_38_F.1.1","endothelial cells",NA
"L18.B002432.3_38_F.1.1","stromal cells",NA
"N2.B002432.3_38_F.1.1","basal cells",NA
"O5.B002432.3_38_F.1.1","basal cells","1"
"O4.B002432.3_38_F.1.1","basal cells","Fos+"
"A22.B002432.3_38_F.1.1","endothelial cells",NA
"P8.B002432.3_38_F.1.1","basal cells",NA
"E17.B002432.3_38_F.1.1","stromal cells",NA
"F20.B002432.3_38_F.1.1","stromal cells",NA
"H3.B002432.3_38_F.1.1","basal cells","Fos+"
"I7.B002432.3_38_F.1.1","basal cells","Ifgbp2+Igfbp4"
"J11.B002432.3_38_F.1.1","hormone responsive luminal cells",NA
"K15.B002432.3_38_F.1.1","hormone responsive luminal cells",NA
"L19.B002432.3_38_F.1.1","stromal cells",NA
"N3.B002432.3_38_F.1.1","basal cells","Id1+Id2+Pdfgrl+Wnt10a"
"O6.B002432.3_38_F.1.1","basal cells","Ifgbp2+Igfbp4"
"P9.B002432.3_38_F.1.1","basal cells","Fos+"
"B1.B002432.3_38_F.1.1","basal cells",NA
"C4.B002432.3_38_F.1.1","basal cells",NA
"D12.B002432.3_38_F.1.1","luminal progenitors",NA
"I10.B002432.3_38_F.1.1","basal cells","1"
"J12.B002432.3_38_F.1.1","luminal progenitors",NA
"K16.B002432.3_38_F.1.1","stromal cells",NA
"L21.B002432.3_38_F.1.1","basal cells","1"
"N4.B002432.3_38_F.1.1","basal cells","1"
"O7.B002432.3_38_F.1.1","basal cells","Fos+"
"P10.B002432.3_38_F.1.1","basal cells","Fos+"
"B2.B002432.3_38_F.1.1","basal cells","1"
"C7.B002432.3_38_F.1.1","basal cells","1"
"D14.B002432.3_38_F.1.1","luminal progenitors",NA
"C5.B002432.3_38_F.1.1","basal cells","1"
"D13.B002432.3_38_F.1.1","luminal progenitors",NA
"E18.B002432.3_38_F.1.1","stromal cells",NA
"F21.B002432.3_38_F.1.1","basal cells",NA
"H4.B002432.3_38_F.1.1","hormone responsive luminal cells",NA
"E19.B002432.3_38_F.1.1","stromal cells",NA
"P11.B002432.3_38_F.1.1","luminal progenitors",NA
"A2.B002432.3_38_F.1.1","basal cells","1"
"B4.B002432.3_38_F.1.1","basal cells","1"
"C8.B002432.3_38_F.1.1","basal cells","1"
"D15.B002432.3_38_F.1.1","luminal progenitors",NA
"E20.B002432.3_38_F.1.1","stromal cells",NA
"G1.B002432.3_38_F.1.1","basal cells","1"
"H7.B002432.3_38_F.1.1","basal cells","1"
"F22.B002432.3_38_F.1.1","endothelial cells",NA
"I12.B002432.3_38_F.1.1","luminal progenitors",NA
"J14.B002432.3_38_F.1.1","hormone responsive luminal cells",NA
"K19.B002432.3_38_F.1.1","stromal cells",NA
"H6.B002432.3_38_F.1.1","endothelial cells",NA
"I11.B002432.3_38_F.1.1","luminal progenitors",NA
"J13.B002432.3_38_F.1.1","hormone responsive luminal cells",NA
"K17.B002432.3_38_F.1.1","stromal cells",NA
"L22.B002432.3_38_F.1.1","endothelial cells",NA
"N5.B002432.3_38_F.1.1","basal cells","Fos+"
"O8.B002432.3_38_F.1.1","basal cells","1"
"M1.B002432.3_38_F.1.1","basal cells","1"
"C9.B002432.3_38_F.1.1","basal cells","Ifgbp2+Igfbp4"
"D16.B002432.3_38_F.1.1","stromal cells",NA
"E21.B002432.3_38_F.1.1","endothelial cells",NA
"G2.B002432.3_38_F.1.1","basal cells","1"
"H8.B002432.3_38_F.1.1","basal cells","2"
"I13.B002432.3_38_F.1.1","luminal progenitors",NA
"J15.B002432.3_38_F.1.1","luminal progenitors",NA
"K20.B002432.3_38_F.1.1","stromal cells",NA
"N6.B002432.3_38_F.1.1","basal cells","1"
"M2.B002432.3_38_F.1.1","basal cells","1"
"N7.B002432.3_38_F.1.1","basal cells","1"
"O10.B002432.3_38_F.1.1","basal cells","2"
"O9.B002432.3_38_F.1.1","basal cells","1"
"P12.B002432.3_38_F.1.1","luminal progenitors",NA
"A3.B002432.3_38_F.1.1","basal cells","1"
"B5.B002432.3_38_F.1.1","basal cells","Ifgbp2+Igfbp4"
"P14.B002432.3_38_F.1.1","hormone responsive luminal cells",NA
"H9.B002432.3_38_F.1.1","basal cells","1"
"I14.B002432.3_38_F.1.1","hormone responsive luminal cells",NA
"J16.B002432.3_38_F.1.1","stromal cells",NA
"K21.B002432.3_38_F.1.1","basal cells","Fos+"
"M3.B002432.3_38_F.1.1","basal cells","1"
"N8.B002432.3_38_F.1.1","basal cells","1"
"O11.B002432.3_38_F.1.1","luminal progenitors",NA
"P15.B002432.3_38_F.1.1","hormone responsive luminal cells",NA
"A5.B002432.3_38_F.1.1","basal cells","Fos+"
"A4.B002432.3_38_F.1.1","basal cells","1"
"B6.B002432.3_38_F.1.1","basal cells","1"
"C11.B002432.3_38_F.1.1","luminal progenitors",NA
"D19.B002432.3_38_F.1.1","stromal cells",NA
"E22.B002432.3_38_F.1.1","basal cells",NA
"G3.B002432.3_38_F.1.1","basal cells","Fos+"
"B7.B002432.3_38_F.1.1","basal cells","Ifgbp2+Igfbp4"
"M4.B002432.3_38_F.1.1","basal cells","1"
"N9.B002432.3_38_F.1.1","basal cells","1"
"O12.B002432.3_38_F.1.1","luminal progenitors",NA
"P16.B002432.3_38_F.1.1","stromal cells",NA
"C12.B002432.3_38_F.1.1","luminal progenitors",NA
"B8.B002432.3_38_F.1.1","basal cells","1"
"C13.B002432.3_38_F.1.1","hormone responsive luminal cells",NA
"D21.B002432.3_38_F.1.1","basal cells","1"
"D20.B002432.3_38_F.1.1","stromal cells",NA
"F1.B002432.3_38_F.1.1","basal cells","2"
"G4.B002432.3_38_F.1.1","basal cells","1"
"H10.B002432.3_38_F.1.1","basal cells","1"
"I15.B002432.3_38_F.1.1","hormone responsive luminal cells",NA
"J17.B002432.3_38_F.1.1","stromal cells",NA
"K22.B002432.3_38_F.1.1","basal cells","1"
"F2.B002432.3_38_F.1.1","basal cells","1"
"P17.B002432.3_38_F.1.1","stromal cells",NA
"A7.B002432.3_38_F.1.1","basal cells","1"
"B9.B002432.3_38_F.1.1","basal cells","1"
"C14.B002432.3_38_F.1.1","luminal progenitors",NA
"D22.B002432.3_38_F.1.1","basal cells","1"
"F3.B002432.3_38_F.1.1","basal cells","Fos+"
"G6.B002432.3_38_F.1.1","basal cells","Ifgbp2+Igfbp4"
"G5.B002432.3_38_F.1.1","basal cells","Fos+"
"H12.B002432.3_38_F.1.1","hormone responsive luminal cells",NA
"I17.B002432.3_38_F.1.1","stromal cells",NA
"J19.B002432.3_38_F.1.1","stromal cells",NA
"H11.B002432.3_38_F.1.1","hormone responsive luminal cells",NA
"I16.B002432.3_38_F.1.1","stromal cells",NA
"J18.B002432.3_38_F.1.1","stromal cells",NA
"M5.B002432.3_38_F.1.1","basal cells","1"
"N11.B002432.3_38_F.1.1","luminal progenitors",NA
"O13.B002432.3_38_F.1.1","luminal progenitors",NA
"L2.B002432.3_38_F.1.1","basal cells","1"
"C15.B002432.3_38_F.1.1","luminal progenitors",NA
"E1.B002432.3_38_F.1.1","basal cells","Fos+"
"F4.B002432.3_38_F.1.1","basal cells","1"
"G7.B002432.3_38_F.1.1","basal cells","1"
"H14.B002432.3_38_F.1.1","luminal progenitors",NA
"I18.B002432.3_38_F.1.1","stromal cells",NA
"J20.B002432.3_38_F.1.1","stromal cells",NA
"L3.B002432.3_38_F.1.1","basal cells","1"
"M7.B002432.3_38_F.1.1","basal cells","1"
"N13.B002432.3_38_F.1.1","luminal progenitors",NA
"M6.B002432.3_38_F.1.1","endothelial cells",NA
"O15.B002432.3_38_F.1.1","luminal progenitors",NA
"P20.B002432.3_38_F.1.1","stromal cells",NA
"N12.B002432.3_38_F.1.1","luminal progenitors",NA
"O14.B002432.3_38_F.1.1","luminal progenitors",NA
"P19.B002432.3_38_F.1.1","stromal cells",NA
"B10.B002432.3_38_F.1.1","basal cells","1"
"I19.B002432.3_38_F.1.1","stromal cells",NA
"J21.B002432.3_38_F.1.1","basal cells","1"
"L4.B002432.3_38_F.1.1","basal cells","Fos+"
"N14.B002432.3_38_F.1.1","luminal progenitors",NA
"O16.B002432.3_38_F.1.1","stromal cells",NA
"P22.B002432.3_38_F.1.1","basal cells","1"
"B11.B002432.3_38_F.1.1","luminal progenitors",NA
"C16.B002432.3_38_F.1.1","stromal cells",NA
"E2.B002432.3_38_F.1.1","basal cells","2"
"F5.B002432.3_38_F.1.1","basal cells","1"
"G8.B002432.3_38_F.1.1","basal cells","Fos+"
"H15.B002432.3_38_F.1.1","luminal progenitors",NA
"B12.B002432.3_38_F.1.1","hormone responsive luminal cells",NA
"J22.B002432.3_38_F.1.1","basal cells",NA
"L5.B002432.3_38_F.1.1","basal cells","Ifgbp2+Igfbp4"
"M9.B002432.3_38_F.1.1","basal cells","1"
"N15.B002432.3_38_F.1.1","luminal progenitors",NA
"O17.B002432.3_38_F.1.1","stromal cells",NA
"C17.B002432.3_38_F.1.1","stromal cells",NA
"F6.B002432.3_38_F.1.1","basal cells","1"
"G10.B002432.3_38_F.1.1","basal cells","1"
"H16.B002432.3_38_F.1.1","stromal cells",NA
"I20.B002432.3_38_F.1.1","stromal cells",NA
"A2.B002433.3_38_F.1.1","basal cells","Ifgbp2+Igfbp4"
"A3.B002433.3_38_F.1.1","endothelial cells",NA
"A4.B002433.3_38_F.1.1","basal cells","Fos+"
"A6.B002433.3_38_F.1.1","basal cells","1"
"A7.B002433.3_38_F.1.1","basal cells","1"
"A10.B002433.3_38_F.1.1","basal cells","1"
"A11.B002433.3_38_F.1.1","luminal progenitors",NA
"A12.B002433.3_38_F.1.1","luminal progenitors",NA
"A13.B002433.3_38_F.1.1","luminal progenitors",NA
"A14.B002433.3_38_F.1.1","luminal progenitors",NA
"A15.B002433.3_38_F.1.1","luminal progenitors",NA
"B6.B002433.3_38_F.1.1","basal cells","1"
"C8.B002433.3_38_F.1.1","basal cells","2"
"D13.B002433.3_38_F.1.1","hormone responsive luminal cells",NA
"E18.B002433.3_38_F.1.1","stromal cells",NA
"G1.B002433.3_38_F.1.1","basal cells","1"
"H3.B002433.3_38_F.1.1","basal cells","1"
"I11.B002433.3_38_F.1.1","luminal progenitors",NA
"B7.B002433.3_38_F.1.1","basal cells","1"
"C9.B002433.3_38_F.1.1","basal cells","1"
"D14.B002433.3_38_F.1.1","hormone responsive luminal cells",NA
"E19.B002433.3_38_F.1.1","stromal cells",NA
"G2.B002433.3_38_F.1.1","basal cells","1"
"H4.B002433.3_38_F.1.1","basal cells","1"
"I12.B002433.3_38_F.1.1","luminal progenitors",NA
"J17.B002433.3_38_F.1.1","stromal cells",NA
"L2.B002433.3_38_F.1.1","basal cells","1"
"J16.B002433.3_38_F.1.1","stromal cells",NA
"M9.B002433.3_38_F.1.1","basal cells","Fos+"
"N16.B002433.3_38_F.1.1","stromal cells",NA
"O19.B002433.3_38_F.1.1","stromal cells",NA
"L1.B002433.3_38_F.1.1","basal cells","1"
"M8.B002433.3_38_F.1.1","basal cells","1"
"N14.B002433.3_38_F.1.1","hormone responsive luminal cells",NA
"O17.B002433.3_38_F.1.1","stromal cells",NA
"P20.B002433.3_38_F.1.1","stromal cells",NA
"P21.B002433.3_38_F.1.1","endothelial cells",NA
"H5.B002433.3_38_F.1.1","basal cells","Fos+"
"I13.B002433.3_38_F.1.1","luminal progenitors",NA
"J18.B002433.3_38_F.1.1","stromal cells",NA
"L3.B002433.3_38_F.1.1","basal cells",NA
"M10.B002433.3_38_F.1.1","basal cells","1"
"N17.B002433.3_38_F.1.1","stromal cells",NA
"O20.B002433.3_38_F.1.1","stromal cells",NA
"P22.B002433.3_38_F.1.1","basal cells","Id1+Id2+Pdfgrl+Wnt10a"
"B8.B002433.3_38_F.1.1","basal cells","Fos+"
"C10.B002433.3_38_F.1.1","basal cells","Ifgbp2+Igfbp4"
"D15.B002433.3_38_F.1.1","luminal progenitors",NA
"E20.B002433.3_38_F.1.1","stromal cells",NA
"G3.B002433.3_38_F.1.1","endothelial cells",NA
"L4.B002433.3_38_F.1.1","basal cells","1"
"M11.B002433.3_38_F.1.1","luminal progenitors",NA
"N18.B002433.3_38_F.1.1","stromal cells",NA
"O21.B002433.3_38_F.1.1","endothelial cells",NA
"B10.B002433.3_38_F.1.1","basal cells","Ifgbp2+Igfbp4"
"C12.B002433.3_38_F.1.1","luminal progenitors",NA
"B9.B002433.3_38_F.1.1","basal cells","1"
"D17.B002433.3_38_F.1.1","stromal cells",NA
"E22.B002433.3_38_F.1.1","basal cells","1"
"G5.B002433.3_38_F.1.1","basal cells","Ifgbp2+Igfbp4"
"C11.B002433.3_38_F.1.1","basal cells",NA
"D16.B002433.3_38_F.1.1","stromal cells",NA
"E21.B002433.3_38_F.1.1","endothelial cells",NA
"G4.B002433.3_38_F.1.1","basal cells",NA
"H6.B002433.3_38_F.1.1","basal cells","1"
"I14.B002433.3_38_F.1.1","luminal progenitors",NA
"J19.B002433.3_38_F.1.1","stromal cells",NA
"H10.B002433.3_38_F.1.1","basal cells","1"
"B11.B002433.3_38_F.1.1","luminal progenitors",NA
"C13.B002433.3_38_F.1.1","hormone responsive luminal cells",NA
"D18.B002433.3_38_F.1.1","stromal cells",NA
"F1.B002433.3_38_F.1.1","basal cells","1"
"G6.B002433.3_38_F.1.1","basal cells","1"
"I15.B002433.3_38_F.1.1","luminal progenitors",NA
"H11.B002433.3_38_F.1.1","luminal progenitors",NA
"I16.B002433.3_38_F.1.1","stromal cells",NA
"K1.B002433.3_38_F.1.1","basal cells","1"
"J22.B002433.3_38_F.1.1","basal cells","1"
"L5.B002433.3_38_F.1.1","basal cells","Fos+"
"M12.B002433.3_38_F.1.1","luminal progenitors",NA
"N19.B002433.3_38_F.1.1","stromal cells",NA
"O22.B002433.3_38_F.1.1","basal cells","1"
"L6.B002433.3_38_F.1.1","basal cells","1"
"B12.B002433.3_38_F.1.1","basal cells",NA
"C15.B002433.3_38_F.1.1","luminal progenitors",NA
"D19.B002433.3_38_F.1.1","stromal cells",NA
"F2.B002433.3_38_F.1.1","basal cells","1"
"G7.B002433.3_38_F.1.1","endothelial cells",NA
"H12.B002433.3_38_F.1.1","luminal progenitors",NA
"I17.B002433.3_38_F.1.1","stromal cells",NA
"K2.B002433.3_38_F.1.1","basal cells","1"
"M13.B002433.3_38_F.1.1","hormone responsive luminal cells",NA
"L7.B002433.3_38_F.1.1","basal cells","1"
"M14.B002433.3_38_F.1.1","hormone responsive luminal cells",NA
"N21.B002433.3_38_F.1.1","basal cells","1"
"N20.B002433.3_38_F.1.1","stromal cells",NA
"P1.B002433.3_38_F.1.1","basal cells","1"
"P2.B002433.3_38_F.1.1","basal cells","1"
"G8.B002433.3_38_F.1.1","basal cells","Fos+"
"H14.B002433.3_38_F.1.1","hormone responsive luminal cells",NA
"I18.B002433.3_38_F.1.1","stromal cells",NA
"K3.B002433.3_38_F.1.1","basal cells","1"
"L10.B002433.3_38_F.1.1","basal cells","1"
"M15.B002433.3_38_F.1.1","luminal progenitors",NA
"N22.B002433.3_38_F.1.1","basal cells","1"
"P3.B002433.3_38_F.1.1","basal cells","Fos+"
"B14.B002433.3_38_F.1.1","hormone responsive luminal cells",NA
"B13.B002433.3_38_F.1.1","luminal progenitors",NA
"C16.B002433.3_38_F.1.1","stromal cells",NA
"D20.B002433.3_38_F.1.1","stromal cells",NA
"F3.B002433.3_38_F.1.1","basal cells","Fos+"
"C17.B002433.3_38_F.1.1","stromal cells",NA
"K4.B002433.3_38_F.1.1","basal cells","1"
"L11.B002433.3_38_F.1.1","luminal progenitors",NA
"M16.B002433.3_38_F.1.1","stromal cells",NA
"O1.B002433.3_38_F.1.1","basal cells","1"
"P4.B002433.3_38_F.1.1","basal cells","2"
"D21.B002433.3_38_F.1.1","basal cells","1"
"B15.B002433.3_38_F.1.1","hormone responsive luminal cells",NA
"C18.B002433.3_38_F.1.1","stromal cells",NA
"F4.B002433.3_38_F.1.1","basal cells","1"
"G9.B002433.3_38_F.1.1","basal cells","Fos+"
"H15.B002433.3_38_F.1.1","luminal progenitors",NA
"I19.B002433.3_38_F.1.1","stromal cells",NA
"D22.B002433.3_38_F.1.1","basal cells","1"
"O2.B002433.3_38_F.1.1","basal cells","1"
"P5.B002433.3_38_F.1.1","basal cells",NA
"B16.B002433.3_38_F.1.1","stromal cells",NA
"C21.B002433.3_38_F.1.1","basal cells","1"
"E1.B002433.3_38_F.1.1","basal cells","1"
"F7.B002433.3_38_F.1.1","basal cells","1"
"F5.B002433.3_38_F.1.1","basal cells","Ifgbp2+Igfbp4"
"G11.B002433.3_38_F.1.1","luminal progenitors",NA
"H17.B002433.3_38_F.1.1","basal cells","Fos+"
"G10.B002433.3_38_F.1.1","basal cells","Fos+"
"H16.B002433.3_38_F.1.1","stromal cells",NA
"I21.B002433.3_38_F.1.1","basal cells","1"
"K5.B002433.3_38_F.1.1","basal cells","1"
"L12.B002433.3_38_F.1.1","luminal progenitors",NA
"M17.B002433.3_38_F.1.1","stromal cells",NA
"I22.B002433.3_38_F.1.1","basal cells","Fos+"
"B17.B002433.3_38_F.1.1","stromal cells",NA
"C22.B002433.3_38_F.1.1","basal cells","Fos+"
"E2.B002433.3_38_F.1.1","basal cells","1"
"F8.B002433.3_38_F.1.1","basal cells","Ifgbp2+Igfbp4"
"G12.B002433.3_38_F.1.1","luminal progenitors",NA
"H18.B002433.3_38_F.1.1","stromal cells",NA
"J1.B002433.3_38_F.1.1","basal cells","2"
"K7.B002433.3_38_F.1.1","basal cells","1"
"K6.B002433.3_38_F.1.1","basal cells","1"
"L13.B002433.3_38_F.1.1","hormone responsive luminal cells",NA
"M18.B002433.3_38_F.1.1","stromal cells",NA
"O3.B002433.3_38_F.1.1","basal cells","Fos+"
"L14.B002433.3_38_F.1.1","luminal progenitors",NA
"B18.B002433.3_38_F.1.1","stromal cells",NA
"D1.B002433.3_38_F.1.1","basal cells","1"
"E3.B002433.3_38_F.1.1","basal cells","Fos+"
"F9.B002433.3_38_F.1.1","basal cells","1"
"G13.B002433.3_38_F.1.1","luminal progenitors",NA
"H19.B002433.3_38_F.1.1","stromal cells",NA
"J3.B002433.3_38_F.1.1","basal cells","1"
"K8.B002433.3_38_F.1.1","basal cells","2"
"M19.B002433.3_38_F.1.1","stromal cells",NA
"L15.B002433.3_38_F.1.1","luminal progenitors",NA
"M20.B002433.3_38_F.1.1","stromal cells",NA
"O5.B002433.3_38_F.1.1","basal cells","1"
"O4.B002433.3_38_F.1.1","basal cells","1"
"P7.B002433.3_38_F.1.1","basal cells","1"
"P8.B002433.3_38_F.1.1","basal cells","Fos+"
"D2.B002433.3_38_F.1.1","basal cells",NA
"E4.B002433.3_38_F.1.1","basal cells","1"
"F10.B002433.3_38_F.1.1","basal cells","1"
"G14.B002433.3_38_F.1.1","luminal progenitors",NA
"H20.B002433.3_38_F.1.1","stromal cells",NA
"J4.B002433.3_38_F.1.1","basal cells","Fos+"
"K10.B002433.3_38_F.1.1","basal cells","1"
"L16.B002433.3_38_F.1.1","stromal cells",NA
"N1.B002433.3_38_F.1.1","basal cells","1"
"O6.B002433.3_38_F.1.1","basal cells","1"
"P9.B002433.3_38_F.1.1","basal cells","1"
"A16.B002433.3_38_F.1.1","stromal cells",NA
"B19.B002433.3_38_F.1.1","stromal cells",NA
"G15.B002433.3_38_F.1.1","luminal progenitors",NA
"H22.B002433.3_38_F.1.1","endothelial cells",NA
"J5.B002433.3_38_F.1.1","basal cells","1"
"K11.B002433.3_38_F.1.1","luminal progenitors",NA
"L18.B002433.3_38_F.1.1","stromal cells",NA
"N2.B002433.3_38_F.1.1","basal cells","Fos+"
"O7.B002433.3_38_F.1.1","basal cells","1"
"P10.B002433.3_38_F.1.1","basal cells","1"
"A17.B002433.3_38_F.1.1","stromal cells",NA
"B20.B002433.3_38_F.1.1","stromal cells",NA
"D3.B002433.3_38_F.1.1","basal cells","1"
"E5.B002433.3_38_F.1.1","basal cells","1"
