"","annotation","subannotation"
"A11.B002432.3_38_F.1.1","luminal progenitors",NA
"B13.B002432.3_38_F.1.1","luminal progenitors",NA
"I21.B002432.3_38_F.1.1","basal cells","1"
"K1.B002432.3_38_F.1.1","basal cells","1"
"L6.B002432.3_38_F.1.1","basal cells","Fos+"
"M10.B002432.3_38_F.1.1","basal cells","1"
"N16.B002432.3_38_F.1.1","stromal cells",NA
"O18.B002432.3_38_F.1.1","stromal cells",NA
"C18.B002432.3_38_F.1.1","stromal cells",NA
"E4.B002432.3_38_F.1.1","basal cells","Ifgbp2+Igfbp4"
"F7.B002432.3_38_F.1.1","basal cells","1"
"G11.B002432.3_38_F.1.1","luminal progenitors",NA
"H17.B002432.3_38_F.1.1","stromal cells",NA
"A12.B002432.3_38_F.1.1","luminal progenitors",NA
"H18.B002432.3_38_F.1.1","stromal cells",NA
"I22.B002432.3_38_F.1.1","basal cells","1"
"K2.B002432.3_38_F.1.1","basal cells","1"
"L7.B002432.3_38_F.1.1","hormone responsive luminal cells",NA
"M11.B002432.3_38_F.1.1","luminal progenitors",NA
"B14.B002432.3_38_F.1.1","luminal progenitors",NA
"E5.B002432.3_38_F.1.1","basal cells","1"
"F8.B002432.3_38_F.1.1","basal cells","1"
"G13.B002432.3_38_F.1.1","luminal progenitors",NA
"A13.B002432.3_38_F.1.1","luminal progenitors",NA
"H19.B002432.3_38_F.1.1","stromal cells",NA
"J1.B002432.3_38_F.1.1","basal cells","1"
"L8.B002432.3_38_F.1.1","basal cells","Fos+"
"M12.B002432.3_38_F.1.1","luminal progenitors",NA
"N18.B002432.3_38_F.1.1","stromal cells",NA
"O20.B002432.3_38_F.1.1","stromal cells",NA
"B15.B002432.3_38_F.1.1","luminal progenitors",NA
"C20.B002432.3_38_F.1.1","basal cells",NA
"E6.B002432.3_38_F.1.1","basal cells","1"
"F9.B002432.3_38_F.1.1","basal cells","2"
"G14.B002432.3_38_F.1.1","hormone responsive luminal cells",NA
"A14.B002432.3_38_F.1.1","luminal progenitors",NA
"L9.B002432.3_38_F.1.1","basal cells","1"
"M14.B002432.3_38_F.1.1","luminal progenitors",NA
"N19.B002432.3_38_F.1.1","stromal cells",NA
"O21.B002432.3_38_F.1.1","basal cells","Fos+"
"A15.B002432.3_38_F.1.1","hormone responsive luminal cells",NA
"B18.B002432.3_38_F.1.1","stromal cells",NA
"D2.B002432.3_38_F.1.1","basal cells","1"
"B16.B002432.3_38_F.1.1","stromal cells",NA
"E8.B002432.3_38_F.1.1","basal cells","2"
"F12.B002432.3_38_F.1.1","luminal progenitors",NA
"G16.B002432.3_38_F.1.1","stromal cells",NA
"D1.B002432.3_38_F.1.1","basal cells","1"
"E7.B002432.3_38_F.1.1","basal cells","1"
"F10.B002432.3_38_F.1.1","basal cells","1"
"G15.B002432.3_38_F.1.1","luminal progenitors",NA
"H20.B002432.3_38_F.1.1","stromal cells",NA
"J2.B002432.3_38_F.1.1","basal cells","Id1+Id2+Pdfgrl+Wnt10a"
"K4.B002432.3_38_F.1.1","basal cells","1"
"H21.B002432.3_38_F.1.1","basal cells","1"
"A16.B002432.3_38_F.1.1","stromal cells",NA
"D3.B002432.3_38_F.1.1","basal cells","Fos+"
"E9.B002432.3_38_F.1.1","basal cells","1"
"F13.B002432.3_38_F.1.1","luminal progenitors",NA
"G17.B002432.3_38_F.1.1","basal cells","1"
"H22.B002432.3_38_F.1.1","basal cells","1"
"J4.B002432.3_38_F.1.1","basal cells","Fos+"
"J3.B002432.3_38_F.1.1","basal cells","Fos+"
"K6.B002432.3_38_F.1.1","basal cells","1"
"L11.B002432.3_38_F.1.1","luminal progenitors",NA
"M17.B002432.3_38_F.1.1","stromal cells",NA
"K5.B002432.3_38_F.1.1","basal cells","1"
"L10.B002432.3_38_F.1.1","basal cells","1"
"M15.B002432.3_38_F.1.1","luminal progenitors",NA
"N20.B002432.3_38_F.1.1","stromal cells",NA
