"","annotation","subannotation"
"O5.MAA000570.3_8_M.1.1","Microglia",NA
"C3.MAA000570.3_8_M.1.1","Microglia",NA
"F17.MAA000570.3_8_M.1.1","Microglia",NA
"I17.MAA000570.3_8_M.1.1","Microglia",NA
"K17.MAA000570.3_8_M.1.1","Microglia",NA
"M12.MAA000570.3_8_M.1.1","Microglia",NA
"P16.MAA000570.3_8_M.1.1","Microglia",NA
"C4.MAA000570.3_8_M.1.1","Microglia",NA
"F21.MAA000570.3_8_M.1.1","Microglia",NA
"I20.MAA000570.3_8_M.1.1","Microglia",NA
"K20.MAA000570.3_8_M.1.1","Microglia",NA
"M15.MAA000570.3_8_M.1.1","Microglia",NA
"O6.MAA000570.3_8_M.1.1","Microglia",NA
"P17.MAA000570.3_8_M.1.1","Microglia",NA
"C5.MAA000570.3_8_M.1.1","Microglia",NA
"G1.MAA000570.3_8_M.1.1","Microglia",NA
"I21.MAA000570.3_8_M.1.1","Microglia",NA
"K21.MAA000570.3_8_M.1.1","Microglia",NA
"M16.MAA000570.3_8_M.1.1","Microglia",NA
"O7.MAA000570.3_8_M.1.1","Microglia",NA
"P18.MAA000570.3_8_M.1.1","Microglia",NA
"P19.MAA000570.3_8_M.1.1","Microglia",NA
"C8.MAA000570.3_8_M.1.1","Microglia",NA
"G3.MAA000570.3_8_M.1.1","Microglia",NA
"I22.MAA000570.3_8_M.1.1","Microglia",NA
"K22.MAA000570.3_8_M.1.1","Microglia",NA
"M17.MAA000570.3_8_M.1.1","Microglia",NA
"O8.MAA000570.3_8_M.1.1","Microglia",NA
"M18.MAA000570.3_8_M.1.1","Microglia",NA
"O9.MAA000570.3_8_M.1.1","Microglia",NA
"P20.MAA000570.3_8_M.1.1","Microglia",NA
"C12.MAA000570.3_8_M.1.1","Microglia",NA
"G4.MAA000570.3_8_M.1.1","Macrophages",NA
"J1.MAA000570.3_8_M.1.1","Microglia",NA
"L1.MAA000570.3_8_M.1.1","Microglia",NA
"M20.MAA000570.3_8_M.1.1","Microglia",NA
"O10.MAA000570.3_8_M.1.1","Microglia",NA
"C14.MAA000570.3_8_M.1.1","Microglia",NA
"G6.MAA000570.3_8_M.1.1","Macrophages",NA
"J4.MAA000570.3_8_M.1.1","Microglia",NA
"L2.MAA000570.3_8_M.1.1","Microglia",NA
"J5.MAA000570.3_8_M.1.1","Microglia",NA
"L3.MAA000570.3_8_M.1.1","Microglia",NA
"M22.MAA000570.3_8_M.1.1","Microglia",NA
"O11.MAA000570.3_8_M.1.1","Microglia",NA
"A1.MAA000570.3_8_M.1.1","Microglia",NA
"D1.MAA000570.3_8_M.1.1","Microglia",NA
"G7.MAA000570.3_8_M.1.1","Microglia",NA
"L4.MAA000570.3_8_M.1.1","Microglia",NA
"N1.MAA000570.3_8_M.1.1","Macrophages",NA
"O12.MAA000570.3_8_M.1.1","Microglia",NA
"A2.MAA000570.3_8_M.1.1","Microglia",NA
"D3.MAA000570.3_8_M.1.1","Microglia",NA
"G16.MAA000570.3_8_M.1.1","Macrophages",NA
"J7.MAA000570.3_8_M.1.1","Microglia",NA
"N2.MAA000570.3_8_M.1.1","Microglia",NA
"O13.MAA000570.3_8_M.1.1","Microglia",NA
"A3.MAA000570.3_8_M.1.1","Microglia",NA
"D5.MAA000570.3_8_M.1.1","Microglia",NA
"H1.MAA000570.3_8_M.1.1","Microglia",NA
"J12.MAA000570.3_8_M.1.1","Microglia",NA
"L5.MAA000570.3_8_M.1.1","Microglia",NA
"A4.MAA000570.3_8_M.1.1","Microglia",NA
"A11.MAA000570.3_8_M.1.1","Microglia",NA
"D8.MAA000570.3_8_M.1.1","Microglia",NA
"D6.MAA000570.3_8_M.1.1","Microglia",NA
"H3.MAA000570.3_8_M.1.1","Microglia",NA
"J17.MAA000570.3_8_M.1.1","Microglia",NA
"H2.MAA000570.3_8_M.1.1","Microglia",NA
"J15.MAA000570.3_8_M.1.1","Microglia",NA
"L6.MAA000570.3_8_M.1.1","Microglia",NA
"N3.MAA000570.3_8_M.1.1","Microglia",NA
"O14.MAA000570.3_8_M.1.1","Microglia",NA
"L14.MAA000570.3_8_M.1.1","Microglia",NA
"N5.MAA000570.3_8_M.1.1","Microglia",NA
"O20.MAA000570.3_8_M.1.1","Microglia",NA
"D14.MAA000570.3_8_M.1.1","Microglia",NA
"H5.MAA000570.3_8_M.1.1","Microglia",NA
"J19.MAA000570.3_8_M.1.1","Microglia",NA
"A15.MAA000570.3_8_M.1.1","Microglia",NA
"L19.MAA000570.3_8_M.1.1","Microglia",NA
"N9.MAA000570.3_8_M.1.1","Microglia",NA
"O22.MAA000570.3_8_M.1.1","Microglia",NA
"D16.MAA000570.3_8_M.1.1","Microglia",NA
"H17.MAA000570.3_8_M.1.1","Microglia",NA
"J21.MAA000570.3_8_M.1.1","Microglia",NA
"L20.MAA000570.3_8_M.1.1","Microglia",NA
"N10.MAA000570.3_8_M.1.1","Microglia",NA
"P1.MAA000570.3_8_M.1.1","Microglia",NA
"A18.MAA000570.3_8_M.1.1","Microglia",NA
"A19.MAA000570.3_8_M.1.1","Microglia",NA
"N11.MAA000570.3_8_M.1.1","Microglia",NA
"D18.MAA000570.3_8_M.1.1","Microglia",NA
"I1.MAA000570.3_8_M.1.1","Microglia",NA
"J22.MAA000570.3_8_M.1.1","Microglia",NA
"L21.MAA000570.3_8_M.1.1","Microglia",NA
"P4.MAA000570.3_8_M.1.1","Microglia",NA
"K3.MAA000570.3_8_M.1.1","Microglia",NA
"L22.MAA000570.3_8_M.1.1","Microglia",NA
"N12.MAA000570.3_8_M.1.1","Microglia",NA
"P6.MAA000570.3_8_M.1.1","Microglia",NA
"A20.MAA000570.3_8_M.1.1","Microglia",NA
"D19.MAA000570.3_8_M.1.1","Microglia",NA
"I2.MAA000570.3_8_M.1.1","Microglia",NA
