"","plate.barcode","annotation","subannotation"
"A21.MAA000508.3_9_M.1.1","MAA000508","CD4+ T cells",NA
"C6.MAA000508.3_9_M.1.1","MAA000508","T1/T2/Follicular B cells",NA
"A22.MAA000508.3_9_M.1.1","MAA000508","CD4+ T cells",NA
"C8.MAA000508.3_9_M.1.1","MAA000508","Marginal Zone B cells",NA
"E8.MAA000508.3_9_M.1.1","MAA000508","T1/T2/Follicular B cells",NA
"E6.MAA000508.3_9_M.1.1","MAA000508","CD4+ T cells",NA
"B1.MAA000508.3_9_M.1.1","MAA000508","T1/T2/Follicular B cells",NA
"C9.MAA000508.3_9_M.1.1","MAA000508","Macrophages/Dendritic cells/Monocytes and others",NA
"E12.MAA000508.3_9_M.1.1","MAA000508","Macrophages/Dendritic cells/Monocytes and others",NA
"B2.MAA000508.3_9_M.1.1","MAA000508","T1/T2/Follicular B cells",NA
"C18.MAA000508.3_9_M.1.1","MAA000508","T1/T2/Follicular B cells",NA
"E22.MAA000508.3_9_M.1.1","MAA000508","T1/T2/Follicular B cells",NA
"A1.MAA000508.3_9_M.1.1","MAA000508","T1/T2/Follicular B cells",NA
"B3.MAA000508.3_9_M.1.1","MAA000508","T1/T2/Follicular B cells",NA
"C19.MAA000508.3_9_M.1.1","MAA000508","CD4+ T cells",NA
"F1.MAA000508.3_9_M.1.1","MAA000508","Marginal Zone B cells",NA
"A2.MAA000508.3_9_M.1.1","MAA000508","T1/T2/Follicular B cells",NA
"B4.MAA000508.3_9_M.1.1","MAA000508","CD4+ T cells",NA
"C22.MAA000508.3_9_M.1.1","MAA000508","T1/T2/Follicular B cells",NA
"F2.MAA000508.3_9_M.1.1","MAA000508","9CD8+ T cells",NA
"A3.MAA000508.3_9_M.1.1","MAA000508","T1/T2/Follicular B cells",NA
"B5.MAA000508.3_9_M.1.1","MAA000508","T1/T2/Follicular B cells",NA
"D1.MAA000508.3_9_M.1.1","MAA000508","T1/T2/Follicular B cells",NA
"F3.MAA000508.3_9_M.1.1","MAA000508","T1/T2/Follicular B cells",NA
"A4.MAA000508.3_9_M.1.1","MAA000508","T1/T2/Follicular B cells",NA
"B6.MAA000508.3_9_M.1.1","MAA000508","CD4+ T cells",NA
"D2.MAA000508.3_9_M.1.1","MAA000508","CD4+ T cells",NA
"F4.MAA000508.3_9_M.1.1","MAA000508","9CD8+ T cells",NA
"B7.MAA000508.3_9_M.1.1","MAA000508","CD4+ T cells",NA
"D3.MAA000508.3_9_M.1.1","MAA000508","T1/T2/Follicular B cells",NA
"F7.MAA000508.3_9_M.1.1","MAA000508","T1/T2/Follicular B cells",NA
"A5.MAA000508.3_9_M.1.1","MAA000508","9CD8+ T cells",NA
"A6.MAA000508.3_9_M.1.1","MAA000508","Marginal Zone B cells",NA
"B8.MAA000508.3_9_M.1.1","MAA000508","T1/T2/Follicular B cells",NA
"D4.MAA000508.3_9_M.1.1","MAA000508","T1/T2/Follicular B cells",NA
"F12.MAA000508.3_9_M.1.1","MAA000508","Marginal Zone B cells",NA
"A7.MAA000508.3_9_M.1.1","MAA000508","9CD8+ T cells",NA
"B10.MAA000508.3_9_M.1.1","MAA000508","T1/T2/Follicular B cells",NA
"D5.MAA000508.3_9_M.1.1","MAA000508","T1/T2/Follicular B cells",NA
"F21.MAA000508.3_9_M.1.1","MAA000508","CD4+ T cells",NA
"A8.MAA000508.3_9_M.1.1","MAA000508","T1/T2/Follicular B cells",NA
"B12.MAA000508.3_9_M.1.1","MAA000508","T1/T2/Follicular B cells",NA
"D7.MAA000508.3_9_M.1.1","MAA000508","CD4+ T cells",NA
"G1.MAA000508.3_9_M.1.1","MAA000508","T1/T2/Follicular B cells",NA
"A10.MAA000508.3_9_M.1.1","MAA000508","CD4+ T cells",NA
"A9.MAA000508.3_9_M.1.1","MAA000508","Macrophages/Dendritic cells/Monocytes and others",NA
"B13.MAA000508.3_9_M.1.1","MAA000508","CD4+ T cells",NA
"D10.MAA000508.3_9_M.1.1","MAA000508","CD4+ T cells",NA
"G2.MAA000508.3_9_M.1.1","MAA000508","CD4+ T cells",NA
"B15.MAA000508.3_9_M.1.1","MAA000508","T1/T2/Follicular B cells",NA
"D16.MAA000508.3_9_M.1.1","MAA000508","T1/T2/Follicular B cells",NA
"G3.MAA000508.3_9_M.1.1","MAA000508","T1/T2/Follicular B cells",NA
"A11.MAA000508.3_9_M.1.1","MAA000508","Marginal Zone B cells",NA
"B18.MAA000508.3_9_M.1.1","MAA000508","T1/T2/Follicular B cells",NA
"D18.MAA000508.3_9_M.1.1","MAA000508","CD4+ T cells",NA
"G4.MAA000508.3_9_M.1.1","MAA000508","T1/T2/Follicular B cells",NA
"A12.MAA000508.3_9_M.1.1","MAA000508","Natural Killer cells",NA
"B19.MAA000508.3_9_M.1.1","MAA000508","T1/T2/Follicular B cells",NA
"D19.MAA000508.3_9_M.1.1","MAA000508","T1/T2/Follicular B cells",NA
"A13.MAA000508.3_9_M.1.1","MAA000508","T1/T2/Follicular B cells",NA
"B20.MAA000508.3_9_M.1.1","MAA000508","T1/T2/Follicular B cells",NA
"D20.MAA000508.3_9_M.1.1","MAA000508","CD4+ T cells",NA
"A14.MAA000508.3_9_M.1.1","MAA000508","Natural Killer cells",NA
"B21.MAA000508.3_9_M.1.1","MAA000508","CD4+ T cells",NA
"D21.MAA000508.3_9_M.1.1","MAA000508","Marginal Zone B cells",NA
"A15.MAA000508.3_9_M.1.1","MAA000508","T1/T2/Follicular B cells",NA
"A16.MAA000508.3_9_M.1.1","MAA000508","T1/T2/Follicular B cells",NA
"C1.MAA000508.3_9_M.1.1","MAA000508","CD4+ T cells",NA
"E1.MAA000508.3_9_M.1.1","MAA000508","T1/T2/Follicular B cells",NA
"B22.MAA000508.3_9_M.1.1","MAA000508","T1/T2/Follicular B cells",NA
"D22.MAA000508.3_9_M.1.1","MAA000508","T1/T2/Follicular B cells",NA
"A17.MAA000508.3_9_M.1.1","MAA000508","CD4+ T cells",NA
"C2.MAA000508.3_9_M.1.1","MAA000508","T1/T2/Follicular B cells",NA
"E2.MAA000508.3_9_M.1.1","MAA000508","T1/T2/Follicular B cells",NA
"A18.MAA000508.3_9_M.1.1","MAA000508","T1/T2/Follicular B cells",NA
"C3.MAA000508.3_9_M.1.1","MAA000508","Marginal Zone B cells",NA
"E3.MAA000508.3_9_M.1.1","MAA000508","T1/T2/Follicular B cells",NA
"A19.MAA000508.3_9_M.1.1","MAA000508","T1/T2/Follicular B cells",NA
"C4.MAA000508.3_9_M.1.1","MAA000508","T1/T2/Follicular B cells",NA
"E4.MAA000508.3_9_M.1.1","MAA000508","T1/T2/Follicular B cells",NA
"I10.MAA000508.3_9_M.1.1","MAA000508","9CD8+ T cells",NA
"A20.MAA000508.3_9_M.1.1","MAA000508","T1/T2/Follicular B cells",NA
"C5.MAA000508.3_9_M.1.1","MAA000508","T1/T2/Follicular B cells",NA
"E5.MAA000508.3_9_M.1.1","MAA000508","CD4+ T cells",NA
"L4.MAA000508.3_9_M.1.1","MAA000508","T1/T2/Follicular B cells",NA
"O3.MAA000508.3_9_M.1.1","MAA000508","T1/T2/Follicular B cells",NA
"P8.MAA000508.3_9_M.1.1","MAA000508","T1/T2/Follicular B cells",NA
"M16.MAA000508.3_9_M.1.1","MAA000508","CD4+ T cells",NA
"L5.MAA000508.3_9_M.1.1","MAA000508","CD4+ T cells",NA
"M17.MAA000508.3_9_M.1.1","MAA000508","CD4+ T cells",NA
"O5.MAA000508.3_9_M.1.1","MAA000508","T1/T2/Follicular B cells",NA
"P9.MAA000508.3_9_M.1.1","MAA000508","T1/T2/Follicular B cells",NA
"I12.MAA000508.3_9_M.1.1","MAA000508","T1/T2/Follicular B cells",NA
"P10.MAA000508.3_9_M.1.1","MAA000508","T1/T2/Follicular B cells",NA
"I18.MAA000508.3_9_M.1.1","MAA000508","T1/T2/Follicular B cells",NA
"L6.MAA000508.3_9_M.1.1","MAA000508","Marginal Zone B cells",NA
"M18.MAA000508.3_9_M.1.1","MAA000508","T1/T2/Follicular B cells",NA
"O6.MAA000508.3_9_M.1.1","MAA000508","CD4+ T cells",NA
"P11.MAA000508.3_9_M.1.1","MAA000508","T1/T2/Follicular B cells",NA
"I20.MAA000508.3_9_M.1.1","MAA000508","T1/T2/Follicular B cells",NA
"L7.MAA000508.3_9_M.1.1","MAA000508","T1/T2/Follicular B cells",NA
"M20.MAA000508.3_9_M.1.1","MAA000508","Marginal Zone B cells",NA
"O8.MAA000508.3_9_M.1.1","MAA000508","T1/T2/Follicular B cells",NA
"J1.MAA000508.3_9_M.1.1","MAA000508","T1/T2/Follicular B cells",NA
"L11.MAA000508.3_9_M.1.1","MAA000508","T1/T2/Follicular B cells",NA
"M21.MAA000508.3_9_M.1.1","MAA000508","Natural Killer cells",NA
"O9.MAA000508.3_9_M.1.1","MAA000508","T1/T2/Follicular B cells",NA
"P12.MAA000508.3_9_M.1.1","MAA000508","CD4+ T cells",NA
"J3.MAA000508.3_9_M.1.1","MAA000508","CD4+ T cells",NA
"L14.MAA000508.3_9_M.1.1","MAA000508","CD4+ T cells",NA
"J2.MAA000508.3_9_M.1.1","MAA000508","Marginal Zone B cells",NA
"L12.MAA000508.3_9_M.1.1","MAA000508","Macrophages/Dendritic cells/Monocytes and others",NA
"M22.MAA000508.3_9_M.1.1","MAA000508","CD4+ T cells",NA
"O10.MAA000508.3_9_M.1.1","MAA000508","T1/T2/Follicular B cells",NA
"P13.MAA000508.3_9_M.1.1","MAA000508","T1/T2/Follicular B cells",NA
"N1.MAA000508.3_9_M.1.1","MAA000508","T1/T2/Follicular B cells",NA
"J4.MAA000508.3_9_M.1.1","MAA000508","Marginal Zone B cells",NA
"L18.MAA000508.3_9_M.1.1","MAA000508","9CD8+ T cells",NA
"N2.MAA000508.3_9_M.1.1","MAA000508","T1/T2/Follicular B cells",NA
"O12.MAA000508.3_9_M.1.1","MAA000508","T1/T2/Follicular B cells",NA
"O11.MAA000508.3_9_M.1.1","MAA000508","T1/T2/Follicular B cells",NA
"P15.MAA000508.3_9_M.1.1","MAA000508","CD4+ T cells",NA
"P14.MAA000508.3_9_M.1.1","MAA000508","CD4+ T cells",NA
"J5.MAA000508.3_9_M.1.1","MAA000508","T1/T2/Follicular B cells",NA
"L19.MAA000508.3_9_M.1.1","MAA000508","T1/T2/Follicular B cells",NA
"N4.MAA000508.3_9_M.1.1","MAA000508","T1/T2/Follicular B cells",NA
"O13.MAA000508.3_9_M.1.1","MAA000508","CD4+ T cells",NA
"P16.MAA000508.3_9_M.1.1","MAA000508","CD4+ T cells",NA
"O14.MAA000508.3_9_M.1.1","MAA000508","CD4+ T cells",NA
"P17.MAA000508.3_9_M.1.1","MAA000508","CD4+ T cells",NA
"J12.MAA000508.3_9_M.1.1","MAA000508","T1/T2/Follicular B cells",NA
"L20.MAA000508.3_9_M.1.1","MAA000508","CD4+ T cells",NA
"N5.MAA000508.3_9_M.1.1","MAA000508","T1/T2/Follicular B cells",NA
"J14.MAA000508.3_9_M.1.1","MAA000508","9CD8+ T cells",NA
"L21.MAA000508.3_9_M.1.1","MAA000508","T1/T2/Follicular B cells",NA
"N6.MAA000508.3_9_M.1.1","MAA000508","T1/T2/Follicular B cells",NA
"O15.MAA000508.3_9_M.1.1","MAA000508","CD4+ T cells",NA
"P18.MAA000508.3_9_M.1.1","MAA000508","9CD8+ T cells",NA
"M1.MAA000508.3_9_M.1.1","MAA000508","Macrophages/Dendritic cells/Monocytes and others",NA
"N7.MAA000508.3_9_M.1.1","MAA000508","T1/T2/Follicular B cells",NA
"J20.MAA000508.3_9_M.1.1","MAA000508","CD4+ T cells",NA
"O16.MAA000508.3_9_M.1.1","MAA000508","T1/T2/Follicular B cells",NA
