"","plate.barcode","annotation","subannotation"
"A22.D042044.3_9_M.1.1","D042044","Immature_Mature-B","B1"
"C5.D042044.3_9_M.1.1","D042044","Immature-B",NA
"D10.D042044.3_9_M.1.1","D042044","Immature_Mature-B","B2"
"E13.D042044.3_9_M.1.1","D042044","PreProB",NA
"F19.D042044.3_9_M.1.1","D042044","Immature-B",NA
"H2.D042044.3_9_M.1.1","D042044","Immature-B",NA
"I9.D042044.3_9_M.1.1","D042044","PreProB",NA
"J14.D042044.3_9_M.1.1","D042044","Immature-B",NA
"K17.D042044.3_9_M.1.1","D042044","PreProB",NA
"L21.D042044.3_9_M.1.1","D042044","Immature-B",NA
"N6.D042044.3_9_M.1.1","D042044","Immature_Mature-B","B5"
"O9.D042044.3_9_M.1.1","D042044","Immature_Mature-B","B3"
"F20.D042044.3_9_M.1.1","D042044","PreProB",NA
"I10.D042044.3_9_M.1.1","D042044","Immature_Mature-B","B0"
"J15.D042044.3_9_M.1.1","D042044","Immature-B",NA
"K18.D042044.3_9_M.1.1","D042044","Mature-B",NA
"L22.D042044.3_9_M.1.1","D042044","Immature-B",NA
"N7.D042044.3_9_M.1.1","D042044","Immature_Mature-B","B5"
"O10.D042044.3_9_M.1.1","D042044","Immature-B",NA
"P15.D042044.3_9_M.1.1","D042044","Mature-B",NA
"P16.D042044.3_9_M.1.1","D042044","Mature-B",NA
"B1.D042044.3_9_M.1.1","D042044","Immature_Mature-B","B0"
"C6.D042044.3_9_M.1.1","D042044","Immature_Mature-B","B5"
"D11.D042044.3_9_M.1.1","D042044","Immature_Mature-B","B5"
"E15.D042044.3_9_M.1.1","D042044","Immature_Mature-B","B0"
"J16.D042044.3_9_M.1.1","D042044","Immature_Mature-B","B0"
"K19.D042044.3_9_M.1.1","D042044","Mature-B",NA
"M1.D042044.3_9_M.1.1","D042044","PreProB",NA
"N8.D042044.3_9_M.1.1","D042044","Immature_Mature-B","B3"
"O11.D042044.3_9_M.1.1","D042044","Immature-B",NA
"P17.D042044.3_9_M.1.1","D042044","Immature-B",NA
"B2.D042044.3_9_M.1.1","D042044","Immature_Mature-B","B4"
"B3.D042044.3_9_M.1.1","D042044","Immature_Mature-B","B0"
"C8.D042044.3_9_M.1.1","D042044","Immature_Mature-B","B0"
"D13.D042044.3_9_M.1.1","D042044","Immature-B",NA
"C7.D042044.3_9_M.1.1","D042044","Immature-B",NA
"D12.D042044.3_9_M.1.1","D042044","Mature-B",NA
"E16.D042044.3_9_M.1.1","D042044","PreProB",NA
"F22.D042044.3_9_M.1.1","D042044","Immature_Mature-B","B5"
"H4.D042044.3_9_M.1.1","D042044","Mature-B",NA
"I12.D042044.3_9_M.1.1","D042044","PreProB",NA
"E17.D042044.3_9_M.1.1","D042044","Mature-B",NA
"O12.D042044.3_9_M.1.1","D042044","Immature-B",NA
"P18.D042044.3_9_M.1.1","D042044","Mature-B",NA
"B4.D042044.3_9_M.1.1","D042044","Immature_Mature-B","B0"
"C9.D042044.3_9_M.1.1","D042044","Immature_Mature-B","B2"
