"","annotation","subannotation"
"F18.MAA000377.3_9_M.1.1","NK/NKT",NA
"J20.MAA000377.3_9_M.1.1","NK/NKT",NA
"F19.MAA000377.3_9_M.1.1","hepatocytes",NA
"J21.MAA000377.3_9_M.1.1","kuppfer_cells",NA
"F20.MAA000377.3_9_M.1.1","endothelial_cells",NA
"J22.MAA000377.3_9_M.1.1","kuppfer_cells",NA
"G11.MAA000377.3_9_M.1.1","endothelial_cells",NA
"K9.MAA000377.3_9_M.1.1","hepatocytes",NA
"G13.MAA000377.3_9_M.1.1","hepatocytes",NA
"K11.MAA000377.3_9_M.1.1","hepatocytes",NA
"B6.MAA000377.3_9_M.1.1","endothelial_cells",NA
"G15.MAA000377.3_9_M.1.1","B_cells",NA
"K13.MAA000377.3_9_M.1.1","endothelial_cells",NA
"K14.MAA000377.3_9_M.1.1","endothelial_cells",NA
"B7.MAA000377.3_9_M.1.1","hepatocytes",NA
"G18.MAA000377.3_9_M.1.1","hepatocytes",NA
"K15.MAA000377.3_9_M.1.1","hepatocytes",NA
"B8.MAA000377.3_9_M.1.1","hepatocytes",NA
"G19.MAA000377.3_9_M.1.1","NK/NKT",NA
"B10.MAA000377.3_9_M.1.1","endothelial_cells",NA
"H3.MAA000377.3_9_M.1.1","hepatocytes",NA
"K17.MAA000377.3_9_M.1.1","B_cells",NA
"B14.MAA000377.3_9_M.1.1","hepatocytes",NA
"H12.MAA000377.3_9_M.1.1","NK/NKT",NA
"C10.MAA000377.3_9_M.1.1","endothelial_cells",NA
"K18.MAA000377.3_9_M.1.1","endothelial_cells",NA
"C13.MAA000377.3_9_M.1.1","endothelial_cells",NA
"C14.MAA000377.3_9_M.1.1","kuppfer_cells",NA
"H14.MAA000377.3_9_M.1.1","kuppfer_cells",NA
"H16.MAA000377.3_9_M.1.1","kuppfer_cells",NA
"L9.MAA000377.3_9_M.1.1","B_cells",NA
"L7.MAA000377.3_9_M.1.1","hepatocytes",NA
"C18.MAA000377.3_9_M.1.1","endothelial_cells",NA
"H17.MAA000377.3_9_M.1.1","kuppfer_cells",NA
"L11.MAA000377.3_9_M.1.1","hepatocytes",NA
"H20.MAA000377.3_9_M.1.1","hepatocytes",NA
"L12.MAA000377.3_9_M.1.1","kuppfer_cells",NA
"D12.MAA000377.3_9_M.1.1","endothelial_cells",NA
"I9.MAA000377.3_9_M.1.1","kuppfer_cells",NA
"L13.MAA000377.3_9_M.1.1","B_cells",NA
"D15.MAA000377.3_9_M.1.1","hepatocytes",NA
"I14.MAA000377.3_9_M.1.1","hepatocytes",NA
"L15.MAA000377.3_9_M.1.1","hepatocytes",NA
"E14.MAA000377.3_9_M.1.1","endothelial_cells",NA
"I15.MAA000377.3_9_M.1.1","endothelial_cells",NA
"F11.MAA000377.3_9_M.1.1","hepatocytes",NA
"J12.MAA000377.3_9_M.1.1","hepatocytes",NA
"F10.MAA000377.3_9_M.1.1","hepatocytes",NA
"I22.MAA000377.3_9_M.1.1","NK/NKT",NA
"F13.MAA000377.3_9_M.1.1","hepatocytes",NA
"F15.MAA000377.3_9_M.1.1","hepatocytes",NA
"J16.MAA000377.3_9_M.1.1","kuppfer_cells",NA
"F16.MAA000377.3_9_M.1.1","endothelial_cells",NA
"J17.MAA000377.3_9_M.1.1","hepatocytes",NA
"F17.MAA000377.3_9_M.1.1","hepatocytes",NA
"J18.MAA000377.3_9_M.1.1","endothelial_cells",NA
"M2.MAA000377.3_9_M.1.1","hepatocytes",NA
"P15.MAA000377.3_9_M.1.1","hepatocytes",NA
"M10.MAA000377.3_9_M.1.1","hepatocytes",NA
"M15.MAA000377.3_9_M.1.1","NK/NKT",NA
"P17.MAA000377.3_9_M.1.1","hepatocytes",NA
"M16.MAA000377.3_9_M.1.1","hepatocytes",NA
"P18.MAA000377.3_9_M.1.1","endothelial_cells",NA
"N4.MAA000377.3_9_M.1.1","kuppfer_cells",NA
"N7.MAA000377.3_9_M.1.1","hepatocytes",NA
"P21.MAA000377.3_9_M.1.1","B_cells",NA
"P22.MAA000377.3_9_M.1.1","hepatocytes",NA
"N11.MAA000377.3_9_M.1.1","hepatocytes",NA
"N15.MAA000377.3_9_M.1.1","B_cells",NA
"N16.MAA000377.3_9_M.1.1","endothelial_cells",NA
