"","annotation","subannotation"
"B15.MAA000385.3_10_M.1.1","Mono/macro/DCs",NA
"D15.MAA000385.3_10_M.1.1","T-cells",NA
"F15.MAA000385.3_10_M.1.1","B-cells",NA
"L15.MAA000385.3_10_M.1.1","Granulocytes",NA
"O4.MAA000385.3_10_M.1.1","Multipotent Progenitors",NA
"P16.MAA000385.3_10_M.1.1","T-cells",NA
"H18.MAA000385.3_10_M.1.1","Endothelial",NA
"J16.MAA000385.3_10_M.1.1","Granulocytes",NA
"B17.MAA000385.3_10_M.1.1","Endothelial",NA
"D16.MAA000385.3_10_M.1.1","B-cells",NA
"F16.MAA000385.3_10_M.1.1","NK-cells",NA
"H19.MAA000385.3_10_M.1.1","Endothelial",NA
"O7.MAA000385.3_10_M.1.1","Epithelial?",NA
"P17.MAA000385.3_10_M.1.1","Endothelial",NA
"J17.MAA000385.3_10_M.1.1","Endothelial",NA
"L18.MAA000385.3_10_M.1.1","Multipotent Progenitors",NA
"B18.MAA000385.3_10_M.1.1","Endothelial",NA
"D17.MAA000385.3_10_M.1.1","Endothelial",NA
"F17.MAA000385.3_10_M.1.1","Endothelial",NA
"H20.MAA000385.3_10_M.1.1","Endothelial",NA
"J20.MAA000385.3_10_M.1.1","Endothelial",NA
"L21.MAA000385.3_10_M.1.1","Endothelial",NA
"O8.MAA000385.3_10_M.1.1","Multipotent Progenitors",NA
"B19.MAA000385.3_10_M.1.1","Endothelial",NA
"D18.MAA000385.3_10_M.1.1","Endothelial",NA
"P18.MAA000385.3_10_M.1.1","Endothelial",NA
"O9.MAA000385.3_10_M.1.1","T-cells",NA
"P19.MAA000385.3_10_M.1.1","Endothelial",NA
"F18.MAA000385.3_10_M.1.1","Endothelial",NA
"H22.MAA000385.3_10_M.1.1","Endothelial",NA
"J21.MAA000385.3_10_M.1.1","Endothelial",NA
"D20.MAA000385.3_10_M.1.1","Multipotent Progenitors",NA
"F20.MAA000385.3_10_M.1.1","Endothelial",NA
"I5.MAA000385.3_10_M.1.1","Multipotent Progenitors",NA
"J22.MAA000385.3_10_M.1.1","Endothelial",NA
"M9.MAA000385.3_10_M.1.1","T-cells",NA
"O10.MAA000385.3_10_M.1.1","T-cells",NA
"P20.MAA000385.3_10_M.1.1","Multipotent Progenitors",NA
"B22.MAA000385.3_10_M.1.1","Endothelial",NA
"C3.MAA000385.3_10_M.1.1","Multipotent Progenitors",NA
"D22.MAA000385.3_10_M.1.1","Multipotent Progenitors",NA
"K4.MAA000385.3_10_M.1.1","Epithelial?",NA
"M10.MAA000385.3_10_M.1.1","Neutrophils",NA
"C4.MAA000385.3_10_M.1.1","Multipotent Progenitors",NA
"E3.MAA000385.3_10_M.1.1","Multipotent Progenitors",NA
"P21.MAA000385.3_10_M.1.1","Endothelial",NA
"G9.MAA000385.3_10_M.1.1","B-cells",NA
"K9.MAA000385.3_10_M.1.1","Granulocytes",NA
"M11.MAA000385.3_10_M.1.1","T-cells",NA
"I9.MAA000385.3_10_M.1.1","B-cells",NA
"C8.MAA000385.3_10_M.1.1","Epithelial?",NA
"E7.MAA000385.3_10_M.1.1","Multipotent Progenitors",NA
"G10.MAA000385.3_10_M.1.1","Granulocytes",NA
"I10.MAA000385.3_10_M.1.1","Neutrophils",NA
"K10.MAA000385.3_10_M.1.1","Neutrophils",NA
"M12.MAA000385.3_10_M.1.1","Granulocytes",NA
"O13.MAA000385.3_10_M.1.1","B-cells",NA
"A4.MAA000385.3_10_M.1.1","Multipotent Progenitors",NA
"C9.MAA000385.3_10_M.1.1","Mono/macro/DCs",NA
"E8.MAA000385.3_10_M.1.1","Epithelial?",NA
"G11.MAA000385.3_10_M.1.1","Neutrophils",NA
"I11.MAA000385.3_10_M.1.1","B-cells",NA
"K11.MAA000385.3_10_M.1.1","Neutrophils",NA
"C10.MAA000385.3_10_M.1.1","Neutrophils",NA
"E9.MAA000385.3_10_M.1.1","Neutrophils",NA
"M13.MAA000385.3_10_M.1.1","Mono/macro/DCs",NA
"O14.MAA000385.3_10_M.1.1","T-cells",NA
"K12.MAA000385.3_10_M.1.1","B-cells",NA
"M14.MAA000385.3_10_M.1.1","Granulocytes",NA
"G12.MAA000385.3_10_M.1.1","Neutrophils",NA
"I12.MAA000385.3_10_M.1.1","Granulocytes",NA
"E10.MAA000385.3_10_M.1.1","B-cells",NA
"G13.MAA000385.3_10_M.1.1","T-cells",NA
"I13.MAA000385.3_10_M.1.1","T-cells",NA
"K13.MAA000385.3_10_M.1.1","Granulocytes",NA
"M15.MAA000385.3_10_M.1.1","B-cells",NA
"A9.MAA000385.3_10_M.1.1","Granulocytes",NA
"C11.MAA000385.3_10_M.1.1","B-cells",NA
"A10.MAA000385.3_10_M.1.1","Neutrophils",NA
"C12.MAA000385.3_10_M.1.1","T-cells",NA
"M21.MAA000385.3_10_M.1.1","Endothelial",NA
"O17.MAA000385.3_10_M.1.1","Muscle?",NA
"E11.MAA000385.3_10_M.1.1","T-cells",NA
"G14.MAA000385.3_10_M.1.1","Neutrophils",NA
"I14.MAA000385.3_10_M.1.1","T-cells",NA
"K15.MAA000385.3_10_M.1.1","B-cells",NA
"E14.MAA000385.3_10_M.1.1","Neutrophils",NA
"G15.MAA000385.3_10_M.1.1","Mono/macro/DCs",NA
"I15.MAA000385.3_10_M.1.1","B-cells",NA
"K16.MAA000385.3_10_M.1.1","Neutrophils",NA
"N5.MAA000385.3_10_M.1.1","Epithelial?",NA
"A11.MAA000385.3_10_M.1.1","B-cells",NA
"C13.MAA000385.3_10_M.1.1","T-cells",NA
"E15.MAA000385.3_10_M.1.1","T-cells",NA
"G16.MAA000385.3_10_M.1.1","Neutrophils",NA
"I16.MAA000385.3_10_M.1.1","B-cells",NA
"K17.MAA000385.3_10_M.1.1","Endothelial",NA
"N6.MAA000385.3_10_M.1.1","Epithelial?",NA
"A13.MAA000385.3_10_M.1.1","Neutrophils",NA
"C14.MAA000385.3_10_M.1.1","Neutrophils",NA
"A14.MAA000385.3_10_M.1.1","Neutrophils",NA
"C15.MAA000385.3_10_M.1.1","B-cells",NA
"E16.MAA000385.3_10_M.1.1","Neutrophils",NA
"G19.MAA000385.3_10_M.1.1","Muscle?",NA
"I22.MAA000385.3_10_M.1.1","Endothelial",NA
"K20.MAA000385.3_10_M.1.1","Endothelial",NA
"N8.MAA000385.3_10_M.1.1","Multipotent Progenitors",NA
"A16.MAA000385.3_10_M.1.1","Neutrophils",NA
"C16.MAA000385.3_10_M.1.1","T-cells",NA
"E17.MAA000385.3_10_M.1.1","Multipotent Progenitors",NA
"J2.MAA000385.3_10_M.1.1","Epithelial?",NA
"K22.MAA000385.3_10_M.1.1","Endothelial",NA
"N9.MAA000385.3_10_M.1.1","NK-cells",NA
"A20.MAA000385.3_10_M.1.1","Endothelial",NA
"E19.MAA000385.3_10_M.1.1","Endothelial",NA
"H7.MAA000385.3_10_M.1.1","Multipotent Progenitors",NA
"J6.MAA000385.3_10_M.1.1","Epithelial?",NA
"N10.MAA000385.3_10_M.1.1","Neutrophils",NA
"P6.MAA000385.3_10_M.1.1","Epithelial?",NA
"C22.MAA000385.3_10_M.1.1","Endothelial",NA
"E20.MAA000385.3_10_M.1.1","Endothelial",NA
"H9.MAA000385.3_10_M.1.1","B-cells",NA
"J9.MAA000385.3_10_M.1.1","Granulocytes",NA
"L7.MAA000385.3_10_M.1.1","Epithelial?",NA
"N11.MAA000385.3_10_M.1.1","Granulocytes",NA
"B4.MAA000385.3_10_M.1.1","Multipotent Progenitors",NA
"F9.MAA000385.3_10_M.1.1","T-cells",NA
"H10.MAA000385.3_10_M.1.1","B-cells",NA
"J10.MAA000385.3_10_M.1.1","Mono/macro/DCs",NA
"N12.MAA000385.3_10_M.1.1","Granulocytes",NA
"L8.MAA000385.3_10_M.1.1","Multipotent Progenitors",NA
"F10.MAA000385.3_10_M.1.1","B-cells",NA
"H12.MAA000385.3_10_M.1.1","Neutrophils",NA
"J11.MAA000385.3_10_M.1.1","Neutrophils",NA
"L9.MAA000385.3_10_M.1.1","Granulocytes",NA
"N14.MAA000385.3_10_M.1.1","B-cells",NA
"P9.MAA000385.3_10_M.1.1","B-cells",NA
"B6.MAA000385.3_10_M.1.1","Epithelial?",NA
"D7.MAA000385.3_10_M.1.1","Multipotent Progenitors",NA
"B9.MAA000385.3_10_M.1.1","B-cells",NA
"D10.MAA000385.3_10_M.1.1","Neutrophils",NA
"F11.MAA000385.3_10_M.1.1","Mono/macro/DCs",NA
"H13.MAA000385.3_10_M.1.1","B-cells",NA
"J12.MAA000385.3_10_M.1.1","B-cells",NA
