"","annotation","subannotation"
"A12.D041914.3_8_M.1.1","MesenchymalA1",NA
"B16.D041914.3_8_M.1.1","LuminalB",NA
"C18.D041914.3_8_M.1.1","LuminalB",NA
"D22.D041914.3_8_M.1.1","LuminalA2",NA
"F4.D041914.3_8_M.1.1","MesenchymalA1",NA
"C19.D041914.3_8_M.1.1","LuminalA2",NA
"E1.D041914.3_8_M.1.1","MesenchymalA1",NA
"A13.D041914.3_8_M.1.1","MesenchymalA2",NA
"B17.D041914.3_8_M.1.1","LuminalA2",NA
"A14.D041914.3_8_M.1.1","MesenchymalA2",NA
"B18.D041914.3_8_M.1.1","LuminalA2",NA
"C20.D041914.3_8_M.1.1","LuminalB",NA
"E2.D041914.3_8_M.1.1","MesenchymalA2",NA
"A15.D041914.3_8_M.1.1","LuminalB",NA
"B19.D041914.3_8_M.1.1","LuminalB",NA
"C21.D041914.3_8_M.1.1","LuminalA2",NA
"E3.D041914.3_8_M.1.1","MesenchymalA1",NA
"A16.D041914.3_8_M.1.1","LuminalB",NA
"B20.D041914.3_8_M.1.1","LuminalB",NA
"C22.D041914.3_8_M.1.1","LuminalB",NA
"E4.D041914.3_8_M.1.1","MesenchymalA1",NA
"A17.D041914.3_8_M.1.1","LuminalA2",NA
"A18.D041914.3_8_M.1.1","LuminalA2",NA
"B21.D041914.3_8_M.1.1","LuminalA2",NA
"D1.D041914.3_8_M.1.1","MesenchymalA1",NA
"E5.D041914.3_8_M.1.1","MesenchymalA2",NA
"B22.D041914.3_8_M.1.1","LuminalA2",NA
"D2.D041914.3_8_M.1.1","MesenchymalA1",NA
"E6.D041914.3_8_M.1.1","MesenchymalA1",NA
"A20.D041914.3_8_M.1.1","LuminalB",NA
"C1.D041914.3_8_M.1.1","MesenchymalA2",NA
"D3.D041914.3_8_M.1.1","MesenchymalA1",NA
"E7.D041914.3_8_M.1.1","MesenchymalA2",NA
"D4.D041914.3_8_M.1.1","MesenchymalA1",NA
"E8.D041914.3_8_M.1.1","MesenchymalA1",NA
"A21.D041914.3_8_M.1.1","LuminalA2",NA
"C2.D041914.3_8_M.1.1","MesenchymalA1",NA
"A22.D041914.3_8_M.1.1","LuminalB",NA
"C3.D041914.3_8_M.1.1","MesenchymalA1",NA
"D5.D041914.3_8_M.1.1","MesenchymalA2",NA
"E9.D041914.3_8_M.1.1","MesenchymalA2",NA
"B3.D041914.3_8_M.1.1","MesenchymalA1",NA
"B2.D041914.3_8_M.1.1","MesenchymalA1",NA
"C4.D041914.3_8_M.1.1","MesenchymalA2",NA
"D6.D041914.3_8_M.1.1","MesenchymalA2",NA
"E10.D041914.3_8_M.1.1","MesenchymalA2",NA
"C5.D041914.3_8_M.1.1","MesenchymalA1",NA
"D7.D041914.3_8_M.1.1","MesenchymalA2",NA
"E11.D041914.3_8_M.1.1","MesenchymalA2",NA
"B4.D041914.3_8_M.1.1","MesenchymalA1",NA
"C6.D041914.3_8_M.1.1","MesenchymalA2",NA
"D8.D041914.3_8_M.1.1","MesenchymalA2",NA
"E12.D041914.3_8_M.1.1","MesenchymalA1",NA
"A1.D041914.3_8_M.1.1","MesenchymalA1",NA
"A2.D041914.3_8_M.1.1","MesenchymalA1",NA
"B5.D041914.3_8_M.1.1","MesenchymalA1",NA
"B6.D041914.3_8_M.1.1","MesenchymalA1",NA
"C8.D041914.3_8_M.1.1","MesenchymalA1",NA
"D10.D041914.3_8_M.1.1","MesenchymalB1",NA
"C7.D041914.3_8_M.1.1","MesenchymalA2",NA
"E13.D041914.3_8_M.1.1","MesenchymalA1",NA
"E14.D041914.3_8_M.1.1","MesenchymalA2",NA
"A3.D041914.3_8_M.1.1","MesenchymalA1",NA
"B7.D041914.3_8_M.1.1","MesenchymalA2",NA
"C9.D041914.3_8_M.1.1","MesenchymalA2",NA
"D12.D041914.3_8_M.1.1","MesenchymalA2",NA
"E15.D041914.3_8_M.1.1","LuminalB",NA
