annotation,n_cells
stromal,11135
b_cells,8611
basal,6706
t_cells,6095
endothelial,3381
tubule,1921
macrophages,1748
keratinocytes,1454
progenitors,1381
luminal,1353
mesenchymal,1186
immune,1160
mesenchymal_stem,1111
hepatocytes,1006
epithelial,974
natural_killer,832
granulocytes,770
monocytes,667
pdgfrb_+_ptprc,543
unknown,398
chondrogenic,380
dendritic,369
satellite,349
fenestrated_capillary,345
fibroblasts,335
erythrocytes,197
stromal_mesenchymal,112
cardiomyocytes,83
collecting_duct,72
smooth_muscle,71
ciliated,41
mesothelial,24
mast,22
club,5
