tissue,cell_ontology_class,cell_ontology_id,cell_ontology_term_iri,n_cells
Aorta,endothelial cell,CL:0000115,http://purl.obolibrary.org/obo/CL_0000115,131
Aorta,epicardial adipocyte,CL:1000309,http://purl.obolibrary.org/obo/CL_1000309,93
Aorta,fibroblast,CL:0000057,http://purl.obolibrary.org/obo/CL_0000057,35
Aorta,hematopoietic cell,CL:0000988,http://purl.obolibrary.org/obo/CL_0000988,17
Aorta,smooth muscle cell,CL:0000192,http://purl.obolibrary.org/obo/CL_0000192,37
Bladder,basal cell of urothelium,CL:1000486,http://purl.obolibrary.org/obo/CL_1000486,99
Bladder,bladder cell,CL:1001319,http://purl.obolibrary.org/obo/CL_1001319,532
Bladder,mesenchymal cell,CL:0008019,http://purl.obolibrary.org/obo/CL_0008019,656
Brain_(Microglia),macrophage,CL:0000235,http://purl.obolibrary.org/obo/CL_0000235,36
Brain_(Microglia),microglial cell,CL:0000129,http://purl.obolibrary.org/obo/CL_0000129,4329
Brain_(Non-microglia),astrocyte of the cerebral cortex,CL:0002605,http://purl.obolibrary.org/obo/CL_0002605,403
Brain_(Non-microglia),brain pericyte,CL:2000043,http://purl.obolibrary.org/obo/CL_2000043,132
Brain_(Non-microglia),endothelial cell,CL:0000115,http://purl.obolibrary.org/obo/CL_0000115,625
Brain_(Non-microglia),neuron,CL:0000540,http://purl.obolibrary.org/obo/CL_0000540,194
Brain_(Non-microglia),oligodendrocyte,CL:0000128,http://purl.obolibrary.org/obo/CL_0000128,1175
Colon,Brush cell of epithelium proper of large intestine,CL:0002203,http://purl.obolibrary.org/obo/CL_0002203,45
Colon,enterocyte of epithelium of large intestine,CL:0002071,http://purl.obolibrary.org/obo/CL_0002071,782
Colon,enteroendocrine cell,CL:0000164,http://purl.obolibrary.org/obo/CL_0000164,25
Colon,epithelial cell of large intestine,CL:0002253,http://purl.obolibrary.org/obo/CL_0002253,1793
Colon,large intestine goblet cell,CL:1000320,http://purl.obolibrary.org/obo/CL_1000320,814
Diaphragm,B cell,CL:0000236,http://purl.obolibrary.org/obo/CL_0000236,80
Diaphragm,endothelial cell,CL:0000115,http://purl.obolibrary.org/obo/CL_0000115,77
Diaphragm,macrophage,CL:0000235,http://purl.obolibrary.org/obo/CL_0000235,31
Diaphragm,mesenchymal stem cell,CL:0000134,http://purl.obolibrary.org/obo/CL_0000134,240
Diaphragm,skeletal muscle satellite stem cell,CL:0008011,http://purl.obolibrary.org/obo/CL_0008011,442
Fat,B cell,CL:0000236,http://purl.obolibrary.org/obo/CL_0000236,513
Fat,T cell,CL:0000084,http://purl.obolibrary.org/obo/CL_0000084,366
Fat,endothelial cell,CL:0000115,http://purl.obolibrary.org/obo/CL_0000115,590
Fat,epithelial cell,CL:0000066,http://purl.obolibrary.org/obo/CL_0000066,51
Fat,granulocyte,CL:0000094,http://purl.obolibrary.org/obo/CL_0000094,409
Fat,mesenchymal stem cell of adipose,CL:0002570,http://purl.obolibrary.org/obo/CL_0002570,1924
Fat,myeloid cell,CL:0000763,http://purl.obolibrary.org/obo/CL_0000763,479
Fat,natural killer cell,CL:0000623,http://purl.obolibrary.org/obo/CL_0000623,129
Fat,neutrophil,CL:0000775,http://purl.obolibrary.org/obo/CL_0000775,221
Fat,smooth muscle cell,CL:0000192,http://purl.obolibrary.org/obo/CL_0000192,27
Heart,cardiac muscle cell,CL:0000746,http://purl.obolibrary.org/obo/CL_0000746,140
Heart,endocardial cell,CL:0002350,http://purl.obolibrary.org/obo/CL_0002350,175
Heart,endothelial cell,CL:0000115,http://purl.obolibrary.org/obo/CL_0000115,1137
Heart,erythrocyte,CL:0000232,http://purl.obolibrary.org/obo/CL_0000232,11
Heart,fibroblast,CL:0000057,http://purl.obolibrary.org/obo/CL_0000057,2052
Heart,leukocyte,CL:0000738,http://purl.obolibrary.org/obo/CL_0000738,488
Heart,smooth muscle cell,CL:0000192,http://purl.obolibrary.org/obo/CL_0000192,218
Kidney,endothelial cell,CL:0000115,http://purl.obolibrary.org/obo/CL_0000115,40
Kidney,fenestrated cell,CL:0000666,http://purl.obolibrary.org/obo/CL_0000666,69
Kidney,fibroblast,CL:0000057,http://purl.obolibrary.org/obo/CL_0000057,65
Kidney,kidney collecting duct cell,CL:1001225,http://purl.obolibrary.org/obo/CL_1001225,44
Kidney,kidney tubule cell,CL:1000507,http://purl.obolibrary.org/obo/CL_1000507,261
Kidney,leukocyte,CL:0000738,http://purl.obolibrary.org/obo/CL_0000738,38
Liver,B cell,CL:0000236,http://purl.obolibrary.org/obo/CL_0000236,29
Liver,Kupffer cell,CL:0000091,http://purl.obolibrary.org/obo/CL_0000091,51
Liver,endothelial cell of hepatic sinusoid,CL:1000398,http://purl.obolibrary.org/obo/CL_1000398,196
Liver,hepatocyte,CL:0000182,http://purl.obolibrary.org/obo/CL_0000182,399
Liver,natural killer cell,CL:0000623,http://purl.obolibrary.org/obo/CL_0000623,35
Lung,B cell,CL:0000236,http://purl.obolibrary.org/obo/CL_0000236,55
Lung,Clara cell,CL:0000158,http://purl.obolibrary.org/obo/CL_0000158,13
Lung,T cell,CL:0000084,http://purl.obolibrary.org/obo/CL_0000084,55
Lung,ciliated cell,CL:0000064,http://purl.obolibrary.org/obo/CL_0000064,14
Lung,dendritic cell,CL:0000451,http://purl.obolibrary.org/obo/CL_0000451,69
Lung,endothelial cell,CL:0000115,http://purl.obolibrary.org/obo/CL_0000115,738
Lung,epithelial cell,CL:0000066,http://purl.obolibrary.org/obo/CL_0000066,9
Lung,leukocyte,CL:0000738,http://purl.obolibrary.org/obo/CL_0000738,31
Lung,lung neuroendocrine cell,CL:1000223,http://purl.obolibrary.org/obo/CL_1000223,2
Lung,macrophage,CL:0000235,http://purl.obolibrary.org/obo/CL_0000235,69
