tissue,cell_ontology_class,cell_ontology_id,cell_ontology_term_iri,n_cells
Bladder,basal cell of urothelium,CL:1000486,http://purl.obolibrary.org/obo/CL_1000486,266
Bladder,bladder cell,CL:1001319,http://purl.obolibrary.org/obo/CL_1001319,923
Bladder,endothelial cell,CL:0000115,http://purl.obolibrary.org/obo/CL_0000115,68
Bladder,leukocyte,CL:0000738,http://purl.obolibrary.org/obo/CL_0000738,57
Bladder,mesenchymal cell,CL:0008019,http://purl.obolibrary.org/obo/CL_0008019,1186
Heart,cardiac muscle cell,CL:0000746,http://purl.obolibrary.org/obo/CL_0000746,83
Heart,endocardial cell,CL:0002350,http://purl.obolibrary.org/obo/CL_0002350,65
Heart,endothelial cell,CL:0000115,http://purl.obolibrary.org/obo/CL_0000115,178
Heart,erythrocyte,CL:0000232,http://purl.obolibrary.org/obo/CL_0000232,55
Heart,fibroblast,CL:0000057,http://purl.obolibrary.org/obo/CL_0000057,222
Heart,smooth muscle cell,CL:0000192,http://purl.obolibrary.org/obo/CL_0000192,21
Kidney,endothelial cell,CL:0000115,http://purl.obolibrary.org/obo/CL_0000115,45
Kidney,fenestrated cell,CL:0000666,http://purl.obolibrary.org/obo/CL_0000666,345
Kidney,fibroblast,CL:0000057,http://purl.obolibrary.org/obo/CL_0000057,113
Kidney,kidney collecting duct cell,CL:1001225,http://purl.obolibrary.org/obo/CL_1001225,72
Kidney,kidney tubule cell,CL:1000507,http://purl.obolibrary.org/obo/CL_1000507,1921
Kidney,leukocyte,CL:0000738,http://purl.obolibrary.org/obo/CL_0000738,54
Kidney,macrophage,CL:0000235,http://purl.obolibrary.org/obo/CL_0000235,181
Kidney,smooth muscle cell,CL:0000192,http://purl.obolibrary.org/obo/CL_0000192,50
Liver,endothelial cell,CL:0000115,http://purl.obolibrary.org/obo/CL_0000115,20
Liver,hepatocyte,CL:0000182,http://purl.obolibrary.org/obo/CL_0000182,1006
Lung,B cell,CL:0000236,http://purl.obolibrary.org/obo/CL_0000236,205
Lung,Clara cell,CL:0000158,http://purl.obolibrary.org/obo/CL_0000158,5
Lung,T cell,CL:0000084,http://purl.obolibrary.org/obo/CL_0000084,246
