"","annotation","subannotation"
"A14.MAA000496.3_10_M.1.1","Pdgfrb",NA
"B17.MAA000496.3_10_M.1.1","Pdgfrb",NA
"C22.MAA000496.3_10_M.1.1","Pdgfrb",NA
"E13.MAA000496.3_10_M.1.1","Pdgfrb",NA
"G2.MAA000496.3_10_M.1.1","Pdgfrb",NA
"B18.MAA000496.3_10_M.1.1","Pdgfrb",NA
"D1.MAA000496.3_10_M.1.1","Ptprc",NA
"H9.MAA000496.3_10_M.1.1","Pdgfrb",NA
"E14.MAA000496.3_10_M.1.1","Pdgfrb",NA
"I15.MAA000496.3_10_M.1.1","Pdgfrb",NA
"K3.MAA000496.3_10_M.1.1","Pdgfrb",NA
"G4.MAA000496.3_10_M.1.1","Pdgfrb",NA
"A16.MAA000496.3_10_M.1.1","Epcam","No Krt5"
"D2.MAA000496.3_10_M.1.1","Pdgfrb",NA
"E15.MAA000496.3_10_M.1.1","Pdgfrb",NA
"H10.MAA000496.3_10_M.1.1","Pdgfrb",NA
"G5.MAA000496.3_10_M.1.1","Pdgfrb",NA
"H11.MAA000496.3_10_M.1.1","Ptprc",NA
"I16.MAA000496.3_10_M.1.1","Pdgfrb",NA
"K4.MAA000496.3_10_M.1.1","Pdgfrb",NA
"I18.MAA000496.3_10_M.1.1","Pdgfrb",NA
"A17.MAA000496.3_10_M.1.1","Pdgfrb",NA
"B20.MAA000496.3_10_M.1.1","Ptprc",NA
"D3.MAA000496.3_10_M.1.1","Pdgfrb",NA
"E16.MAA000496.3_10_M.1.1","Pdgfrb",NA
"G6.MAA000496.3_10_M.1.1","Pdgfrb",NA
"H12.MAA000496.3_10_M.1.1","Pdgfrb",NA
"K5.MAA000496.3_10_M.1.1","Pdgfrb",NA
"B21.MAA000496.3_10_M.1.1","Pdgfrb",NA
"I19.MAA000496.3_10_M.1.1","Ptprc",NA
"E17.MAA000496.3_10_M.1.1","Pdgfrb",NA
"G7.MAA000496.3_10_M.1.1","Pdgfrb",NA
"K6.MAA000496.3_10_M.1.1","Pdgfrb",NA
"H13.MAA000496.3_10_M.1.1","Pdgfrb",NA
"A20.MAA000496.3_10_M.1.1","Pdgfrb",NA
"B22.MAA000496.3_10_M.1.1","Pdgfrb",NA
"D5.MAA000496.3_10_M.1.1","Pdgfrb",NA
"E20.MAA000496.3_10_M.1.1","Pdgfrb",NA
"G8.MAA000496.3_10_M.1.1","Pdgfrb",NA
"I20.MAA000496.3_10_M.1.1","Pdgfrb",NA
"H14.MAA000496.3_10_M.1.1","Pdgfrb",NA
"I21.MAA000496.3_10_M.1.1","Pecam1",NA
"K8.MAA000496.3_10_M.1.1","Pdgfrb",NA
"K7.MAA000496.3_10_M.1.1","Pdgfrb",NA
"A21.MAA000496.3_10_M.1.1","Pdgfrb",NA
"C1.MAA000496.3_10_M.1.1","Scgb1a1",NA
"G9.MAA000496.3_10_M.1.1","Pdgfrb",NA
"H15.MAA000496.3_10_M.1.1","Pecam1",NA
