"","annotation","subannotation"
"A12.MAA000427.3_11_M.1.1","Outer Bulge",NA
"J12.MAA000427.3_11_M.1.1","Outer Bulge",NA
"K14.MAA000427.3_11_M.1.1","Outer Bulge",NA
"L16.MAA000427.3_11_M.1.1","Inner Bulge",NA
"M18.MAA000427.3_11_M.1.1","Inner Bulge",NA
"N20.MAA000427.3_11_M.1.1","Inner Bulge",NA
"O22.MAA000427.3_11_M.1.1","Inner Bulge",NA
"A13.MAA000427.3_11_M.1.1","Outer Bulge",NA
"B16.MAA000427.3_11_M.1.1","Basal IFE",NA
"B15.MAA000427.3_11_M.1.1","Inner Bulge",NA
"C21.MAA000427.3_11_M.1.1","Inner Bulge",NA
"E1.MAA000427.3_11_M.1.1","Basal IFE",NA
"C20.MAA000427.3_11_M.1.1","Inner Bulge",NA
"D22.MAA000427.3_11_M.1.1","Inner Bulge",NA
"F3.MAA000427.3_11_M.1.1","Intermediate IFE",NA
"G5.MAA000427.3_11_M.1.1","Intermediate IFE",NA
"H7.MAA000427.3_11_M.1.1","Basal IFE",NA
"I9.MAA000427.3_11_M.1.1","Outer Bulge",NA
"F4.MAA000427.3_11_M.1.1","Outer IFE",NA
"P1.MAA000427.3_11_M.1.1","Cell Cycle",NA
"A14.MAA000427.3_11_M.1.1","Intermediate IFE",NA
"B17.MAA000427.3_11_M.1.1","Inner Bulge",NA
"C22.MAA000427.3_11_M.1.1","Inner Bulge",NA
"E2.MAA000427.3_11_M.1.1","Basal IFE",NA
"F5.MAA000427.3_11_M.1.1","Basal IFE",NA
"G7.MAA000427.3_11_M.1.1","Basal IFE",NA
"H9.MAA000427.3_11_M.1.1","Outer Bulge",NA
"G6.MAA000427.3_11_M.1.1","Basal IFE",NA
"I11.MAA000427.3_11_M.1.1","Outer Bulge",NA
"J14.MAA000427.3_11_M.1.1","Outer Bulge",NA
"H8.MAA000427.3_11_M.1.1","Outer Bulge",NA
"I10.MAA000427.3_11_M.1.1","Outer Bulge",NA
"J13.MAA000427.3_11_M.1.1","Outer Bulge",NA
"K15.MAA000427.3_11_M.1.1","Inner Bulge",NA
"L17.MAA000427.3_11_M.1.1","Inner Bulge",NA
"M19.MAA000427.3_11_M.1.1","Inner Bulge",NA
"N21.MAA000427.3_11_M.1.1","Inner Bulge",NA
"K16.MAA000427.3_11_M.1.1","Inner Bulge",NA
"B18.MAA000427.3_11_M.1.1","Inner Bulge",NA
"D1.MAA000427.3_11_M.1.1","Basal IFE",NA
"E3.MAA000427.3_11_M.1.1","Intermediate IFE",NA
"F6.MAA000427.3_11_M.1.1","Inner Bulge",NA
"G8.MAA000427.3_11_M.1.1","Outer Bulge",NA
"H10.MAA000427.3_11_M.1.1","Outer Bulge",NA
"I12.MAA000427.3_11_M.1.1","Outer Bulge",NA
"J15.MAA000427.3_11_M.1.1","Inner Bulge",NA
"K17.MAA000427.3_11_M.1.1","Inner Bulge",NA
"L18.MAA000427.3_11_M.1.1","Inner Bulge",NA
"L19.MAA000427.3_11_M.1.1","Inner Bulge",NA
"M21.MAA000427.3_11_M.1.1","Inner Bulge",NA
"O1.MAA000427.3_11_M.1.1","Basal IFE",NA
"M20.MAA000427.3_11_M.1.1","Inner Bulge",NA
"N22.MAA000427.3_11_M.1.1","Inner Bulge",NA
"P3.MAA000427.3_11_M.1.1","Basal IFE",NA
"A15.MAA000427.3_11_M.1.1","Inner Bulge",NA
"P4.MAA000427.3_11_M.1.1","Intermediate IFE",NA
"H11.MAA000427.3_11_M.1.1","Outer Bulge",NA
"I13.MAA000427.3_11_M.1.1","Outer Bulge",NA
"J16.MAA000427.3_11_M.1.1","Inner Bulge",NA
"K18.MAA000427.3_11_M.1.1","Inner Bulge",NA
"L20.MAA000427.3_11_M.1.1","Inner Bulge",NA
"M22.MAA000427.3_11_M.1.1","Inner Bulge",NA
"O2.MAA000427.3_11_M.1.1","Basal IFE",NA
"P5.MAA000427.3_11_M.1.1","Intermediate IFE",NA
"A17.MAA000427.3_11_M.1.1","Inner Bulge",NA
"B20.MAA000427.3_11_M.1.1","Outer IFE",NA
"D3.MAA000427.3_11_M.1.1","Outer IFE",NA
"A16.MAA000427.3_11_M.1.1","Inner Bulge",NA
"B19.MAA000427.3_11_M.1.1","Outer Bulge",NA
