"","annotation","subannotation"
"D2.MAA000427.3_11_M.1.1","Basal IFE",NA
"E4.MAA000427.3_11_M.1.1","Outer IFE",NA
"F7.MAA000427.3_11_M.1.1","Intermediate IFE",NA
"G9.MAA000427.3_11_M.1.1","Outer Bulge",NA
"E5.MAA000427.3_11_M.1.1","Intermediate IFE",NA
"N1.MAA000427.3_11_M.1.1","Intermediate IFE",NA
"O3.MAA000427.3_11_M.1.1","Intermediate IFE",NA
"P6.MAA000427.3_11_M.1.1","Basal IFE",NA
"A18.MAA000427.3_11_M.1.1","Inner Bulge",NA
"B21.MAA000427.3_11_M.1.1","Inner Bulge",NA
"D4.MAA000427.3_11_M.1.1","Basal IFE",NA
"E6.MAA000427.3_11_M.1.1","Basal IFE",NA
"F9.MAA000427.3_11_M.1.1","Outer Bulge",NA
"F8.MAA000427.3_11_M.1.1","Outer Bulge",NA
"G11.MAA000427.3_11_M.1.1","Outer Bulge",NA
"H13.MAA000427.3_11_M.1.1","Outer Bulge",NA
"I15.MAA000427.3_11_M.1.1","Inner Bulge",NA
"G10.MAA000427.3_11_M.1.1","Outer Bulge",NA
"H12.MAA000427.3_11_M.1.1","Outer Bulge",NA
"I14.MAA000427.3_11_M.1.1","Outer Bulge",NA
"J17.MAA000427.3_11_M.1.1","Inner Bulge",NA
"K19.MAA000427.3_11_M.1.1","Inner Bulge",NA
"L21.MAA000427.3_11_M.1.1","Inner Bulge",NA
"J18.MAA000427.3_11_M.1.1","Inner Bulge",NA
"C1.MAA000427.3_11_M.1.1","Basal IFE",NA
"D5.MAA000427.3_11_M.1.1","Cell Cycle",NA
"E7.MAA000427.3_11_M.1.1","Basal IFE",NA
"F10.MAA000427.3_11_M.1.1","Outer Bulge",NA
"G12.MAA000427.3_11_M.1.1","Outer Bulge",NA
"H14.MAA000427.3_11_M.1.1","Outer Bulge",NA
"I16.MAA000427.3_11_M.1.1","Inner Bulge",NA
"J19.MAA000427.3_11_M.1.1","Inner Bulge",NA
"K21.MAA000427.3_11_M.1.1","Inner Bulge",NA
"M1.MAA000427.3_11_M.1.1","Outer IFE",NA
"K20.MAA000427.3_11_M.1.1","Inner Bulge",NA
"N3.MAA000427.3_11_M.1.1","Basal IFE",NA
"O5.MAA000427.3_11_M.1.1","Cell Cycle",NA
"P9.MAA000427.3_11_M.1.1","Outer Bulge",NA
"L22.MAA000427.3_11_M.1.1","Inner Bulge",NA
"N2.MAA000427.3_11_M.1.1","Basal IFE",NA
"O4.MAA000427.3_11_M.1.1","Intermediate IFE",NA
"P7.MAA000427.3_11_M.1.1","Basal IFE",NA
"A19.MAA000427.3_11_M.1.1","Inner Bulge",NA
"I17.MAA000427.3_11_M.1.1","Inner Bulge",NA
"J20.MAA000427.3_11_M.1.1","Inner Bulge",NA
"K22.MAA000427.3_11_M.1.1","Inner Bulge",NA
"M2.MAA000427.3_11_M.1.1","Basal IFE",NA
"N4.MAA000427.3_11_M.1.1","Basal IFE",NA
"O6.MAA000427.3_11_M.1.1","Outer IFE",NA
"P10.MAA000427.3_11_M.1.1","Outer Bulge",NA
"A21.MAA000427.3_11_M.1.1","Inner Bulge",NA
"C4.MAA000427.3_11_M.1.1","Outer IFE",NA
"D7.MAA000427.3_11_M.1.1","Intermediate IFE",NA
"E10.MAA000427.3_11_M.1.1","Outer Bulge",NA
"A20.MAA000427.3_11_M.1.1","Inner Bulge",NA
"C2.MAA000427.3_11_M.1.1","Cell Cycle",NA
"D6.MAA000427.3_11_M.1.1","Intermediate IFE",NA
"E9.MAA000427.3_11_M.1.1","Outer Bulge",NA
"F11.MAA000427.3_11_M.1.1","Outer Bulge",NA
"G13.MAA000427.3_11_M.1.1","Intermediate IFE",NA
"H15.MAA000427.3_11_M.1.1","Inner Bulge",NA
"F12.MAA000427.3_11_M.1.1","Outer Bulge",NA
"P11.MAA000427.3_11_M.1.1","Outer Bulge",NA
"B1.MAA000427.3_11_M.1.1","Intermediate IFE",NA
"C5.MAA000427.3_11_M.1.1","Basal IFE",NA
"D8.MAA000427.3_11_M.1.1","Outer Bulge",NA
"E11.MAA000427.3_11_M.1.1","Outer Bulge",NA
"F13.MAA000427.3_11_M.1.1","Outer Bulge",NA
"G15.MAA000427.3_11_M.1.1","Inner Bulge",NA
"H17.MAA000427.3_11_M.1.1","Inner Bulge",NA
"G14.MAA000427.3_11_M.1.1","Outer Bulge",NA
"I19.MAA000427.3_11_M.1.1","Inner Bulge",NA
"J22.MAA000427.3_11_M.1.1","Inner Bulge",NA
"L2.MAA000427.3_11_M.1.1","Basal IFE",NA
"H16.MAA000427.3_11_M.1.1","Inner Bulge",NA
"I18.MAA000427.3_11_M.1.1","Inner Bulge",NA
"J21.MAA000427.3_11_M.1.1","Inner Bulge",NA
"L1.MAA000427.3_11_M.1.1","Cell Cycle",NA
"M3.MAA000427.3_11_M.1.1","Basal IFE",NA
"N5.MAA000427.3_11_M.1.1","Intermediate IFE",NA
"O7.MAA000427.3_11_M.1.1","Basal IFE",NA
"M4.MAA000427.3_11_M.1.1","Basal IFE",NA
"E12.MAA000427.3_11_M.1.1","Outer Bulge",NA
"F14.MAA000427.3_11_M.1.1","Outer Bulge",NA
"G16.MAA000427.3_11_M.1.1","Inner Bulge",NA
"H18.MAA000427.3_11_M.1.1","Inner Bulge",NA
"I20.MAA000427.3_11_M.1.1","Inner Bulge",NA
"K1.MAA000427.3_11_M.1.1","Cell Cycle",NA
"L3.MAA000427.3_11_M.1.1","Outer IFE",NA
"M5.MAA000427.3_11_M.1.1","Intermediate IFE",NA
"N7.MAA000427.3_11_M.1.1","Outer IFE",NA
"O9.MAA000427.3_11_M.1.1","Outer Bulge",NA
"N6.MAA000427.3_11_M.1.1","Intermediate IFE",NA
"P13.MAA000427.3_11_M.1.1","Outer Bulge",NA
"O8.MAA000427.3_11_M.1.1","Outer Bulge",NA
"P12.MAA000427.3_11_M.1.1","Outer Bulge",NA
"B2.MAA000427.3_11_M.1.1","Intermediate IFE",NA
"C6.MAA000427.3_11_M.1.1","Outer Bulge",NA
"D9.MAA000427.3_11_M.1.1","Outer Bulge",NA
"B3.MAA000427.3_11_M.1.1","Cell Cycle",NA
"K2.MAA000427.3_11_M.1.1","Outer IFE",NA
"L4.MAA000427.3_11_M.1.1","Cell Cycle",NA
"M6.MAA000427.3_11_M.1.1","Intermediate IFE",NA
"N8.MAA000427.3_11_M.1.1","Inner Bulge",NA
"O10.MAA000427.3_11_M.1.1","Outer Bulge",NA
"P14.MAA000427.3_11_M.1.1","Outer Bulge",NA
"B4.MAA000427.3_11_M.1.1","Inner Bulge",NA
"C8.MAA000427.3_11_M.1.1","Outer Bulge",NA
"C7.MAA000427.3_11_M.1.1","Intermediate IFE",NA
"D11.MAA000427.3_11_M.1.1","Outer Bulge",NA
"E14.MAA000427.3_11_M.1.1","Outer Bulge",NA
"F16.MAA000427.3_11_M.1.1","Inner Bulge",NA
"D10.MAA000427.3_11_M.1.1","Outer Bulge",NA
"E13.MAA000427.3_11_M.1.1","Inner Bulge",NA
"F15.MAA000427.3_11_M.1.1","Inner Bulge",NA
"G17.MAA000427.3_11_M.1.1","Inner Bulge",NA
"H19.MAA000427.3_11_M.1.1","Intermediate IFE",NA
"I21.MAA000427.3_11_M.1.1","Inner Bulge",NA
"G18.MAA000427.3_11_M.1.1","Inner Bulge",NA
"A1.MAA000427.3_11_M.1.1","Inner Bulge",NA
"B5.MAA000427.3_11_M.1.1","Inner Bulge",NA
"C9.MAA000427.3_11_M.1.1","Outer Bulge",NA
"D12.MAA000427.3_11_M.1.1","Outer Bulge",NA
"E15.MAA000427.3_11_M.1.1","Inner Bulge",NA
"F17.MAA000427.3_11_M.1.1","Inner Bulge",NA
"G19.MAA000427.3_11_M.1.1","Inner Bulge",NA
"H21.MAA000427.3_11_M.1.1","Inner Bulge",NA
"H20.MAA000427.3_11_M.1.1","Inner Bulge",NA
"J1.MAA000427.3_11_M.1.1","Cell Cycle",NA
"K4.MAA000427.3_11_M.1.1","Outer IFE",NA
"L6.MAA000427.3_11_M.1.1","Intermediate IFE",NA
"I22.MAA000427.3_11_M.1.1","Inner Bulge",NA
"K3.MAA000427.3_11_M.1.1","Intermediate IFE",NA
"L5.MAA000427.3_11_M.1.1","Intermediate IFE",NA
"M7.MAA000427.3_11_M.1.1","Inner Bulge",NA
"N9.MAA000427.3_11_M.1.1","Outer Bulge",NA
"O11.MAA000427.3_11_M.1.1","Outer Bulge",NA
"P15.MAA000427.3_11_M.1.1","Inner Bulge",NA
"M8.MAA000427.3_11_M.1.1","Outer Bulge",NA
"E16.MAA000427.3_11_M.1.1","Inner Bulge",NA
"F18.MAA000427.3_11_M.1.1","Inner Bulge",NA
"G20.MAA000427.3_11_M.1.1","Inner Bulge",NA
"H22.MAA000427.3_11_M.1.1","Inner Bulge",NA
"J2.MAA000427.3_11_M.1.1","Inner Bulge",NA
"K5.MAA000427.3_11_M.1.1","Intermediate IFE",NA
"L7.MAA000427.3_11_M.1.1","Outer IFE",NA
"M9.MAA000427.3_11_M.1.1","Outer Bulge",NA
"N11.MAA000427.3_11_M.1.1","Outer Bulge",NA
"O13.MAA000427.3_11_M.1.1","Outer Bulge",NA
"N10.MAA000427.3_11_M.1.1","Outer Bulge",NA
"P17.MAA000427.3_11_M.1.1","Inner Bulge",NA
"A4.MAA000427.3_11_M.1.1","Basal IFE",NA
"O12.MAA000427.3_11_M.1.1","Outer Bulge",NA
"P16.MAA000427.3_11_M.1.1","Inner Bulge",NA
"A2.MAA000427.3_11_M.1.1","Inner Bulge",NA
"B6.MAA000427.3_11_M.1.1","Basal IFE",NA
"C10.MAA000427.3_11_M.1.1","Outer Bulge",NA
"D13.MAA000427.3_11_M.1.1","Outer Bulge",NA
"B7.MAA000427.3_11_M.1.1","Intermediate IFE",NA
"L8.MAA000427.3_11_M.1.1","Outer Bulge",NA
"M10.MAA000427.3_11_M.1.1","Outer Bulge",NA
"N12.MAA000427.3_11_M.1.1","Outer Bulge",NA
"O14.MAA000427.3_11_M.1.1","Outer Bulge",NA
"P18.MAA000427.3_11_M.1.1","Inner Bulge",NA
"A5.MAA000427.3_11_M.1.1","Basal IFE",NA
"B8.MAA000427.3_11_M.1.1","Outer Bulge",NA
"C12.MAA000427.3_11_M.1.1","Outer Bulge",NA
"D15.MAA000427.3_11_M.1.1","Inner Bulge",NA
"C11.MAA000427.3_11_M.1.1","Outer Bulge",NA
"E18.MAA000427.3_11_M.1.1","Inner Bulge",NA
"F20.MAA000427.3_11_M.1.1","Outer IFE",NA
"G22.MAA000427.3_11_M.1.1","Inner Bulge",NA
"D14.MAA000427.3_11_M.1.1","Inner Bulge",NA
"E17.MAA000427.3_11_M.1.1","Inner Bulge",NA
"F19.MAA000427.3_11_M.1.1","Inner Bulge",NA
"G21.MAA000427.3_11_M.1.1","Inner Bulge",NA
"I1.MAA000427.3_11_M.1.1","Basal IFE",NA
"J3.MAA000427.3_11_M.1.1","Basal IFE",NA
"K6.MAA000427.3_11_M.1.1","Basal IFE",NA
"I2.MAA000427.3_11_M.1.1","Basal IFE",NA
"A6.MAA000427.3_11_M.1.1","Intermediate IFE",NA
"B9.MAA000427.3_11_M.1.1","Outer Bulge",NA
"C13.MAA000427.3_11_M.1.1","Outer Bulge",NA
"D16.MAA000427.3_11_M.1.1","Inner Bulge",NA
"E19.MAA000427.3_11_M.1.1","Inner Bulge",NA
"F21.MAA000427.3_11_M.1.1","Inner Bulge",NA
"H1.MAA000427.3_11_M.1.1","Basal IFE",NA
"I3.MAA000427.3_11_M.1.1","Outer IFE",NA
"J5.MAA000427.3_11_M.1.1","Basal IFE",NA
"K8.MAA000427.3_11_M.1.1","Outer Bulge",NA
"J4.MAA000427.3_11_M.1.1","Inner Bulge",NA
"L10.MAA000427.3_11_M.1.1","Outer Bulge",NA
"M12.MAA000427.3_11_M.1.1","Inner Bulge",NA
"N14.MAA000427.3_11_M.1.1","Outer Bulge",NA
"K7.MAA000427.3_11_M.1.1","Intermediate IFE",NA
"L9.MAA000427.3_11_M.1.1","Outer Bulge",NA
"M11.MAA000427.3_11_M.1.1","Outer Bulge",NA
"N13.MAA000427.3_11_M.1.1","Outer Bulge",NA
"O15.MAA000427.3_11_M.1.1","Inner Bulge",NA
"P19.MAA000427.3_11_M.1.1","Inner Bulge",NA
"O16.MAA000427.3_11_M.1.1","Inner Bulge",NA
"H2.MAA000427.3_11_M.1.1","Basal IFE",NA
"I4.MAA000427.3_11_M.1.1","Intermediate IFE",NA
"J6.MAA000427.3_11_M.1.1","Intermediate IFE",NA
"K9.MAA000427.3_11_M.1.1","Outer Bulge",NA
"L11.MAA000427.3_11_M.1.1","Outer Bulge",NA
"M13.MAA000427.3_11_M.1.1","Outer Bulge",NA
"N15.MAA000427.3_11_M.1.1","Inner Bulge",NA
"O17.MAA000427.3_11_M.1.1","Inner Bulge",NA
"P21.MAA000427.3_11_M.1.1","Inner Bulge",NA
"P20.MAA000427.3_11_M.1.1","Inner Bulge",NA
"A8.MAA000427.3_11_M.1.1","Outer Bulge",NA
"B11.MAA000427.3_11_M.1.1","Outer Bulge",NA
"C15.MAA000427.3_11_M.1.1","Inner Bulge",NA
"B10.MAA000427.3_11_M.1.1","Outer Bulge",NA
"C14.MAA000427.3_11_M.1.1","Outer Bulge",NA
"D17.MAA000427.3_11_M.1.1","Inner Bulge",NA
"E20.MAA000427.3_11_M.1.1","Inner Bulge",NA
"F22.MAA000427.3_11_M.1.1","Inner Bulge",NA
"D18.MAA000427.3_11_M.1.1","Inner Bulge",NA
"L12.MAA000427.3_11_M.1.1","Intermediate IFE",NA
"M14.MAA000427.3_11_M.1.1","Outer Bulge",NA
"N16.MAA000427.3_11_M.1.1","Inner Bulge",NA
"O18.MAA000427.3_11_M.1.1","Inner Bulge",NA
"P22.MAA000427.3_11_M.1.1","Inner Bulge",NA
"A9.MAA000427.3_11_M.1.1","Outer Bulge",NA
"B12.MAA000427.3_11_M.1.1","Basal IFE",NA
"C16.MAA000427.3_11_M.1.1","Inner Bulge",NA
"D19.MAA000427.3_11_M.1.1","Inner Bulge",NA
"E22.MAA000427.3_11_M.1.1","Inner Bulge",NA
"G2.MAA000427.3_11_M.1.1","Basal IFE",NA
"H4.MAA000427.3_11_M.1.1","Basal IFE",NA
"E21.MAA000427.3_11_M.1.1","Inner Bulge",NA
"G1.MAA000427.3_11_M.1.1","Basal IFE",NA
"H3.MAA000427.3_11_M.1.1","Cell Cycle",NA
"I5.MAA000427.3_11_M.1.1","Outer IFE",NA
"J8.MAA000427.3_11_M.1.1","Outer Bulge",NA
"K10.MAA000427.3_11_M.1.1","Outer Bulge",NA
"I6.MAA000427.3_11_M.1.1","Basal IFE",NA
"A10.MAA000427.3_11_M.1.1","Outer Bulge",NA
"J9.MAA000427.3_11_M.1.1","Outer Bulge",NA
"B13.MAA000427.3_11_M.1.1","Outer Bulge",NA
"C18.MAA000427.3_11_M.1.1","Inner Bulge",NA
"K11.MAA000427.3_11_M.1.1","Outer Bulge",NA
"L13.MAA000427.3_11_M.1.1","Outer Bulge",NA
"M15.MAA000427.3_11_M.1.1","Inner Bulge",NA
"N17.MAA000427.3_11_M.1.1","Inner Bulge",NA
"O19.MAA000427.3_11_M.1.1","Inner Bulge",NA
"D20.MAA000427.3_11_M.1.1","Inner Bulge",NA
"K12.MAA000427.3_11_M.1.1","Outer Bulge",NA
"L14.MAA000427.3_11_M.1.1","Outer Bulge",NA
"M16.MAA000427.3_11_M.1.1","Inner Bulge",NA
"N18.MAA000427.3_11_M.1.1","Inner Bulge",NA
"O20.MAA000427.3_11_M.1.1","Inner Bulge",NA
"F1.MAA000427.3_11_M.1.1","Inner Bulge",NA
"G3.MAA000427.3_11_M.1.1","Basal IFE",NA
"H5.MAA000427.3_11_M.1.1","Basal IFE",NA
"I7.MAA000427.3_11_M.1.1","Basal IFE",NA
"J10.MAA000427.3_11_M.1.1","Outer Bulge",NA
"A11.MAA000427.3_11_M.1.1","Outer Bulge",NA
"I8.MAA000427.3_11_M.1.1","Outer Bulge",NA
"J11.MAA000427.3_11_M.1.1","Outer Bulge",NA
"K13.MAA000427.3_11_M.1.1","Outer Bulge",NA
"L15.MAA000427.3_11_M.1.1","Inner Bulge",NA
"M17.MAA000427.3_11_M.1.1","Inner Bulge",NA
"N19.MAA000427.3_11_M.1.1","Inner Bulge",NA
"O21.MAA000427.3_11_M.1.1","Inner Bulge",NA
"B14.MAA000427.3_11_M.1.1","Outer Bulge",NA
"C19.MAA000427.3_11_M.1.1","Inner Bulge",NA
"D21.MAA000427.3_11_M.1.1","Inner Bulge",NA
"F2.MAA000427.3_11_M.1.1","Outer IFE",NA
"G4.MAA000427.3_11_M.1.1","Intermediate IFE",NA
"H6.MAA000427.3_11_M.1.1","Basal IFE",NA
"A8.MAA000435.3_10_M.1.1","Inner Bulge",NA
"A9.MAA000435.3_10_M.1.1","Inner Bulge",NA
"A10.MAA000435.3_10_M.1.1","Inner Bulge",NA
"A12.MAA000435.3_10_M.1.1","Inner Bulge",NA
"A13.MAA000435.3_10_M.1.1","Inner Bulge",NA
"A14.MAA000435.3_10_M.1.1","Inner Bulge",NA
"A16.MAA000435.3_10_M.1.1","Inner Bulge",NA
"A17.MAA000435.3_10_M.1.1","Inner Bulge",NA
"A18.MAA000435.3_10_M.1.1","Outer Bulge",NA
"A19.MAA000435.3_10_M.1.1","Outer Bulge",NA
"A20.MAA000435.3_10_M.1.1","Inner Bulge",NA
"A21.MAA000435.3_10_M.1.1","Outer Bulge",NA
"B1.MAA000435.3_10_M.1.1","Basal IFE",NA
"A1.MAA000435.3_10_M.1.1","Basal IFE",NA
"B5.MAA000435.3_10_M.1.1","Intermediate IFE",NA
"A3.MAA000435.3_10_M.1.1","Basal IFE",NA
"A5.MAA000435.3_10_M.1.1","Intermediate IFE",NA
"A6.MAA000435.3_10_M.1.1","Basal IFE",NA
"F1.MAA000435.3_10_M.1.1","Basal IFE",NA
"G3.MAA000435.3_10_M.1.1","Basal IFE",NA
"H6.MAA000435.3_10_M.1.1","Basal IFE",NA
"I9.MAA000435.3_10_M.1.1","Inner Bulge",NA
"J12.MAA000435.3_10_M.1.1","Inner Bulge",NA
"L17.MAA000435.3_10_M.1.1","Outer Bulge",NA
"M21.MAA000435.3_10_M.1.1","Outer Bulge",NA
"O4.MAA000435.3_10_M.1.1","Intermediate IFE",NA
"P6.MAA000435.3_10_M.1.1","Intermediate IFE",NA
"A7.MAA000435.3_10_M.1.1","Intermediate IFE",NA
"B12.MAA000435.3_10_M.1.1","Inner Bulge",NA
"C16.MAA000435.3_10_M.1.1","Outer Bulge",NA
"D19.MAA000435.3_10_M.1.1","Outer Bulge",NA
"N1.MAA000435.3_10_M.1.1","Intermediate IFE",NA
"O5.MAA000435.3_10_M.1.1","Inner Bulge",NA
"P7.MAA000435.3_10_M.1.1","Intermediate IFE",NA
"D21.MAA000435.3_10_M.1.1","Outer Bulge",NA
"B13.MAA000435.3_10_M.1.1","Inner Bulge",NA
"C17.MAA000435.3_10_M.1.1","Outer Bulge",NA
"P8.MAA000435.3_10_M.1.1","Inner Bulge",NA
"B16.MAA000435.3_10_M.1.1","Outer Bulge",NA
"K17.MAA000435.3_10_M.1.1","Outer Bulge",NA
"O6.MAA000435.3_10_M.1.1","Intermediate IFE",NA
"B17.MAA000435.3_10_M.1.1","Outer Bulge",NA
"C20.MAA000435.3_10_M.1.1","Outer Bulge",NA
"E2.MAA000435.3_10_M.1.1","Intermediate IFE",NA
"F5.MAA000435.3_10_M.1.1","Basal IFE",NA
"H10.MAA000435.3_10_M.1.1","Inner Bulge",NA
"I13.MAA000435.3_10_M.1.1","Inner Bulge",NA
"K19.MAA000435.3_10_M.1.1","Outer Bulge",NA
"L21.MAA000435.3_10_M.1.1","Outer Bulge",NA
"N5.MAA000435.3_10_M.1.1","Intermediate IFE",NA
"O8.MAA000435.3_10_M.1.1","Inner Bulge",NA
"P10.MAA000435.3_10_M.1.1","Inner Bulge",NA
"O7.MAA000435.3_10_M.1.1","Cell Cycle",NA
"P9.MAA000435.3_10_M.1.1","Inner Bulge",NA
"I14.MAA000435.3_10_M.1.1","Inner Bulge",NA
"J17.MAA000435.3_10_M.1.1","Outer Bulge",NA
"K20.MAA000435.3_10_M.1.1","Inner Bulge",NA
"L22.MAA000435.3_10_M.1.1","Outer Bulge",NA
"O9.MAA000435.3_10_M.1.1","Inner Bulge",NA
"P11.MAA000435.3_10_M.1.1","Inner Bulge",NA
"B20.MAA000435.3_10_M.1.1","Outer Bulge",NA
"D1.MAA000435.3_10_M.1.1","Basal IFE",NA
"E5.MAA000435.3_10_M.1.1","Intermediate IFE",NA
"B18.MAA000435.3_10_M.1.1","Outer Bulge",NA
"C21.MAA000435.3_10_M.1.1","Outer Bulge",NA
"E4.MAA000435.3_10_M.1.1","Basal IFE",NA
"F6.MAA000435.3_10_M.1.1","Basal IFE",NA
"P12.MAA000435.3_10_M.1.1","Inner Bulge",NA
"B21.MAA000435.3_10_M.1.1","Outer Bulge",NA
"D2.MAA000435.3_10_M.1.1","Basal IFE",NA
"I16.MAA000435.3_10_M.1.1","Outer Bulge",NA
"M1.MAA000435.3_10_M.1.1","Inner Bulge",NA
"N7.MAA000435.3_10_M.1.1","Basal IFE",NA
"O10.MAA000435.3_10_M.1.1","Inner Bulge",NA
"M2.MAA000435.3_10_M.1.1","Inner Bulge",NA
"D3.MAA000435.3_10_M.1.1","Intermediate IFE",NA
"E7.MAA000435.3_10_M.1.1","Intermediate IFE",NA
"G11.MAA000435.3_10_M.1.1","Inner Bulge",NA
"J20.MAA000435.3_10_M.1.1","Outer Bulge",NA
"L1.MAA000435.3_10_M.1.1","Outer IFE",NA
"M3.MAA000435.3_10_M.1.1","Intermediate IFE",NA
"N8.MAA000435.3_10_M.1.1","Inner Bulge",NA
"N9.MAA000435.3_10_M.1.1","Inner Bulge",NA
"O12.MAA000435.3_10_M.1.1","Inner Bulge",NA
"P14.MAA000435.3_10_M.1.1","Inner Bulge",NA
"O11.MAA000435.3_10_M.1.1","Inner Bulge",NA
"P13.MAA000435.3_10_M.1.1","Inner Bulge",NA
"B22.MAA000435.3_10_M.1.1","Intermediate IFE",NA
"M4.MAA000435.3_10_M.1.1","Inner Bulge",NA
"N10.MAA000435.3_10_M.1.1","Inner Bulge",NA
"O13.MAA000435.3_10_M.1.1","Inner Bulge",NA
"P15.MAA000435.3_10_M.1.1","Inner Bulge",NA
"C2.MAA000435.3_10_M.1.1","Intermediate IFE",NA
"D5.MAA000435.3_10_M.1.1","Intermediate IFE",NA
"C1.MAA000435.3_10_M.1.1","Intermediate IFE",NA
"D4.MAA000435.3_10_M.1.1","Cell Cycle",NA
"E8.MAA000435.3_10_M.1.1","Intermediate IFE",NA
"E9.MAA000435.3_10_M.1.1","Inner Bulge",NA
"O14.MAA000435.3_10_M.1.1","Inner Bulge",NA
"P16.MAA000435.3_10_M.1.1","Outer Bulge",NA
"C3.MAA000435.3_10_M.1.1","Inner Bulge",NA
"D6.MAA000435.3_10_M.1.1","Basal IFE",NA
"F12.MAA000435.3_10_M.1.1","Basal IFE",NA
"G13.MAA000435.3_10_M.1.1","Inner Bulge",NA
"M6.MAA000435.3_10_M.1.1","Basal IFE",NA
"N11.MAA000435.3_10_M.1.1","Inner Bulge",NA
"L4.MAA000435.3_10_M.1.1","Intermediate IFE",NA
"C4.MAA000435.3_10_M.1.1","Intermediate IFE",NA
"D7.MAA000435.3_10_M.1.1","Inner Bulge",NA
