"","annotation","subannotation"
"D13.MAA000574.3_8_M.1.1","immune cells","Exocrine?"
"D14.MAA000574.3_8_M.1.1","exocrine cells",NA
"C5.MAA000574.3_8_M.1.1","exocrine cells",NA
"A3.MAA000574.3_8_M.1.1","alpha cells","PP"
"C11.MAA000574.3_8_M.1.1","exocrine cells",NA
"C15.MAA000574.3_8_M.1.1","exocrine cells",NA
"C16.MAA000574.3_8_M.1.1","duct cells",NA
"C17.MAA000574.3_8_M.1.1","exocrine cells",NA
"B6.MAA000574.3_8_M.1.1","beta cells",NA
"C19.MAA000574.3_8_M.1.1","exocrine cells",NA
"B9.MAA000574.3_8_M.1.1","exocrine cells",NA
"C21.MAA000574.3_8_M.1.1","endothelial cells",NA
"B15.MAA000574.3_8_M.1.1","exocrine cells",NA
"B19.MAA000574.3_8_M.1.1","PP cells",NA
"K13.MAA000574.3_8_M.1.1","beta cells",NA
"F1.MAA000574.3_8_M.1.1","duct cells",NA
"G8.MAA000574.3_8_M.1.1","exocrine cells",NA
"J8.MAA000574.3_8_M.1.1","duct cells",NA
"K14.MAA000574.3_8_M.1.1","duct cells",NA
"L19.MAA000574.3_8_M.1.1","duct cells",NA
"F2.MAA000574.3_8_M.1.1","exocrine cells",NA
"G9.MAA000574.3_8_M.1.1","exocrine cells",NA
"N5.MAA000574.3_8_M.1.1","exocrine cells",NA
"F3.MAA000574.3_8_M.1.1","exocrine cells",NA
"K17.MAA000574.3_8_M.1.1","beta cells",NA
"H21.MAA000574.3_8_M.1.1","immune cells","Exocrine?"
"J12.MAA000574.3_8_M.1.1","endothelial cells",NA
"L22.MAA000574.3_8_M.1.1","duct cells",NA
"N9.MAA000574.3_8_M.1.1","duct cells",NA
"O14.MAA000574.3_8_M.1.1","exocrine cells",NA
"P17.MAA000574.3_8_M.1.1","exocrine cells",NA
"D19.MAA000574.3_8_M.1.1","immune cells","Exocrine?"
"D20.MAA000574.3_8_M.1.1","duct cells",NA
"F6.MAA000574.3_8_M.1.1","exocrine cells",NA
"H22.MAA000574.3_8_M.1.1","duct cells",NA
"J13.MAA000574.3_8_M.1.1","immune cells","Exocrine?"
"M2.MAA000574.3_8_M.1.1","exocrine cells",NA
"N10.MAA000574.3_8_M.1.1","duct cells",NA
"D21.MAA000574.3_8_M.1.1","duct cells",NA
"G13.MAA000574.3_8_M.1.1","exocrine cells",NA
"I1.MAA000574.3_8_M.1.1","exocrine cells",NA
"K20.MAA000574.3_8_M.1.1","endothelial cells",NA
"P18.MAA000574.3_8_M.1.1","duct cells",NA
"F8.MAA000574.3_8_M.1.1","stellate cells",NA
"G14.MAA000574.3_8_M.1.1","duct cells",NA
"K21.MAA000574.3_8_M.1.1","stellate cells",NA
"P20.MAA000574.3_8_M.1.1","stellate cells",NA
"J17.MAA000574.3_8_M.1.1","exocrine cells",NA
"K22.MAA000574.3_8_M.1.1","endothelial cells",NA
"M5.MAA000574.3_8_M.1.1","exocrine cells",NA
"O18.MAA000574.3_8_M.1.1","duct cells",NA
"E2.MAA000574.3_8_M.1.1","exocrine cells",NA
"E1.MAA000574.3_8_M.1.1","exocrine cells",NA
"G15.MAA000574.3_8_M.1.1","beta cells",NA
"I5.MAA000574.3_8_M.1.1","beta cells",NA
"F10.MAA000574.3_8_M.1.1","exocrine cells",NA
"E3.MAA000574.3_8_M.1.1","endothelial cells",NA
"L2.MAA000574.3_8_M.1.1","exocrine cells",NA
"G17.MAA000574.3_8_M.1.1","duct cells",NA
"F12.MAA000574.3_8_M.1.1","beta cells",NA
"I8.MAA000574.3_8_M.1.1","duct cells",NA
"J20.MAA000574.3_8_M.1.1","endothelial cells",NA
"G20.MAA000574.3_8_M.1.1","duct cells",NA
"I13.MAA000574.3_8_M.1.1","immune cells","Exocrine?"
"L6.MAA000574.3_8_M.1.1","endothelial cells",NA
"N19.MAA000574.3_8_M.1.1","exocrine cells",NA
"M11.MAA000574.3_8_M.1.1","exocrine cells",NA
"N16.MAA000574.3_8_M.1.1","duct cells",NA
"O21.MAA000574.3_8_M.1.1","exocrine cells",NA
"I14.MAA000574.3_8_M.1.1","exocrine cells",NA
"K1.MAA000574.3_8_M.1.1","exocrine cells",NA
"N20.MAA000574.3_8_M.1.1","endothelial cells",NA
"P1.MAA000574.3_8_M.1.1","exocrine cells",NA
"I15.MAA000574.3_8_M.1.1","exocrine cells",NA
"G22.MAA000574.3_8_M.1.1","duct cells",NA
"N21.MAA000574.3_8_M.1.1","endothelial cells",NA
"I17.MAA000574.3_8_M.1.1","exocrine cells",NA
"E8.MAA000574.3_8_M.1.1","PP cells",NA
"F16.MAA000574.3_8_M.1.1","beta cells",NA
"I19.MAA000574.3_8_M.1.1","exocrine cells",NA
"F17.MAA000574.3_8_M.1.1","exocrine cells",NA
"O2.MAA000574.3_8_M.1.1","exocrine cells",NA
"K4.MAA000574.3_8_M.1.1","stellate cells",NA
"I20.MAA000574.3_8_M.1.1","duct cells",NA
"M18.MAA000574.3_8_M.1.1","beta cells",NA
"O3.MAA000574.3_8_M.1.1","exocrine cells",NA
"L11.MAA000574.3_8_M.1.1","duct cells",NA
"I21.MAA000574.3_8_M.1.1","immune cells","Exocrine?"
"K7.MAA000574.3_8_M.1.1","exocrine cells",NA
"M19.MAA000574.3_8_M.1.1","exocrine cells",NA
"F19.MAA000574.3_8_M.1.1","beta cells",NA
"H7.MAA000574.3_8_M.1.1","exocrine cells",NA
"I22.MAA000574.3_8_M.1.1","duct cells",NA
"K8.MAA000574.3_8_M.1.1","exocrine cells",NA
"F20.MAA000574.3_8_M.1.1","stellate cells",NA
"M20.MAA000574.3_8_M.1.1","endothelial cells",NA
"J1.MAA000574.3_8_M.1.1","exocrine cells",NA
"E18.MAA000574.3_8_M.1.1","exocrine cells",NA
"F22.MAA000574.3_8_M.1.1","duct cells",NA
"H9.MAA000574.3_8_M.1.1","exocrine cells",NA
"J4.MAA000574.3_8_M.1.1","exocrine cells",NA
"P9.MAA000574.3_8_M.1.1","exocrine cells",NA
"G3.MAA000574.3_8_M.1.1","immune cells","Exocrine?"
"N2.MAA000574.3_8_M.1.1","endothelial cells",NA
