"","annotation","subannotation"
"P10.MAA000574.3_8_M.1.1","exocrine cells",NA
"O8.MAA000574.3_8_M.1.1","beta cells",NA
"L17.MAA000574.3_8_M.1.1","exocrine cells",NA
"C10.MAA000577.3_8_M.1.1","beta cells",NA
"D17.MAA000577.3_8_M.1.1","delta cells",NA
"F1.MAA000577.3_8_M.1.1","delta cells",NA
"H14.MAA000577.3_8_M.1.1","beta cells",NA
"I20.MAA000577.3_8_M.1.1","beta cells",NA
"G7.MAA000577.3_8_M.1.1","PP cells",NA
"H16.MAA000577.3_8_M.1.1","beta cells",NA
"I21.MAA000577.3_8_M.1.1","stellate cells",NA
"K7.MAA000577.3_8_M.1.1","beta cells",NA
"C11.MAA000577.3_8_M.1.1","PP cells",NA
"F2.MAA000577.3_8_M.1.1","PP cells",NA
"F4.MAA000577.3_8_M.1.1","beta cells",NA
"B4.MAA000577.3_8_M.1.1","beta cells",NA
"C12.MAA000577.3_8_M.1.1","beta cells",NA
"D19.MAA000577.3_8_M.1.1","PP cells",NA
"G8.MAA000577.3_8_M.1.1","beta cells",NA
"H17.MAA000577.3_8_M.1.1","PP cells",NA
"B5.MAA000577.3_8_M.1.1","beta cells",NA
"H18.MAA000577.3_8_M.1.1","PP cells",NA
"C13.MAA000577.3_8_M.1.1","PP cells",NA
"D20.MAA000577.3_8_M.1.1","PP cells",NA
"G10.MAA000577.3_8_M.1.1","delta cells",NA
"J2.MAA000577.3_8_M.1.1","beta cells",NA
"K9.MAA000577.3_8_M.1.1","beta cells",NA
"B7.MAA000577.3_8_M.1.1","PP cells",NA
"J3.MAA000577.3_8_M.1.1","beta cells",NA
"K10.MAA000577.3_8_M.1.1","beta cells",NA
"E1.MAA000577.3_8_M.1.1","beta cells",NA
"F6.MAA000577.3_8_M.1.1","alpha cells","Alpha - male"
"G11.MAA000577.3_8_M.1.1","delta cells",NA
"H19.MAA000577.3_8_M.1.1","PP cells",NA
"H20.MAA000577.3_8_M.1.1","beta cells",NA
"J4.MAA000577.3_8_M.1.1","beta cells",NA
"K11.MAA000577.3_8_M.1.1","beta cells",NA
"C15.MAA000577.3_8_M.1.1","beta cells",NA
"F7.MAA000577.3_8_M.1.1","beta cells",NA
"G13.MAA000577.3_8_M.1.1","PP cells",NA
"B10.MAA000577.3_8_M.1.1","PP cells",NA
"C16.MAA000577.3_8_M.1.1","beta cells",NA
"E3.MAA000577.3_8_M.1.1","PP cells",NA
"G14.MAA000577.3_8_M.1.1","PP cells",NA
"J5.MAA000577.3_8_M.1.1","delta cells",NA
"B11.MAA000577.3_8_M.1.1","beta cells",NA
"C17.MAA000577.3_8_M.1.1","PP cells",NA
"E4.MAA000577.3_8_M.1.1","delta cells",NA
"F10.MAA000577.3_8_M.1.1","PP cells",NA
"G15.MAA000577.3_8_M.1.1","delta cells",NA
"I1.MAA000577.3_8_M.1.1","beta cells",NA
"J6.MAA000577.3_8_M.1.1","PP cells",NA
"F11.MAA000577.3_8_M.1.1","beta cells",NA
"G17.MAA000577.3_8_M.1.1","beta cells",NA
"I2.MAA000577.3_8_M.1.1","PP cells",NA
"B12.MAA000577.3_8_M.1.1","PP cells",NA
"C18.MAA000577.3_8_M.1.1","PP cells",NA
"E5.MAA000577.3_8_M.1.1","PP cells",NA
"A6.MAA000577.3_8_M.1.1","delta cells",NA
"A5.MAA000577.3_8_M.1.1","beta cells",NA
"C21.MAA000577.3_8_M.1.1","exocrine cells",NA
"E7.MAA000577.3_8_M.1.1","PP cells",NA
"B13.MAA000577.3_8_M.1.1","PP cells",NA
"C20.MAA000577.3_8_M.1.1","beta cells",NA
"E6.MAA000577.3_8_M.1.1","stellate cells",NA
"F12.MAA000577.3_8_M.1.1","beta cells",NA
"G18.MAA000577.3_8_M.1.1","beta cells",NA
"I3.MAA000577.3_8_M.1.1","PP cells",NA
"J9.MAA000577.3_8_M.1.1","delta cells",NA
"F13.MAA000577.3_8_M.1.1","PP cells",NA
"A7.MAA000577.3_8_M.1.1","beta cells",NA
"B15.MAA000577.3_8_M.1.1","delta cells",NA
"D1.MAA000577.3_8_M.1.1","PP cells",NA
"E8.MAA000577.3_8_M.1.1","beta cells",NA
"F14.MAA000577.3_8_M.1.1","alpha cells","Alpha - male"
"G20.MAA000577.3_8_M.1.1","PP cells",NA
"I5.MAA000577.3_8_M.1.1","beta cells",NA
"G19.MAA000577.3_8_M.1.1","beta cells",NA
"J12.MAA000577.3_8_M.1.1","beta cells",NA
"I4.MAA000577.3_8_M.1.1","beta cells",NA
"J11.MAA000577.3_8_M.1.1","delta cells",NA
"A8.MAA000577.3_8_M.1.1","beta cells",NA
"B17.MAA000577.3_8_M.1.1","PP cells",NA
"D2.MAA000577.3_8_M.1.1","beta cells",NA
"F15.MAA000577.3_8_M.1.1","beta cells",NA
"G21.MAA000577.3_8_M.1.1","immune cells","Immune"
"I6.MAA000577.3_8_M.1.1","delta cells",NA
"J13.MAA000577.3_8_M.1.1","beta cells",NA
"B18.MAA000577.3_8_M.1.1","delta cells",NA
"D3.MAA000577.3_8_M.1.1","beta cells",NA
"E10.MAA000577.3_8_M.1.1","PP cells",NA
"F16.MAA000577.3_8_M.1.1","PP cells",NA
"H1.MAA000577.3_8_M.1.1","PP cells",NA
"I7.MAA000577.3_8_M.1.1","PP cells",NA
"J14.MAA000577.3_8_M.1.1","PP cells",NA
"D4.MAA000577.3_8_M.1.1","beta cells",NA
"E11.MAA000577.3_8_M.1.1","PP cells",NA
"H2.MAA000577.3_8_M.1.1","PP cells",NA
"I8.MAA000577.3_8_M.1.1","beta cells",NA
"J15.MAA000577.3_8_M.1.1","beta cells",NA
"A11.MAA000577.3_8_M.1.1","PP cells",NA
"B19.MAA000577.3_8_M.1.1","beta cells",NA
"F18.MAA000577.3_8_M.1.1","delta cells",NA
"H3.MAA000577.3_8_M.1.1","delta cells",NA
"I10.MAA000577.3_8_M.1.1","beta cells",NA
"J16.MAA000577.3_8_M.1.1","beta cells",NA
"A12.MAA000577.3_8_M.1.1","PP cells",NA
"B21.MAA000577.3_8_M.1.1","PP cells",NA
"D7.MAA000577.3_8_M.1.1","beta cells",NA
"E12.MAA000577.3_8_M.1.1","delta cells",NA
"J17.MAA000577.3_8_M.1.1","beta cells",NA
"A14.MAA000577.3_8_M.1.1","beta cells",NA
"A13.MAA000577.3_8_M.1.1","beta cells",NA
"D8.MAA000577.3_8_M.1.1","beta cells",NA
"E13.MAA000577.3_8_M.1.1","alpha cells","Alpha - male"
"F20.MAA000577.3_8_M.1.1","PP cells",NA
"H4.MAA000577.3_8_M.1.1","beta cells",NA
"I11.MAA000577.3_8_M.1.1","PP cells",NA
"D9.MAA000577.3_8_M.1.1","beta cells",NA
"A15.MAA000577.3_8_M.1.1","beta cells",NA
"E14.MAA000577.3_8_M.1.1","beta cells",NA
"D10.MAA000577.3_8_M.1.1","beta cells",NA
"E15.MAA000577.3_8_M.1.1","PP cells",NA
"F21.MAA000577.3_8_M.1.1","endothelial cells",NA
"H6.MAA000577.3_8_M.1.1","beta cells",NA
"I12.MAA000577.3_8_M.1.1","PP cells",NA
"J18.MAA000577.3_8_M.1.1","beta cells",NA
"H7.MAA000577.3_8_M.1.1","beta cells",NA
"C5.MAA000577.3_8_M.1.1","beta cells",NA
"D11.MAA000577.3_8_M.1.1","beta cells",NA
"E17.MAA000577.3_8_M.1.1","beta cells",NA
"G1.MAA000577.3_8_M.1.1","delta cells",NA
"I13.MAA000577.3_8_M.1.1","PP cells",NA
"H8.MAA000577.3_8_M.1.1","PP cells",NA
"I15.MAA000577.3_8_M.1.1","PP cells",NA
"J19.MAA000577.3_8_M.1.1","beta cells",NA
"J21.MAA000577.3_8_M.1.1","stellate cells",NA
"A19.MAA000577.3_8_M.1.1","beta cells",NA
"C6.MAA000577.3_8_M.1.1","beta cells",NA
"D12.MAA000577.3_8_M.1.1","beta cells",NA
"E18.MAA000577.3_8_M.1.1","beta cells",NA
"G2.MAA000577.3_8_M.1.1","beta cells",NA
"H9.MAA000577.3_8_M.1.1","beta cells",NA
"I16.MAA000577.3_8_M.1.1","beta cells",NA
"K1.MAA000577.3_8_M.1.1","delta cells",NA
"C7.MAA000577.3_8_M.1.1","beta cells",NA
"E19.MAA000577.3_8_M.1.1","PP cells",NA
"G3.MAA000577.3_8_M.1.1","beta cells",NA
"H11.MAA000577.3_8_M.1.1","beta cells",NA
"I17.MAA000577.3_8_M.1.1","PP cells",NA
"K2.MAA000577.3_8_M.1.1","PP cells",NA
"A20.MAA000577.3_8_M.1.1","beta cells",NA
"G4.MAA000577.3_8_M.1.1","PP cells",NA
"H12.MAA000577.3_8_M.1.1","PP cells",NA
"I18.MAA000577.3_8_M.1.1","beta cells",NA
"K3.MAA000577.3_8_M.1.1","beta cells",NA
"A21.MAA000577.3_8_M.1.1","immune cells","Immune"
"C8.MAA000577.3_8_M.1.1","endothelial cells",NA
"D15.MAA000577.3_8_M.1.1","delta cells",NA
"E20.MAA000577.3_8_M.1.1","delta cells",NA
"I19.MAA000577.3_8_M.1.1","PP cells",NA
"K5.MAA000577.3_8_M.1.1","alpha cells","Alpha - male"
"M12.MAA000577.3_8_M.1.1","delta cells",NA
"N20.MAA000577.3_8_M.1.1","beta cells",NA
"C9.MAA000577.3_8_M.1.1","delta cells",NA
"D16.MAA000577.3_8_M.1.1","PP cells",NA
"E21.MAA000577.3_8_M.1.1","stellate cells",NA
"G5.MAA000577.3_8_M.1.1","PP cells",NA
"H13.MAA000577.3_8_M.1.1","beta cells",NA
"M15.MAA000577.3_8_M.1.1","beta cells",NA
"M14.MAA000577.3_8_M.1.1","delta cells",NA
"O1.MAA000577.3_8_M.1.1","PP cells",NA
"O5.MAA000577.3_8_M.1.1","beta cells",NA
"L16.MAA000577.3_8_M.1.1","PP cells",NA
"M20.MAA000577.3_8_M.1.1","alpha cells","Alpha - male"
"L17.MAA000577.3_8_M.1.1","beta cells",NA
"O7.MAA000577.3_8_M.1.1","PP cells",NA
"P10.MAA000577.3_8_M.1.1","beta cells",NA
"K15.MAA000577.3_8_M.1.1","beta cells",NA
"N1.MAA000577.3_8_M.1.1","PP cells",NA
"O8.MAA000577.3_8_M.1.1","beta cells",NA
"P11.MAA000577.3_8_M.1.1","beta cells",NA
"N3.MAA000577.3_8_M.1.1","beta cells",NA
"O9.MAA000577.3_8_M.1.1","alpha cells","Alpha - male"
"K17.MAA000577.3_8_M.1.1","beta cells",NA
"P12.MAA000577.3_8_M.1.1","PP cells",NA
"N4.MAA000577.3_8_M.1.1","beta cells",NA
"O11.MAA000577.3_8_M.1.1","PP cells",NA
"P13.MAA000577.3_8_M.1.1","beta cells",NA
"K19.MAA000577.3_8_M.1.1","beta cells",NA
"M1.MAA000577.3_8_M.1.1","beta cells",NA
"M2.MAA000577.3_8_M.1.1","PP cells",NA
"N8.MAA000577.3_8_M.1.1","delta cells",NA
"K21.MAA000577.3_8_M.1.1","beta cells",NA
"M3.MAA000577.3_8_M.1.1","PP cells",NA
"M4.MAA000577.3_8_M.1.1","PP cells",NA
"P18.MAA000577.3_8_M.1.1","delta cells",NA
"O16.MAA000577.3_8_M.1.1","delta cells",NA
"L3.MAA000577.3_8_M.1.1","beta cells",NA
"L4.MAA000577.3_8_M.1.1","beta cells",NA
"N15.MAA000577.3_8_M.1.1","exocrine cells",NA
"O18.MAA000577.3_8_M.1.1","beta cells",NA
"M8.MAA000577.3_8_M.1.1","PP cells",NA
"L6.MAA000577.3_8_M.1.1","beta cells",NA
"M10.MAA000577.3_8_M.1.1","PP cells",NA
"M9.MAA000577.3_8_M.1.1","beta cells",NA
"O21.MAA000577.3_8_M.1.1","duct cells",NA
"A8.MAA000884.3_10_M.1.1","alpha cells","Alpha - male"
"B10.MAA000884.3_10_M.1.1","alpha cells","Alpha - male"
"C13.MAA000884.3_10_M.1.1","alpha cells","Alpha - female"
"G5.MAA000884.3_10_M.1.1","alpha cells","Alpha - male"
"H12.MAA000884.3_10_M.1.1","alpha cells","Alpha - male"
"I17.MAA000884.3_10_M.1.1","alpha cells","Alpha - male"
"D17.MAA000884.3_10_M.1.1","alpha cells","Alpha - male"
"F1.MAA000884.3_10_M.1.1","alpha cells","Alpha - male"
"G6.MAA000884.3_10_M.1.1","beta cells",NA
"H13.MAA000884.3_10_M.1.1","delta cells",NA
"A9.MAA000884.3_10_M.1.1","duct cells",NA
"A10.MAA000884.3_10_M.1.1","beta cells",NA
"B12.MAA000884.3_10_M.1.1","beta cells",NA
"C15.MAA000884.3_10_M.1.1","beta cells",NA
"D18.MAA000884.3_10_M.1.1","alpha cells","Alpha - male"
"F2.MAA000884.3_10_M.1.1","alpha cells","Alpha - female"
"G7.MAA000884.3_10_M.1.1","alpha cells","Alpha - male"
"H15.MAA000884.3_10_M.1.1","alpha cells","Alpha - male"
"I19.MAA000884.3_10_M.1.1","delta cells",NA
"B13.MAA000884.3_10_M.1.1","alpha cells","Alpha - male"
"D19.MAA000884.3_10_M.1.1","alpha cells","Alpha - male"
"F3.MAA000884.3_10_M.1.1","immune cells","Immune"
"G10.MAA000884.3_10_M.1.1","alpha cells","Alpha - male"
"H16.MAA000884.3_10_M.1.1","beta cells",NA
"A11.MAA000884.3_10_M.1.1","immune cells","Immune"
"K5.MAA000884.3_10_M.1.1","alpha cells","Alpha - male"
"C17.MAA000884.3_10_M.1.1","beta cells",NA
"F4.MAA000884.3_10_M.1.1","alpha cells","Alpha - male"
"G11.MAA000884.3_10_M.1.1","alpha cells","Alpha - male"
"H17.MAA000884.3_10_M.1.1","beta cells",NA
"J1.MAA000884.3_10_M.1.1","alpha cells","Alpha - male"
"K6.MAA000884.3_10_M.1.1","alpha cells","Alpha - female"
"A12.MAA000884.3_10_M.1.1","beta cells",NA
"F5.MAA000884.3_10_M.1.1","endothelial cells",NA
"G12.MAA000884.3_10_M.1.1","beta cells",NA
"H18.MAA000884.3_10_M.1.1","beta cells",NA
"J2.MAA000884.3_10_M.1.1","beta cells",NA
"K7.MAA000884.3_10_M.1.1","immune cells","Exocrine?"
"A13.MAA000884.3_10_M.1.1","immune cells","Exocrine?"
"B15.MAA000884.3_10_M.1.1","beta cells",NA
"C18.MAA000884.3_10_M.1.1","alpha cells","Alpha - male"
"J4.MAA000884.3_10_M.1.1","alpha cells","Alpha - male"
"K8.MAA000884.3_10_M.1.1","alpha cells","Alpha - male"
"A14.MAA000884.3_10_M.1.1","beta cells",NA
"B16.MAA000884.3_10_M.1.1","delta cells",NA
"C19.MAA000884.3_10_M.1.1","alpha cells","Alpha - male"
"F6.MAA000884.3_10_M.1.1","alpha cells","Alpha - male"
"G13.MAA000884.3_10_M.1.1","delta cells",NA
"A15.MAA000884.3_10_M.1.1","alpha cells","Alpha - male"
"A16.MAA000884.3_10_M.1.1","alpha cells","Alpha - male"
"B18.MAA000884.3_10_M.1.1","delta cells",NA
"B17.MAA000884.3_10_M.1.1","alpha cells","Alpha - male"
"E2.MAA000884.3_10_M.1.1","alpha cells","Alpha - male"
"C20.MAA000884.3_10_M.1.1","alpha cells","Alpha - male"
"E1.MAA000884.3_10_M.1.1","alpha cells","Alpha - male"
"F7.MAA000884.3_10_M.1.1","alpha cells","Alpha - male"
"G14.MAA000884.3_10_M.1.1","alpha cells","Alpha - male"
"J5.MAA000884.3_10_M.1.1","delta cells",NA
"K9.MAA000884.3_10_M.1.1","alpha cells","Alpha - male"
"F8.MAA000884.3_10_M.1.1","alpha cells","Alpha - male"
"B19.MAA000884.3_10_M.1.1","alpha cells","Alpha - male"
"E3.MAA000884.3_10_M.1.1","alpha cells","Alpha - male"
"F9.MAA000884.3_10_M.1.1","alpha cells","Alpha - male"
"G16.MAA000884.3_10_M.1.1","beta cells",NA
"G17.MAA000884.3_10_M.1.1","alpha cells","Alpha - male"
"J7.MAA000884.3_10_M.1.1","immune cells","Immune"
"J6.MAA000884.3_10_M.1.1","beta cells",NA
"K10.MAA000884.3_10_M.1.1","alpha cells","Alpha - male"
"K11.MAA000884.3_10_M.1.1","alpha cells","Alpha - male"
"A18.MAA000884.3_10_M.1.1","alpha cells","Alpha - male"
"B20.MAA000884.3_10_M.1.1","alpha cells","Alpha - male"
"E4.MAA000884.3_10_M.1.1","alpha cells","PP"
"F10.MAA000884.3_10_M.1.1","immune cells","Immune"
"I1.MAA000884.3_10_M.1.1","alpha cells","Alpha - male"
"J8.MAA000884.3_10_M.1.1","delta cells",NA
"A19.MAA000884.3_10_M.1.1","delta cells",NA
"B21.MAA000884.3_10_M.1.1","beta cells",NA
"D2.MAA000884.3_10_M.1.1","delta cells",NA
"E5.MAA000884.3_10_M.1.1","alpha cells","Alpha - male"
"I2.MAA000884.3_10_M.1.1","beta cells",NA
"J9.MAA000884.3_10_M.1.1","beta cells",NA
"I3.MAA000884.3_10_M.1.1","beta cells",NA
"J10.MAA000884.3_10_M.1.1","alpha cells","PP"
"A21.MAA000884.3_10_M.1.1","alpha cells","Alpha - male"
"C1.MAA000884.3_10_M.1.1","beta cells",NA
"D4.MAA000884.3_10_M.1.1","beta cells",NA
"A20.MAA000884.3_10_M.1.1","alpha cells","Alpha - male"
"E6.MAA000884.3_10_M.1.1","alpha cells","Alpha - male"
"F12.MAA000884.3_10_M.1.1","alpha cells","Alpha - male"
"G20.MAA000884.3_10_M.1.1","delta cells",NA
"E8.MAA000884.3_10_M.1.1","alpha cells","Alpha - male"
"A22.MAA000884.3_10_M.1.1","beta cells",NA
"C2.MAA000884.3_10_M.1.1","beta cells",NA
"D5.MAA000884.3_10_M.1.1","beta cells",NA
"E11.MAA000884.3_10_M.1.1","beta cells",NA
"F16.MAA000884.3_10_M.1.1","alpha cells","Alpha - male"
"F14.MAA000884.3_10_M.1.1","immune cells","Immune"
"I5.MAA000884.3_10_M.1.1","beta cells",NA
"J12.MAA000884.3_10_M.1.1","alpha cells","Alpha - male"
"G21.MAA000884.3_10_M.1.1","beta cells",NA
"I4.MAA000884.3_10_M.1.1","immune cells","Immune"
"J11.MAA000884.3_10_M.1.1","alpha cells","Alpha - male"
"B1.MAA000884.3_10_M.1.1","beta cells",NA
"C3.MAA000884.3_10_M.1.1","alpha cells","Alpha - male"
"D6.MAA000884.3_10_M.1.1","endothelial cells",NA
"E12.MAA000884.3_10_M.1.1","alpha cells","Alpha - female"
"F17.MAA000884.3_10_M.1.1","immune cells","Immune"
"H1.MAA000884.3_10_M.1.1","alpha cells","Alpha - male"
"I6.MAA000884.3_10_M.1.1","alpha cells","Alpha - male"
"J14.MAA000884.3_10_M.1.1","delta cells",NA
"F18.MAA000884.3_10_M.1.1","alpha cells","Alpha - male"
"H2.MAA000884.3_10_M.1.1","alpha cells","Alpha - male"
"I7.MAA000884.3_10_M.1.1","beta cells",NA
"J15.MAA000884.3_10_M.1.1","beta cells",NA
"B2.MAA000884.3_10_M.1.1","delta cells",NA
"C4.MAA000884.3_10_M.1.1","alpha cells","Alpha - male"
"D7.MAA000884.3_10_M.1.1","delta cells",NA
"E13.MAA000884.3_10_M.1.1","alpha cells","Alpha - male"
"A1.MAA000884.3_10_M.1.1","alpha cells","Alpha - male"
"B3.MAA000884.3_10_M.1.1","immune cells","Exocrine?"
"A2.MAA000884.3_10_M.1.1","endothelial cells",NA
"B4.MAA000884.3_10_M.1.1","delta cells",NA
"C6.MAA000884.3_10_M.1.1","alpha cells","PP"
"C5.MAA000884.3_10_M.1.1","beta cells",NA
"D8.MAA000884.3_10_M.1.1","alpha cells","Alpha - male"
"E14.MAA000884.3_10_M.1.1","delta cells",NA
"H3.MAA000884.3_10_M.1.1","beta cells",NA
"I9.MAA000884.3_10_M.1.1","delta cells",NA
"J16.MAA000884.3_10_M.1.1","beta cells",NA
"D10.MAA000884.3_10_M.1.1","alpha cells","Alpha - male"
"A3.MAA000884.3_10_M.1.1","duct cells",NA
"B5.MAA000884.3_10_M.1.1","alpha cells","Alpha - male"
"C8.MAA000884.3_10_M.1.1","beta cells",NA
"E15.MAA000884.3_10_M.1.1","beta cells",NA
"D11.MAA000884.3_10_M.1.1","alpha cells","Alpha - male"
"E16.MAA000884.3_10_M.1.1","alpha cells","Alpha - male"
"F22.MAA000884.3_10_M.1.1","PP cells",NA
"I10.MAA000884.3_10_M.1.1","alpha cells","Alpha - male"
"H5.MAA000884.3_10_M.1.1","duct cells",NA
"A4.MAA000884.3_10_M.1.1","alpha cells","Alpha - male"
"B6.MAA000884.3_10_M.1.1","beta cells",NA
"C9.MAA000884.3_10_M.1.1","delta cells",NA
"D12.MAA000884.3_10_M.1.1","alpha cells","Alpha - male"
"E17.MAA000884.3_10_M.1.1","delta cells",NA
"G1.MAA000884.3_10_M.1.1","alpha cells","Alpha - male"
"I11.MAA000884.3_10_M.1.1","alpha cells","Alpha - male"
"H7.MAA000884.3_10_M.1.1","delta cells",NA
"I12.MAA000884.3_10_M.1.1","beta cells",NA
"J19.MAA000884.3_10_M.1.1","alpha cells","Alpha - male"
"J18.MAA000884.3_10_M.1.1","beta cells",NA
"B7.MAA000884.3_10_M.1.1","beta cells",NA
"D13.MAA000884.3_10_M.1.1","alpha cells","Alpha - female"
"E18.MAA000884.3_10_M.1.1","beta cells",NA
"G2.MAA000884.3_10_M.1.1","stellate cells",NA
"H9.MAA000884.3_10_M.1.1","delta cells",NA
"I13.MAA000884.3_10_M.1.1","alpha cells","Alpha - male"
"J20.MAA000884.3_10_M.1.1","delta cells",NA
"A5.MAA000884.3_10_M.1.1","immune cells","Immune"
"D14.MAA000884.3_10_M.1.1","beta cells",NA
"G3.MAA000884.3_10_M.1.1","beta cells",NA
"H10.MAA000884.3_10_M.1.1","beta cells",NA
"A6.MAA000884.3_10_M.1.1","delta cells",NA
