,plate.barcode,annotation,subannotation
A21.MAA000594.3_8_M.1.1,MAA000594,fibroblasts,
F8.MAA000594.3_8_M.1.1,MAA000594,heterogenous group of cells,erythroblasts and adipocytes
H11.MAA000594.3_8_M.1.1,MAA000594,heterogenous group of cells,erythroblasts and adipocytes
A22.MAA000594.3_8_M.1.1,MAA000594,heterogenous group of cells,erythroblasts and adipocytes
H12.MAA000594.3_8_M.1.1,MAA000594,adipocytes,
L9.MAA000594.3_8_M.1.1,MAA000594,heterogenous group of cells,erythroblasts and adipocytes
P17.MAA000594.3_8_M.1.1,MAA000594,fibroblasts,
D6.MAA000594.3_8_M.1.1,MAA000594,heterogenous group of cells,erythroblasts and adipocytes
F14.MAA000594.3_8_M.1.1,MAA000594,heterogenous group of cells,smooth muscle cells
H17.MAA000594.3_8_M.1.1,MAA000594,heterogenous group of cells,adipocytes
L10.MAA000594.3_8_M.1.1,MAA000594,heterogenous group of cells,smooth muscle cells
N18.MAA000594.3_8_M.1.1,MAA000594,fibroblasts,
P18.MAA000594.3_8_M.1.1,MAA000594,fibroblasts,
D14.MAA000594.3_8_M.1.1,MAA000594,heterogenous group of cells,erythroblasts and adipocytes
F17.MAA000594.3_8_M.1.1,MAA000594,heterogenous group of cells,adipocytes
H20.MAA000594.3_8_M.1.1,MAA000594,heterogenous group of cells,smooth muscle cells
J20.MAA000594.3_8_M.1.1,MAA000594,fibroblasts,
N19.MAA000594.3_8_M.1.1,MAA000594,fibroblasts,
P19.MAA000594.3_8_M.1.1,MAA000594,fibroblasts,
H21.MAA000594.3_8_M.1.1,MAA000594,heterogenous group of cells,smooth muscle cells
J21.MAA000594.3_8_M.1.1,MAA000594,endothelial cells,
N20.MAA000594.3_8_M.1.1,MAA000594,heterogenous group of cells,adipocytes
D17.MAA000594.3_8_M.1.1,MAA000594,heterogenous group of cells,smooth muscle cells
F20.MAA000594.3_8_M.1.1,MAA000594,fibroblasts,
N21.MAA000594.3_8_M.1.1,MAA000594,heterogenous group of cells,smooth muscle cells
D19.MAA000594.3_8_M.1.1,MAA000594,heterogenous group of cells,smooth muscle cells
K4.MAA000594.3_8_M.1.1,MAA000594,heterogenous group of cells,erythroblasts and adipocytes
L19.MAA000594.3_8_M.1.1,MAA000594,fibroblasts,
G1.MAA000594.3_8_M.1.1,MAA000594,heterogenous group of cells,adipocytes
K8.MAA000594.3_8_M.1.1,MAA000594,heterogenous group of cells,erythroblasts and adipocytes
L20.MAA000594.3_8_M.1.1,MAA000594,hematopoetic cells,
O7.MAA000594.3_8_M.1.1,MAA000594,heterogenous group of cells,adipocytes
B18.MAA000594.3_8_M.1.1,MAA000594,heterogenous group of cells,erythroblasts and adipocytes
B19.MAA000594.3_8_M.1.1,MAA000594,fibroblasts,
I14.MAA000594.3_8_M.1.1,MAA000594,heterogenous group of cells,adipocytes
K9.MAA000594.3_8_M.1.1,MAA000594,heterogenous group of cells,erythroblasts and adipocytes
L21.MAA000594.3_8_M.1.1,MAA000594,heterogenous group of cells,smooth muscle cells
B20.MAA000594.3_8_M.1.1,MAA000594,hematopoetic cells,
D22.MAA000594.3_8_M.1.1,MAA000594,fibroblasts,
G3.MAA000594.3_8_M.1.1,MAA000594,heterogenous group of cells,adipocytes
L22.MAA000594.3_8_M.1.1,MAA000594,heterogenous group of cells,smooth muscle cells
B21.MAA000594.3_8_M.1.1,MAA000594,heterogenous group of cells,smooth muscle cells
G5.MAA000594.3_8_M.1.1,MAA000594,heterogenous group of cells,adipocytes
I16.MAA000594.3_8_M.1.1,MAA000594,heterogenous group of cells,erythroblasts and adipocytes
M14.MAA000594.3_8_M.1.1,MAA000594,heterogenous group of cells,adipocytes
B22.MAA000594.3_8_M.1.1,MAA000594,heterogenous group of cells,smooth muscle cells
G7.MAA000594.3_8_M.1.1,MAA000594,heterogenous group of cells,erythroblasts and adipocytes
I17.MAA000594.3_8_M.1.1,MAA000594,fibroblasts,
G12.MAA000594.3_8_M.1.1,MAA000594,heterogenous group of cells,smooth muscle cells
K14.MAA000594.3_8_M.1.1,MAA000594,heterogenous group of cells,erythroblasts and adipocytes
M18.MAA000594.3_8_M.1.1,MAA000594,heterogenous group of cells,adipocytes
I20.MAA000594.3_8_M.1.1,MAA000594,fibroblasts,
I21.MAA000594.3_8_M.1.1,MAA000594,fibroblasts,
M20.MAA000594.3_8_M.1.1,MAA000594,heterogenous group of cells,erythroblasts and adipocytes
E18.MAA000594.3_8_M.1.1,MAA000594,heterogenous group of cells,adipocytes
A8.MAA000594.3_8_M.1.1,MAA000594,heterogenous group of cells,adipocytes
I22.MAA000594.3_8_M.1.1,MAA000594,heterogenous group of cells,smooth muscle cells
K18.MAA000594.3_8_M.1.1,MAA000594,fibroblasts,
O17.MAA000594.3_8_M.1.1,MAA000594,fibroblasts,
M21.MAA000594.3_8_M.1.1,MAA000594,heterogenous group of cells,erythroblasts and adipocytes
C17.MAA000594.3_8_M.1.1,MAA000594,heterogenous group of cells,smooth muscle cells
G20.MAA000594.3_8_M.1.1,MAA000594,heterogenous group of cells,smooth muscle cells
M22.MAA000594.3_8_M.1.1,MAA000594,heterogenous group of cells,erythroblasts and adipocytes
