,annotation,plate.barcode,subannotation,tissue
O2.MAA000595.3_9_M.1.1,extracellular_matrix,maa000595,,Aorta
A19.MAA000595.3_9_M.1.1,extracellular_matrix,maa000595,connective_tissue,Aorta
D22.MAA000595.3_9_M.1.1,extracellular_matrix,maa000595,,Aorta
O3.MAA000595.3_9_M.1.1,extracellular_matrix,maa000595,,Aorta
A20.MAA000595.3_9_M.1.1,extracellular_matrix,maa000595,lamin,Aorta
E15.MAA000595.3_9_M.1.1,extracellular_matrix,maa000595,,Aorta
I20.MAA000595.3_9_M.1.1,extracellular_matrix,maa000595,collagen,Aorta
A21.MAA000595.3_9_M.1.1,extracellular_matrix,maa000595,collagen,Aorta
I21.MAA000595.3_9_M.1.1,hematopoetic,maa000595,,Aorta
M22.MAA000595.3_9_M.1.1,extracellular_matrix,maa000595,collagen,Aorta
E19.MAA000595.3_9_M.1.1,hematopoetic,maa000595,,Aorta
B17.MAA000595.3_9_M.1.1,extracellular_matrix,maa000595,collagen,Aorta
F2.MAA000595.3_9_M.1.1,extracellular_matrix,maa000595,,Aorta
J2.MAA000595.3_9_M.1.1,extracellular_matrix,maa000595,,Aorta
N2.MAA000595.3_9_M.1.1,endothelial_cells,maa000595,,Aorta
B18.MAA000595.3_9_M.1.1,hematopoetic,maa000595,,Aorta
F17.MAA000595.3_9_M.1.1,extracellular_matrix,maa000595,lamin,Aorta
N4.MAA000595.3_9_M.1.1,extracellular_matrix,maa000595,,Aorta
F18.MAA000595.3_9_M.1.1,hematopoetic,maa000595,,Aorta
L18.MAA000595.3_9_M.1.1,hematopoetic,maa000595,,Aorta
L19.MAA000595.3_9_M.1.1,extracellular_matrix,maa000595,lamin,Aorta
F20.MAA000595.3_9_M.1.1,hematopoetic,maa000595,,Aorta
J21.MAA000595.3_9_M.1.1,extracellular_matrix,maa000595,lamin,Aorta
B22.MAA000595.3_9_M.1.1,extracellular_matrix,maa000595,collagen,Aorta
F22.MAA000595.3_9_M.1.1,extracellular_matrix,maa000595,lamin,Aorta
J22.MAA000595.3_9_M.1.1,extracellular_matrix,maa000595,collagen,Aorta
L21.MAA000595.3_9_M.1.1,hematopoetic,maa000595,,Aorta
C17.MAA000595.3_9_M.1.1,extracellular_matrix,maa000595,collagen,Aorta
L22.MAA000595.3_9_M.1.1,extracellular_matrix,maa000595,lamin,Aorta
C19.MAA000595.3_9_M.1.1,hematopoetic,maa000595,,Aorta
G14.MAA000595.3_9_M.1.1,extracellular_matrix,maa000595,,Aorta
P18.MAA000595.3_9_M.1.1,extracellular_matrix,maa000595,,Aorta
N10.MAA000595.3_9_M.1.1,extracellular_matrix,maa000595,collagen,Aorta
P20.MAA000595.3_9_M.1.1,extracellular_matrix,maa000595,,Aorta
P21.MAA000595.3_9_M.1.1,extracellular_matrix,maa000595,lamin,Aorta
P5.MAA000595.3_9_M.1.1,extracellular_matrix,maa000595,,Aorta
P8.MAA000595.3_9_M.1.1,adipocytes,maa000595,,Aorta
P10.MAA000595.3_9_M.1.1,extracellular_matrix,maa000595,,Aorta
H6.MAA000906.3_11_M.1.1,extracellular_matrix,maa000906,lamin,Aorta
B13.MAA000906.3_11_M.1.1,extracellular_matrix,maa000906,lamin,Aorta
H19.MAA000906.3_11_M.1.1,endothelial_cells,maa000906,,Aorta
H22.MAA000906.3_11_M.1.1,endothelial_cells,maa000906,,Aorta
P22.MAA000906.3_11_M.1.1,endothelial_cells,maa000906,,Aorta
B17.MAA000906.3_11_M.1.1,endothelial_cells,maa000906,,Aorta
D6.MAA000906.3_11_M.1.1,extracellular_matrix,maa000906,lamin,Aorta
B18.MAA000906.3_11_M.1.1,endothelial_cells,maa000906,,Aorta
I17.MAA000906.3_11_M.1.1,endothelial_cells,maa000906,,Aorta
B19.MAA000906.3_11_M.1.1,endothelial_cells,maa000906,,Aorta
D15.MAA000906.3_11_M.1.1,extracellular_matrix,maa000906,lamin,Aorta
I18.MAA000906.3_11_M.1.1,endothelial_cells,maa000906,,Aorta
M18.MAA000906.3_11_M.1.1,extracellular_matrix,maa000906,connective_tissue,Aorta
O17.MAA000906.3_11_M.1.1,adipocytes,maa000906,,Aorta
B20.MAA000906.3_11_M.1.1,extracellular_matrix,maa000906,,Aorta
D17.MAA000906.3_11_M.1.1,endothelial_cells,maa000906,,Aorta
I20.MAA000906.3_11_M.1.1,endothelial_cells,maa000906,,Aorta
M19.MAA000906.3_11_M.1.1,endothelial_cells,maa000906,,Aorta
B21.MAA000906.3_11_M.1.1,endothelial_cells,maa000906,,Aorta
D18.MAA000906.3_11_M.1.1,endothelial_cells,maa000906,,Aorta
I22.MAA000906.3_11_M.1.1,endothelial_cells,maa000906,,Aorta
M20.MAA000906.3_11_M.1.1,endothelial_cells,maa000906,,Aorta
A17.MAA000906.3_11_M.1.1,endothelial_cells,maa000906,,Aorta
O20.MAA000906.3_11_M.1.1,endothelial_cells,maa000906,,Aorta
B22.MAA000906.3_11_M.1.1,endothelial_cells,maa000906,,Aorta
D22.MAA000906.3_11_M.1.1,extracellular_matrix,maa000906,connective_tissue,Aorta
M21.MAA000906.3_11_M.1.1,endothelial_cells,maa000906,,Aorta
O21.MAA000906.3_11_M.1.1,endothelial_cells,maa000906,,Aorta
M22.MAA000906.3_11_M.1.1,endothelial_cells,maa000906,,Aorta
E4.MAA000906.3_11_M.1.1,extracellular_matrix,maa000906,lamin,Aorta
J10.MAA000906.3_11_M.1.1,extracellular_matrix,maa000906,lamin,Aorta
J18.MAA000906.3_11_M.1.1,endothelial_cells,maa000906,,Aorta
E20.MAA000906.3_11_M.1.1,extracellular_matrix,maa000906,lamin,Aorta
A22.MAA000906.3_11_M.1.1,endothelial_cells,maa000906,,Aorta
B3.MAA000906.3_11_M.1.1,extracellular_matrix,maa000906,lamin,Aorta
C17.MAA000906.3_11_M.1.1,endothelial_cells,maa000906,,Aorta
F14.MAA000906.3_11_M.1.1,extracellular_matrix,maa000906,lamin,Aorta
K20.MAA000906.3_11_M.1.1,endothelial_cells,maa000906,,Aorta
N18.MAA000906.3_11_M.1.1,endothelial_cells,maa000906,,Aorta
F18.MAA000906.3_11_M.1.1,endothelial_cells,maa000906,,Aorta
K21.MAA000906.3_11_M.1.1,endothelial_cells,maa000906,,Aorta
N19.MAA000906.3_11_M.1.1,endothelial_cells,maa000906,,Aorta
C18.MAA000906.3_11_M.1.1,endothelial_cells,maa000906,,Aorta
F22.MAA000906.3_11_M.1.1,endothelial_cells,maa000906,,Aorta
C19.MAA000906.3_11_M.1.1,endothelial_cells,maa000906,,Aorta
B7.MAA000906.3_11_M.1.1,extracellular_matrix,maa000906,lamin,Aorta
C21.MAA000906.3_11_M.1.1,endothelial_cells,maa000906,,Aorta
N21.MAA000906.3_11_M.1.1,endothelial_cells,maa000906,,Aorta
C22.MAA000906.3_11_M.1.1,endothelial_cells,maa000906,,Aorta
L17.MAA000906.3_11_M.1.1,adipocytes,maa000906,,Aorta
P17.MAA000906.3_11_M.1.1,endothelial_cells,maa000906,,Aorta
B18.MAA000908.3_10_M.1.1,endothelial_cells,maa000908,,Aorta
B19.MAA000908.3_10_M.1.1,endothelial_cells,maa000908,,Aorta
B20.MAA000908.3_10_M.1.1,endothelial_cells,maa000908,,Aorta
B21.MAA000908.3_10_M.1.1,endothelial_cells,maa000908,,Aorta
B22.MAA000908.3_10_M.1.1,endothelial_cells,maa000908,,Aorta
A17.MAA000908.3_10_M.1.1,endothelial_cells,maa000908,,Aorta
A18.MAA000908.3_10_M.1.1,endothelial_cells,maa000908,,Aorta
C17.MAA000908.3_10_M.1.1,endothelial_cells,maa000908,,Aorta
A20.MAA000908.3_10_M.1.1,endothelial_cells,maa000908,,Aorta
C18.MAA000908.3_10_M.1.1,endothelial_cells,maa000908,,Aorta
A21.MAA000908.3_10_M.1.1,endothelial_cells,maa000908,,Aorta
C19.MAA000908.3_10_M.1.1,endothelial_cells,maa000908,,Aorta
A22.MAA000908.3_10_M.1.1,endothelial_cells,maa000908,,Aorta
C20.MAA000908.3_10_M.1.1,endothelial_cells,maa000908,,Aorta
C21.MAA000908.3_10_M.1.1,endothelial_cells,maa000908,,Aorta
B1.MAA000908.3_10_M.1.1,extracellular_matrix,maa000908,lamin,Aorta
C22.MAA000908.3_10_M.1.1,endothelial_cells,maa000908,,Aorta
B17.MAA000908.3_10_M.1.1,extracellular_matrix,maa000908,lamin,Aorta
D20.MAA000908.3_10_M.1.1,endothelial_cells,maa000908,,Aorta
K20.MAA000908.3_10_M.1.1,endothelial_cells,maa000908,,Aorta
D21.MAA000908.3_10_M.1.1,endothelial_cells,maa000908,,Aorta
G15.MAA000908.3_10_M.1.1,extracellular_matrix,maa000908,lamin,Aorta
J9.MAA000908.3_10_M.1.1,extracellular_matrix,maa000908,lamin,Aorta
K21.MAA000908.3_10_M.1.1,endothelial_cells,maa000908,,Aorta
D22.MAA000908.3_10_M.1.1,endothelial_cells,maa000908,,Aorta
G17.MAA000908.3_10_M.1.1,endothelial_cells,maa000908,,Aorta
K22.MAA000908.3_10_M.1.1,endothelial_cells,maa000908,,Aorta
G18.MAA000908.3_10_M.1.1,endothelial_cells,maa000908,,Aorta
G19.MAA000908.3_10_M.1.1,endothelial_cells,maa000908,,Aorta
P17.MAA000908.3_10_M.1.1,endothelial_cells,maa000908,,Aorta
G20.MAA000908.3_10_M.1.1,endothelial_cells,maa000908,,Aorta
J17.MAA000908.3_10_M.1.1,endothelial_cells,maa000908,,Aorta
G21.MAA000908.3_10_M.1.1,endothelial_cells,maa000908,,Aorta
J18.MAA000908.3_10_M.1.1,endothelial_cells,maa000908,,Aorta
P18.MAA000908.3_10_M.1.1,endothelial_cells,maa000908,,Aorta
E17.MAA000908.3_10_M.1.1,endothelial_cells,maa000908,,Aorta
G22.MAA000908.3_10_M.1.1,endothelial_cells,maa000908,,Aorta
O17.MAA000908.3_10_M.1.1,endothelial_cells,maa000908,,Aorta
P20.MAA000908.3_10_M.1.1,endothelial_cells,maa000908,,Aorta
P19.MAA000908.3_10_M.1.1,endothelial_cells,maa000908,,Aorta
J20.MAA000908.3_10_M.1.1,endothelial_cells,maa000908,,Aorta
O18.MAA000908.3_10_M.1.1,endothelial_cells,maa000908,,Aorta
P21.MAA000908.3_10_M.1.1,endothelial_cells,maa000908,,Aorta
E18.MAA000908.3_10_M.1.1,endothelial_cells,maa000908,,Aorta
P22.MAA000908.3_10_M.1.1,endothelial_cells,maa000908,,Aorta
E20.MAA000908.3_10_M.1.1,endothelial_cells,maa000908,,Aorta
H17.MAA000908.3_10_M.1.1,endothelial_cells,maa000908,,Aorta
J22.MAA000908.3_10_M.1.1,endothelial_cells,maa000908,,Aorta
E19.MAA000908.3_10_M.1.1,endothelial_cells,maa000908,,Aorta
J21.MAA000908.3_10_M.1.1,endothelial_cells,maa000908,,Aorta
N17.MAA000908.3_10_M.1.1,endothelial_cells,maa000908,,Aorta
O19.MAA000908.3_10_M.1.1,endothelial_cells,maa000908,,Aorta
E21.MAA000908.3_10_M.1.1,endothelial_cells,maa000908,,Aorta
H18.MAA000908.3_10_M.1.1,endothelial_cells,maa000908,,Aorta
M17.MAA000908.3_10_M.1.1,endothelial_cells,maa000908,,Aorta
N19.MAA000908.3_10_M.1.1,endothelial_cells,maa000908,,Aorta
N18.MAA000908.3_10_M.1.1,endothelial_cells,maa000908,,Aorta
O21.MAA000908.3_10_M.1.1,endothelial_cells,maa000908,,Aorta
O20.MAA000908.3_10_M.1.1,endothelial_cells,maa000908,,Aorta
E22.MAA000908.3_10_M.1.1,endothelial_cells,maa000908,,Aorta
H20.MAA000908.3_10_M.1.1,endothelial_cells,maa000908,,Aorta
M18.MAA000908.3_10_M.1.1,endothelial_cells,maa000908,,Aorta
N20.MAA000908.3_10_M.1.1,endothelial_cells,maa000908,,Aorta
O22.MAA000908.3_10_M.1.1,endothelial_cells,maa000908,,Aorta
H21.MAA000908.3_10_M.1.1,endothelial_cells,maa000908,,Aorta
M19.MAA000908.3_10_M.1.1,endothelial_cells,maa000908,,Aorta
N21.MAA000908.3_10_M.1.1,endothelial_cells,maa000908,,Aorta
H22.MAA000908.3_10_M.1.1,endothelial_cells,maa000908,,Aorta
M20.MAA000908.3_10_M.1.1,endothelial_cells,maa000908,,Aorta
L17.MAA000908.3_10_M.1.1,endothelial_cells,maa000908,,Aorta
M21.MAA000908.3_10_M.1.1,endothelial_cells,maa000908,,Aorta
M22.MAA000908.3_10_M.1.1,endothelial_cells,maa000908,,Aorta
F17.MAA000908.3_10_M.1.1,endothelial_cells,maa000908,,Aorta
L18.MAA000908.3_10_M.1.1,endothelial_cells,maa000908,,Aorta
F18.MAA000908.3_10_M.1.1,endothelial_cells,maa000908,,Aorta
I17.MAA000908.3_10_M.1.1,endothelial_cells,maa000908,,Aorta
F19.MAA000908.3_10_M.1.1,endothelial_cells,maa000908,,Aorta
I18.MAA000908.3_10_M.1.1,endothelial_cells,maa000908,,Aorta
L20.MAA000908.3_10_M.1.1,endothelial_cells,maa000908,,Aorta
L21.MAA000908.3_10_M.1.1,endothelial_cells,maa000908,,Aorta
F20.MAA000908.3_10_M.1.1,endothelial_cells,maa000908,,Aorta
I19.MAA000908.3_10_M.1.1,endothelial_cells,maa000908,,Aorta
F21.MAA000908.3_10_M.1.1,endothelial_cells,maa000908,,Aorta
I20.MAA000908.3_10_M.1.1,endothelial_cells,maa000908,,Aorta
L22.MAA000908.3_10_M.1.1,endothelial_cells,maa000908,,Aorta
K17.MAA000908.3_10_M.1.1,endothelial_cells,maa000908,,Aorta
D17.MAA000908.3_10_M.1.1,endothelial_cells,maa000908,,Aorta
F22.MAA000908.3_10_M.1.1,endothelial_cells,maa000908,,Aorta
I21.MAA000908.3_10_M.1.1,endothelial_cells,maa000908,,Aorta
D19.MAA000908.3_10_M.1.1,endothelial_cells,maa000908,,Aorta
D18.MAA000908.3_10_M.1.1,endothelial_cells,maa000908,,Aorta
I22.MAA000908.3_10_M.1.1,endothelial_cells,maa000908,,Aorta
K19.MAA000908.3_10_M.1.1,endothelial_cells,maa000908,,Aorta
A22.B002430.3_38_F.1.1,adipocytes,b002430,,Aorta
J17.B002430.3_38_F.1.1,adipocytes,b002430,,Aorta
F22.B002430.3_38_F.1.1,adipocytes,b002430,,Aorta
J21.B002430.3_38_F.1.1,adipocytes,b002430,,Aorta
K5.B002430.3_38_F.1.1,extracellular_matrix,b002430,connective_tissue,Aorta
G18.B002430.3_38_F.1.1,adipocytes,b002430,,Aorta
N16.B002430.3_38_F.1.1,extracellular_matrix,b002430,connective_tissue,Aorta
C19.B002430.3_38_F.1.1,adipocytes,b002430,,Aorta
K21.B002430.3_38_F.1.1,endothelial_cells,b002430,,Aorta
N17.B002430.3_38_F.1.1,adipocytes,b002430,,Aorta
C20.B002430.3_38_F.1.1,extracellular_matrix,b002430,connective_tissue,Aorta
H21.B002430.3_38_F.1.1,adipocytes,b002430,,Aorta
L18.B002430.3_38_F.1.1,endothelial_cells,b002430,,Aorta
D17.B002430.3_38_F.1.1,adipocytes,b002430,,Aorta
P18.B002430.3_38_F.1.1,adipocytes,b002430,,Aorta
D19.B002430.3_38_F.1.1,extracellular_matrix,b002430,connective_tissue,Aorta
D20.B002430.3_38_F.1.1,adipocytes,b002430,,Aorta
E22.B002430.3_38_F.1.1,adipocytes,b002430,,Aorta
M20.B002430.3_38_F.1.1,extracellular_matrix,b002430,connective_tissue,Aorta
C15.B002431.3_39_F.1.1,extracellular_matrix,b002431,lamin,Aorta
D20.B002431.3_39_F.1.1,adipocytes,b002431,,Aorta
H18.B002431.3_39_F.1.1,extracellular_matrix,b002431,lamin,Aorta
K22.B002431.3_39_F.1.1,adipocytes,b002431,,Aorta
K21.B002431.3_39_F.1.1,adipocytes,b002431,,Aorta
P22.B002431.3_39_F.1.1,adipocytes,b002431,,Aorta
M9.B002431.3_39_F.1.1,extracellular_matrix,b002431,lamin,Aorta
N15.B002431.3_39_F.1.1,extracellular_matrix,b002431,connective_tissue,Aorta
O18.B002431.3_39_F.1.1,adipocytes,b002431,,Aorta
H20.B002431.3_39_F.1.1,adipocytes,b002431,,Aorta
O21.B002431.3_39_F.1.1,adipocytes,b002431,,Aorta
D22.B002431.3_39_F.1.1,adipocytes,b002431,,Aorta
C18.B002431.3_39_F.1.1,adipocytes,b002431,,Aorta
O22.B002431.3_39_F.1.1,extracellular_matrix,b002431,connective_tissue,Aorta
C19.B002431.3_39_F.1.1,extracellular_matrix,b002431,lamin,Aorta
H21.B002431.3_39_F.1.1,adipocytes,b002431,,Aorta
J18.B002431.3_39_F.1.1,adipocytes,b002431,,Aorta
J19.B002431.3_39_F.1.1,adipocytes,b002431,,Aorta
F20.B002431.3_39_F.1.1,adipocytes,b002431,,Aorta
J20.B002431.3_39_F.1.1,adipocytes,b002431,,Aorta
M17.B002431.3_39_F.1.1,adipocytes,b002431,,Aorta
C21.B002431.3_39_F.1.1,endothelial_cells,b002431,,Aorta
F21.B002431.3_39_F.1.1,adipocytes,b002431,,Aorta
J21.B002431.3_39_F.1.1,adipocytes,b002431,,Aorta
F22.B002431.3_39_F.1.1,adipocytes,b002431,,Aorta
J22.B002431.3_39_F.1.1,adipocytes,b002431,,Aorta
L8.B002431.3_39_F.1.1,adipocytes,b002431,,Aorta
B21.B002431.3_39_F.1.1,adipocytes,b002431,,Aorta
M18.B002431.3_39_F.1.1,extracellular_matrix,b002431,lamin,Aorta
M19.B002431.3_39_F.1.1,extracellular_matrix,b002431,lamin,Aorta
O1.B002431.3_39_F.1.1,extracellular_matrix,b002431,connective_tissue,Aorta
A18.B002431.3_39_F.1.1,adipocytes,b002431,,Aorta
B22.B002431.3_39_F.1.1,adipocytes,b002431,,Aorta
D4.B002431.3_39_F.1.1,extracellular_matrix,b002431,lamin,Aorta
A21.B002431.3_39_F.1.1,adipocytes,b002431,,Aorta
E18.B002431.3_39_F.1.1,adipocytes,b002431,,Aorta
G8.B002431.3_39_F.1.1,extracellular_matrix,b002431,lamin,Aorta
E20.B002431.3_39_F.1.1,adipocytes,b002431,,Aorta
G15.B002431.3_39_F.1.1,adipocytes,b002431,,Aorta
I19.B002431.3_39_F.1.1,adipocytes,b002431,,Aorta
L17.B002431.3_39_F.1.1,adipocytes,b002431,,Aorta
L19.B002431.3_39_F.1.1,extracellular_matrix,b002431,connective_tissue,Aorta
I21.B002431.3_39_F.1.1,adipocytes,b002431,,Aorta
G20.B002431.3_39_F.1.1,adipocytes,b002431,,Aorta
L21.B002431.3_39_F.1.1,extracellular_matrix,b002431,lamin,Aorta
L22.B002431.3_39_F.1.1,adipocytes,b002431,,Aorta
P17.B002431.3_39_F.1.1,adipocytes,b002431,,Aorta
K17.B002431.3_39_F.1.1,adipocytes,b002431,,Aorta
P18.B002431.3_39_F.1.1,adipocytes,b002431,,Aorta
H8.B002431.3_39_F.1.1,extracellular_matrix,b002431,lamin,Aorta
