,annotation,plate.barcode,subannotation,tissue
A21.MAA000594.3_8_M.1.1,extracellular_matrix,maa000594,,Aorta
F8.MAA000594.3_8_M.1.1,extracellular_matrix,maa000594,connective_tissue,Aorta
H11.MAA000594.3_8_M.1.1,extracellular_matrix,maa000594,lamin,Aorta
A22.MAA000594.3_8_M.1.1,extracellular_matrix,maa000594,connective_tissue,Aorta
H12.MAA000594.3_8_M.1.1,adipocytes,maa000594,,Aorta
L9.MAA000594.3_8_M.1.1,extracellular_matrix,maa000594,connective_tissue,Aorta
P17.MAA000594.3_8_M.1.1,extracellular_matrix,maa000594,,Aorta
D6.MAA000594.3_8_M.1.1,extracellular_matrix,maa000594,lamin,Aorta
F14.MAA000594.3_8_M.1.1,extracellular_matrix,maa000594,connective_tissue,Aorta
H17.MAA000594.3_8_M.1.1,extracellular_matrix,maa000594,connective_tissue,Aorta
L10.MAA000594.3_8_M.1.1,extracellular_matrix,maa000594,connective_tissue,Aorta
N18.MAA000594.3_8_M.1.1,extracellular_matrix,maa000594,,Aorta
P18.MAA000594.3_8_M.1.1,extracellular_matrix,maa000594,,Aorta
D14.MAA000594.3_8_M.1.1,extracellular_matrix,maa000594,collagen,Aorta
F17.MAA000594.3_8_M.1.1,extracellular_matrix,maa000594,collagen,Aorta
H20.MAA000594.3_8_M.1.1,extracellular_matrix,maa000594,collagen,Aorta
J20.MAA000594.3_8_M.1.1,extracellular_matrix,maa000594,,Aorta
N19.MAA000594.3_8_M.1.1,extracellular_matrix,maa000594,,Aorta
P19.MAA000594.3_8_M.1.1,extracellular_matrix,maa000594,,Aorta
H21.MAA000594.3_8_M.1.1,extracellular_matrix,maa000594,collagen,Aorta
J21.MAA000594.3_8_M.1.1,endothelial_cells,maa000594,,Aorta
N20.MAA000594.3_8_M.1.1,extracellular_matrix,maa000594,collagen,Aorta
D17.MAA000594.3_8_M.1.1,extracellular_matrix,maa000594,collagen,Aorta
F20.MAA000594.3_8_M.1.1,extracellular_matrix,maa000594,,Aorta
N21.MAA000594.3_8_M.1.1,extracellular_matrix,maa000594,collagen,Aorta
D19.MAA000594.3_8_M.1.1,extracellular_matrix,maa000594,collagen,Aorta
K4.MAA000594.3_8_M.1.1,extracellular_matrix,maa000594,connective_tissue,Aorta
L19.MAA000594.3_8_M.1.1,extracellular_matrix,maa000594,,Aorta
G1.MAA000594.3_8_M.1.1,extracellular_matrix,maa000594,lamin,Aorta
K8.MAA000594.3_8_M.1.1,extracellular_matrix,maa000594,connective_tissue,Aorta
L20.MAA000594.3_8_M.1.1,hematopoetic,maa000594,,Aorta
O7.MAA000594.3_8_M.1.1,extracellular_matrix,maa000594,lamin,Aorta
B18.MAA000594.3_8_M.1.1,extracellular_matrix,maa000594,lamin,Aorta
B19.MAA000594.3_8_M.1.1,extracellular_matrix,maa000594,,Aorta
I14.MAA000594.3_8_M.1.1,extracellular_matrix,maa000594,lamin,Aorta
K9.MAA000594.3_8_M.1.1,extracellular_matrix,maa000594,connective_tissue,Aorta
L21.MAA000594.3_8_M.1.1,extracellular_matrix,maa000594,collagen,Aorta
B20.MAA000594.3_8_M.1.1,hematopoetic,maa000594,,Aorta
D22.MAA000594.3_8_M.1.1,extracellular_matrix,maa000594,,Aorta
G3.MAA000594.3_8_M.1.1,extracellular_matrix,maa000594,collagen,Aorta
L22.MAA000594.3_8_M.1.1,extracellular_matrix,maa000594,collagen,Aorta
B21.MAA000594.3_8_M.1.1,extracellular_matrix,maa000594,collagen,Aorta
G5.MAA000594.3_8_M.1.1,extracellular_matrix,maa000594,lamin,Aorta
I16.MAA000594.3_8_M.1.1,extracellular_matrix,maa000594,collagen,Aorta
M14.MAA000594.3_8_M.1.1,extracellular_matrix,maa000594,collagen,Aorta
B22.MAA000594.3_8_M.1.1,extracellular_matrix,maa000594,collagen,Aorta
G7.MAA000594.3_8_M.1.1,extracellular_matrix,maa000594,lamin,Aorta
I17.MAA000594.3_8_M.1.1,extracellular_matrix,maa000594,,Aorta
G12.MAA000594.3_8_M.1.1,extracellular_matrix,maa000594,collagen,Aorta
K14.MAA000594.3_8_M.1.1,extracellular_matrix,maa000594,connective_tissue,Aorta
M18.MAA000594.3_8_M.1.1,extracellular_matrix,maa000594,lamin,Aorta
I20.MAA000594.3_8_M.1.1,extracellular_matrix,maa000594,,Aorta
I21.MAA000594.3_8_M.1.1,extracellular_matrix,maa000594,,Aorta
M20.MAA000594.3_8_M.1.1,extracellular_matrix,maa000594,collagen,Aorta
E18.MAA000594.3_8_M.1.1,extracellular_matrix,maa000594,lamin,Aorta
A8.MAA000594.3_8_M.1.1,extracellular_matrix,maa000594,lamin,Aorta
I22.MAA000594.3_8_M.1.1,extracellular_matrix,maa000594,collagen,Aorta
K18.MAA000594.3_8_M.1.1,extracellular_matrix,maa000594,,Aorta
O17.MAA000594.3_8_M.1.1,extracellular_matrix,maa000594,,Aorta
M21.MAA000594.3_8_M.1.1,extracellular_matrix,maa000594,connective_tissue,Aorta
C17.MAA000594.3_8_M.1.1,extracellular_matrix,maa000594,collagen,Aorta
G20.MAA000594.3_8_M.1.1,extracellular_matrix,maa000594,collagen,Aorta
M22.MAA000594.3_8_M.1.1,extracellular_matrix,maa000594,connective_tissue,Aorta
O18.MAA000594.3_8_M.1.1,extracellular_matrix,maa000594,lamin,Aorta
E20.MAA000594.3_8_M.1.1,extracellular_matrix,maa000594,collagen,Aorta
G21.MAA000594.3_8_M.1.1,extracellular_matrix,maa000594,lamin,Aorta
J4.MAA000594.3_8_M.1.1,extracellular_matrix,maa000594,collagen,Aorta
K20.MAA000594.3_8_M.1.1,extracellular_matrix,maa000594,lamin,Aorta
A17.MAA000594.3_8_M.1.1,extracellular_matrix,maa000594,collagen,Aorta
E21.MAA000594.3_8_M.1.1,extracellular_matrix,maa000594,connective_tissue,Aorta
G22.MAA000594.3_8_M.1.1,extracellular_matrix,maa000594,collagen,Aorta
K21.MAA000594.3_8_M.1.1,extracellular_matrix,maa000594,lamin,Aorta
N9.MAA000594.3_8_M.1.1,extracellular_matrix,maa000594,collagen,Aorta
O20.MAA000594.3_8_M.1.1,extracellular_matrix,maa000594,lamin,Aorta
C20.MAA000594.3_8_M.1.1,extracellular_matrix,maa000594,collagen,Aorta
E22.MAA000594.3_8_M.1.1,extracellular_matrix,maa000594,,Aorta
H1.MAA000594.3_8_M.1.1,extracellular_matrix,maa000594,collagen,Aorta
K22.MAA000594.3_8_M.1.1,extracellular_matrix,maa000594,lamin,Aorta
N10.MAA000594.3_8_M.1.1,extracellular_matrix,maa000594,lamin,Aorta
O21.MAA000594.3_8_M.1.1,extracellular_matrix,maa000594,collagen,Aorta
C21.MAA000594.3_8_M.1.1,extracellular_matrix,maa000594,lamin,Aorta
H7.MAA000594.3_8_M.1.1,extracellular_matrix,maa000594,collagen,Aorta
N13.MAA000594.3_8_M.1.1,extracellular_matrix,maa000594,collagen,Aorta
P2.MAA000594.3_8_M.1.1,extracellular_matrix,maa000594,lamin,Aorta
A20.MAA000594.3_8_M.1.1,extracellular_matrix,maa000594,collagen,Aorta
C22.MAA000594.3_8_M.1.1,extracellular_matrix,maa000594,connective_tissue,Aorta
G18.MAA000595.3_9_M.1.1,extracellular_matrix,maa000595,collagen,Aorta
G19.MAA000595.3_9_M.1.1,extracellular_matrix,maa000595,collagen,Aorta
O17.MAA000595.3_9_M.1.1,hematopoetic,maa000595,,Aorta
C21.MAA000595.3_9_M.1.1,hematopoetic,maa000595,,Aorta
C22.MAA000595.3_9_M.1.1,hematopoetic,maa000595,,Aorta
G21.MAA000595.3_9_M.1.1,hematopoetic,maa000595,,Aorta
O19.MAA000595.3_9_M.1.1,hematopoetic,maa000595,,Aorta
H1.MAA000595.3_9_M.1.1,extracellular_matrix,maa000595,,Aorta
H2.MAA000595.3_9_M.1.1,extracellular_matrix,maa000595,,Aorta
K20.MAA000595.3_9_M.1.1,hematopoetic,maa000595,,Aorta
N18.MAA000595.3_9_M.1.1,extracellular_matrix,maa000595,,Aorta
K21.MAA000595.3_9_M.1.1,extracellular_matrix,maa000595,collagen,Aorta
D17.MAA000595.3_9_M.1.1,extracellular_matrix,maa000595,collagen,Aorta
H19.MAA000595.3_9_M.1.1,extracellular_matrix,maa000595,lamin,Aorta
N20.MAA000595.3_9_M.1.1,extracellular_matrix,maa000595,collagen,Aorta
A10.MAA000595.3_9_M.1.1,extracellular_matrix,maa000595,,Aorta
D19.MAA000595.3_9_M.1.1,extracellular_matrix,maa000595,collagen,Aorta
D20.MAA000595.3_9_M.1.1,extracellular_matrix,maa000595,lamin,Aorta
N22.MAA000595.3_9_M.1.1,endothelial_cells,maa000595,,Aorta
D21.MAA000595.3_9_M.1.1,extracellular_matrix,maa000595,collagen,Aorta
L6.MAA000595.3_9_M.1.1,extracellular_matrix,maa000595,,Aorta
M19.MAA000595.3_9_M.1.1,hematopoetic,maa000595,,Aorta
