,annotation,plate.barcode,subannotation,tissue,annotation_subannotation
A21.MAA000594.3_8_M.1.1,fibroblasts,MAA000594,,Aorta,fibroblasts
F8.MAA000594.3_8_M.1.1,unknown,MAA000594,,Aorta,unknown
H11.MAA000594.3_8_M.1.1,unknown,MAA000594,,Aorta,unknown
A22.MAA000594.3_8_M.1.1,unknown,MAA000594,,Aorta,unknown
H12.MAA000594.3_8_M.1.1,adipocytes,MAA000594,,Aorta,adipocytes
L9.MAA000594.3_8_M.1.1,unknown,MAA000594,,Aorta,unknown
P17.MAA000594.3_8_M.1.1,fibroblasts,MAA000594,,Aorta,fibroblasts
D6.MAA000594.3_8_M.1.1,unknown,MAA000594,,Aorta,unknown
F14.MAA000594.3_8_M.1.1,smooth_muscle,MAA000594,,Aorta,smooth_muscle
H17.MAA000594.3_8_M.1.1,adipocytes,MAA000594,,Aorta,adipocytes
L10.MAA000594.3_8_M.1.1,smooth_muscle,MAA000594,,Aorta,smooth_muscle
N18.MAA000594.3_8_M.1.1,fibroblasts,MAA000594,,Aorta,fibroblasts
P18.MAA000594.3_8_M.1.1,fibroblasts,MAA000594,,Aorta,fibroblasts
D14.MAA000594.3_8_M.1.1,unknown,MAA000594,,Aorta,unknown
F17.MAA000594.3_8_M.1.1,adipocytes,MAA000594,,Aorta,adipocytes
H20.MAA000594.3_8_M.1.1,smooth_muscle,MAA000594,,Aorta,smooth_muscle
J20.MAA000594.3_8_M.1.1,fibroblasts,MAA000594,,Aorta,fibroblasts
N19.MAA000594.3_8_M.1.1,fibroblasts,MAA000594,,Aorta,fibroblasts
P19.MAA000594.3_8_M.1.1,fibroblasts,MAA000594,,Aorta,fibroblasts
H21.MAA000594.3_8_M.1.1,smooth_muscle,MAA000594,,Aorta,smooth_muscle
J21.MAA000594.3_8_M.1.1,endothelial,MAA000594,,Aorta,endothelial
N20.MAA000594.3_8_M.1.1,adipocytes,MAA000594,,Aorta,adipocytes
D17.MAA000594.3_8_M.1.1,smooth_muscle,MAA000594,,Aorta,smooth_muscle
F20.MAA000594.3_8_M.1.1,fibroblasts,MAA000594,,Aorta,fibroblasts
N21.MAA000594.3_8_M.1.1,smooth_muscle,MAA000594,,Aorta,smooth_muscle
D19.MAA000594.3_8_M.1.1,smooth_muscle,MAA000594,,Aorta,smooth_muscle
K4.MAA000594.3_8_M.1.1,unknown,MAA000594,,Aorta,unknown
L19.MAA000594.3_8_M.1.1,fibroblasts,MAA000594,,Aorta,fibroblasts
G1.MAA000594.3_8_M.1.1,adipocytes,MAA000594,,Aorta,adipocytes
K8.MAA000594.3_8_M.1.1,unknown,MAA000594,,Aorta,unknown
L20.MAA000594.3_8_M.1.1,hematopoietic,MAA000594,,Aorta,hematopoietic
O7.MAA000594.3_8_M.1.1,adipocytes,MAA000594,,Aorta,adipocytes
B18.MAA000594.3_8_M.1.1,unknown,MAA000594,,Aorta,unknown
B19.MAA000594.3_8_M.1.1,fibroblasts,MAA000594,,Aorta,fibroblasts
I14.MAA000594.3_8_M.1.1,adipocytes,MAA000594,,Aorta,adipocytes
K9.MAA000594.3_8_M.1.1,unknown,MAA000594,,Aorta,unknown
L21.MAA000594.3_8_M.1.1,smooth_muscle,MAA000594,,Aorta,smooth_muscle
B20.MAA000594.3_8_M.1.1,hematopoietic,MAA000594,,Aorta,hematopoietic
D22.MAA000594.3_8_M.1.1,fibroblasts,MAA000594,,Aorta,fibroblasts
G3.MAA000594.3_8_M.1.1,adipocytes,MAA000594,,Aorta,adipocytes
L22.MAA000594.3_8_M.1.1,smooth_muscle,MAA000594,,Aorta,smooth_muscle
B21.MAA000594.3_8_M.1.1,smooth_muscle,MAA000594,,Aorta,smooth_muscle
G5.MAA000594.3_8_M.1.1,adipocytes,MAA000594,,Aorta,adipocytes
I16.MAA000594.3_8_M.1.1,unknown,MAA000594,,Aorta,unknown
M14.MAA000594.3_8_M.1.1,adipocytes,MAA000594,,Aorta,adipocytes
B22.MAA000594.3_8_M.1.1,smooth_muscle,MAA000594,,Aorta,smooth_muscle
G7.MAA000594.3_8_M.1.1,unknown,MAA000594,,Aorta,unknown
I17.MAA000594.3_8_M.1.1,fibroblasts,MAA000594,,Aorta,fibroblasts
G12.MAA000594.3_8_M.1.1,smooth_muscle,MAA000594,,Aorta,smooth_muscle
K14.MAA000594.3_8_M.1.1,unknown,MAA000594,,Aorta,unknown
M18.MAA000594.3_8_M.1.1,adipocytes,MAA000594,,Aorta,adipocytes
I20.MAA000594.3_8_M.1.1,fibroblasts,MAA000594,,Aorta,fibroblasts
I21.MAA000594.3_8_M.1.1,fibroblasts,MAA000594,,Aorta,fibroblasts
M20.MAA000594.3_8_M.1.1,unknown,MAA000594,,Aorta,unknown
E18.MAA000594.3_8_M.1.1,adipocytes,MAA000594,,Aorta,adipocytes
A8.MAA000594.3_8_M.1.1,adipocytes,MAA000594,,Aorta,adipocytes
I22.MAA000594.3_8_M.1.1,smooth_muscle,MAA000594,,Aorta,smooth_muscle
K18.MAA000594.3_8_M.1.1,fibroblasts,MAA000594,,Aorta,fibroblasts
O17.MAA000594.3_8_M.1.1,fibroblasts,MAA000594,,Aorta,fibroblasts
M21.MAA000594.3_8_M.1.1,unknown,MAA000594,,Aorta,unknown
C17.MAA000594.3_8_M.1.1,smooth_muscle,MAA000594,,Aorta,smooth_muscle
G20.MAA000594.3_8_M.1.1,smooth_muscle,MAA000594,,Aorta,smooth_muscle
M22.MAA000594.3_8_M.1.1,unknown,MAA000594,,Aorta,unknown
O18.MAA000594.3_8_M.1.1,adipocytes,MAA000594,,Aorta,adipocytes
E20.MAA000594.3_8_M.1.1,smooth_muscle,MAA000594,,Aorta,smooth_muscle
G21.MAA000594.3_8_M.1.1,adipocytes,MAA000594,,Aorta,adipocytes
J4.MAA000594.3_8_M.1.1,smooth_muscle,MAA000594,,Aorta,smooth_muscle
K20.MAA000594.3_8_M.1.1,adipocytes,MAA000594,,Aorta,adipocytes
A17.MAA000594.3_8_M.1.1,smooth_muscle,MAA000594,,Aorta,smooth_muscle
E21.MAA000594.3_8_M.1.1,unknown,MAA000594,,Aorta,unknown
G22.MAA000594.3_8_M.1.1,smooth_muscle,MAA000594,,Aorta,smooth_muscle
K21.MAA000594.3_8_M.1.1,adipocytes,MAA000594,,Aorta,adipocytes
N9.MAA000594.3_8_M.1.1,smooth_muscle,MAA000594,,Aorta,smooth_muscle
O20.MAA000594.3_8_M.1.1,adipocytes,MAA000594,,Aorta,adipocytes
C20.MAA000594.3_8_M.1.1,smooth_muscle,MAA000594,,Aorta,smooth_muscle
E22.MAA000594.3_8_M.1.1,fibroblasts,MAA000594,,Aorta,fibroblasts
H1.MAA000594.3_8_M.1.1,adipocytes,MAA000594,,Aorta,adipocytes
K22.MAA000594.3_8_M.1.1,adipocytes,MAA000594,,Aorta,adipocytes
N10.MAA000594.3_8_M.1.1,adipocytes,MAA000594,,Aorta,adipocytes
O21.MAA000594.3_8_M.1.1,adipocytes,MAA000594,,Aorta,adipocytes
C21.MAA000594.3_8_M.1.1,adipocytes,MAA000594,,Aorta,adipocytes
H7.MAA000594.3_8_M.1.1,smooth_muscle,MAA000594,,Aorta,smooth_muscle
N13.MAA000594.3_8_M.1.1,adipocytes,MAA000594,,Aorta,adipocytes
P2.MAA000594.3_8_M.1.1,unknown,MAA000594,,Aorta,unknown
A20.MAA000594.3_8_M.1.1,smooth_muscle,MAA000594,,Aorta,smooth_muscle
C22.MAA000594.3_8_M.1.1,unknown,MAA000594,,Aorta,unknown
G18.MAA000595.3_9_M.1.1,smooth_muscle,MAA000595,,Aorta,smooth_muscle
G19.MAA000595.3_9_M.1.1,smooth_muscle,MAA000595,,Aorta,smooth_muscle
O17.MAA000595.3_9_M.1.1,hematopoietic,MAA000595,,Aorta,hematopoietic
C21.MAA000595.3_9_M.1.1,hematopoietic,MAA000595,,Aorta,hematopoietic
C22.MAA000595.3_9_M.1.1,hematopoietic,MAA000595,,Aorta,hematopoietic
G21.MAA000595.3_9_M.1.1,hematopoietic,MAA000595,,Aorta,hematopoietic
O19.MAA000595.3_9_M.1.1,hematopoietic,MAA000595,,Aorta,hematopoietic
H1.MAA000595.3_9_M.1.1,fibroblasts,MAA000595,,Aorta,fibroblasts
H2.MAA000595.3_9_M.1.1,fibroblasts,MAA000595,,Aorta,fibroblasts
K20.MAA000595.3_9_M.1.1,hematopoietic,MAA000595,,Aorta,hematopoietic
N18.MAA000595.3_9_M.1.1,fibroblasts,MAA000595,,Aorta,fibroblasts
K21.MAA000595.3_9_M.1.1,smooth_muscle,MAA000595,,Aorta,smooth_muscle
D17.MAA000595.3_9_M.1.1,smooth_muscle,MAA000595,,Aorta,smooth_muscle
H19.MAA000595.3_9_M.1.1,adipocytes,MAA000595,,Aorta,adipocytes
N20.MAA000595.3_9_M.1.1,smooth_muscle,MAA000595,,Aorta,smooth_muscle
A10.MAA000595.3_9_M.1.1,fibroblasts,MAA000595,,Aorta,fibroblasts
D19.MAA000595.3_9_M.1.1,adipocytes,MAA000595,,Aorta,adipocytes
D20.MAA000595.3_9_M.1.1,adipocytes,MAA000595,,Aorta,adipocytes
N22.MAA000595.3_9_M.1.1,endothelial,MAA000595,,Aorta,endothelial
D21.MAA000595.3_9_M.1.1,smooth_muscle,MAA000595,,Aorta,smooth_muscle
L6.MAA000595.3_9_M.1.1,fibroblasts,MAA000595,,Aorta,fibroblasts
M19.MAA000595.3_9_M.1.1,hematopoietic,MAA000595,,Aorta,hematopoietic
O2.MAA000595.3_9_M.1.1,fibroblasts,MAA000595,,Aorta,fibroblasts
A19.MAA000595.3_9_M.1.1,unknown,MAA000595,,Aorta,unknown
D22.MAA000595.3_9_M.1.1,fibroblasts,MAA000595,,Aorta,fibroblasts
O3.MAA000595.3_9_M.1.1,fibroblasts,MAA000595,,Aorta,fibroblasts
A20.MAA000595.3_9_M.1.1,unknown,MAA000595,,Aorta,unknown
E15.MAA000595.3_9_M.1.1,fibroblasts,MAA000595,,Aorta,fibroblasts
I20.MAA000595.3_9_M.1.1,smooth_muscle,MAA000595,,Aorta,smooth_muscle
A21.MAA000595.3_9_M.1.1,smooth_muscle,MAA000595,,Aorta,smooth_muscle
I21.MAA000595.3_9_M.1.1,hematopoietic,MAA000595,,Aorta,hematopoietic
M22.MAA000595.3_9_M.1.1,smooth_muscle,MAA000595,,Aorta,smooth_muscle
E19.MAA000595.3_9_M.1.1,hematopoietic,MAA000595,,Aorta,hematopoietic
B17.MAA000595.3_9_M.1.1,smooth_muscle,MAA000595,,Aorta,smooth_muscle
F2.MAA000595.3_9_M.1.1,fibroblasts,MAA000595,,Aorta,fibroblasts
J2.MAA000595.3_9_M.1.1,fibroblasts,MAA000595,,Aorta,fibroblasts
N2.MAA000595.3_9_M.1.1,endothelial,MAA000595,,Aorta,endothelial
B18.MAA000595.3_9_M.1.1,hematopoietic,MAA000595,,Aorta,hematopoietic
F17.MAA000595.3_9_M.1.1,adipocytes,MAA000595,,Aorta,adipocytes
N4.MAA000595.3_9_M.1.1,fibroblasts,MAA000595,,Aorta,fibroblasts
F18.MAA000595.3_9_M.1.1,hematopoietic,MAA000595,,Aorta,hematopoietic
L18.MAA000595.3_9_M.1.1,hematopoietic,MAA000595,,Aorta,hematopoietic
L19.MAA000595.3_9_M.1.1,adipocytes,MAA000595,,Aorta,adipocytes
F20.MAA000595.3_9_M.1.1,hematopoietic,MAA000595,,Aorta,hematopoietic
J21.MAA000595.3_9_M.1.1,adipocytes,MAA000595,,Aorta,adipocytes
B22.MAA000595.3_9_M.1.1,smooth_muscle,MAA000595,,Aorta,smooth_muscle
F22.MAA000595.3_9_M.1.1,unknown,MAA000595,,Aorta,unknown
J22.MAA000595.3_9_M.1.1,smooth_muscle,MAA000595,,Aorta,smooth_muscle
L21.MAA000595.3_9_M.1.1,hematopoietic,MAA000595,,Aorta,hematopoietic
C17.MAA000595.3_9_M.1.1,smooth_muscle,MAA000595,,Aorta,smooth_muscle
L22.MAA000595.3_9_M.1.1,adipocytes,MAA000595,,Aorta,adipocytes
C19.MAA000595.3_9_M.1.1,hematopoietic,MAA000595,,Aorta,hematopoietic
G14.MAA000595.3_9_M.1.1,fibroblasts,MAA000595,,Aorta,fibroblasts
P18.MAA000595.3_9_M.1.1,fibroblasts,MAA000595,,Aorta,fibroblasts
N10.MAA000595.3_9_M.1.1,smooth_muscle,MAA000595,,Aorta,smooth_muscle
P20.MAA000595.3_9_M.1.1,fibroblasts,MAA000595,,Aorta,fibroblasts
P21.MAA000595.3_9_M.1.1,unknown,MAA000595,,Aorta,unknown
P5.MAA000595.3_9_M.1.1,fibroblasts,MAA000595,,Aorta,fibroblasts
P8.MAA000595.3_9_M.1.1,adipocytes,MAA000595,,Aorta,adipocytes
P10.MAA000595.3_9_M.1.1,fibroblasts,MAA000595,,Aorta,fibroblasts
H6.MAA000906.3_11_M.1.1,unknown,MAA000906,,Aorta,unknown
B13.MAA000906.3_11_M.1.1,unknown,MAA000906,,Aorta,unknown
H19.MAA000906.3_11_M.1.1,endothelial,MAA000906,,Aorta,endothelial
H22.MAA000906.3_11_M.1.1,endothelial,MAA000906,,Aorta,endothelial
P22.MAA000906.3_11_M.1.1,endothelial,MAA000906,,Aorta,endothelial
B17.MAA000906.3_11_M.1.1,endothelial,MAA000906,,Aorta,endothelial
D6.MAA000906.3_11_M.1.1,adipocytes,MAA000906,,Aorta,adipocytes
B18.MAA000906.3_11_M.1.1,endothelial,MAA000906,,Aorta,endothelial
I17.MAA000906.3_11_M.1.1,endothelial,MAA000906,,Aorta,endothelial
B19.MAA000906.3_11_M.1.1,endothelial,MAA000906,,Aorta,endothelial
D15.MAA000906.3_11_M.1.1,unknown,MAA000906,,Aorta,unknown
I18.MAA000906.3_11_M.1.1,endothelial,MAA000906,,Aorta,endothelial
M18.MAA000906.3_11_M.1.1,unknown,MAA000906,,Aorta,unknown
O17.MAA000906.3_11_M.1.1,adipocytes,MAA000906,,Aorta,adipocytes
B20.MAA000906.3_11_M.1.1,fibroblasts,MAA000906,,Aorta,fibroblasts
D17.MAA000906.3_11_M.1.1,endothelial,MAA000906,,Aorta,endothelial
I20.MAA000906.3_11_M.1.1,endothelial,MAA000906,,Aorta,endothelial
M19.MAA000906.3_11_M.1.1,endothelial,MAA000906,,Aorta,endothelial
B21.MAA000906.3_11_M.1.1,endothelial,MAA000906,,Aorta,endothelial
D18.MAA000906.3_11_M.1.1,endothelial,MAA000906,,Aorta,endothelial
I22.MAA000906.3_11_M.1.1,endothelial,MAA000906,,Aorta,endothelial
M20.MAA000906.3_11_M.1.1,endothelial,MAA000906,,Aorta,endothelial
A17.MAA000906.3_11_M.1.1,endothelial,MAA000906,,Aorta,endothelial
O20.MAA000906.3_11_M.1.1,endothelial,MAA000906,,Aorta,endothelial
B22.MAA000906.3_11_M.1.1,endothelial,MAA000906,,Aorta,endothelial
D22.MAA000906.3_11_M.1.1,unknown,MAA000906,,Aorta,unknown
M21.MAA000906.3_11_M.1.1,endothelial,MAA000906,,Aorta,endothelial
O21.MAA000906.3_11_M.1.1,endothelial,MAA000906,,Aorta,endothelial
M22.MAA000906.3_11_M.1.1,endothelial,MAA000906,,Aorta,endothelial
E4.MAA000906.3_11_M.1.1,unknown,MAA000906,,Aorta,unknown
J10.MAA000906.3_11_M.1.1,unknown,MAA000906,,Aorta,unknown
J18.MAA000906.3_11_M.1.1,endothelial,MAA000906,,Aorta,endothelial
E20.MAA000906.3_11_M.1.1,unknown,MAA000906,,Aorta,unknown
A22.MAA000906.3_11_M.1.1,endothelial,MAA000906,,Aorta,endothelial
B3.MAA000906.3_11_M.1.1,unknown,MAA000906,,Aorta,unknown
C17.MAA000906.3_11_M.1.1,endothelial,MAA000906,,Aorta,endothelial
F14.MAA000906.3_11_M.1.1,unknown,MAA000906,,Aorta,unknown
K20.MAA000906.3_11_M.1.1,endothelial,MAA000906,,Aorta,endothelial
N18.MAA000906.3_11_M.1.1,endothelial,MAA000906,,Aorta,endothelial
F18.MAA000906.3_11_M.1.1,endothelial,MAA000906,,Aorta,endothelial
K21.MAA000906.3_11_M.1.1,endothelial,MAA000906,,Aorta,endothelial
N19.MAA000906.3_11_M.1.1,endothelial,MAA000906,,Aorta,endothelial
C18.MAA000906.3_11_M.1.1,endothelial,MAA000906,,Aorta,endothelial
F22.MAA000906.3_11_M.1.1,endothelial,MAA000906,,Aorta,endothelial
C19.MAA000906.3_11_M.1.1,endothelial,MAA000906,,Aorta,endothelial
B7.MAA000906.3_11_M.1.1,unknown,MAA000906,,Aorta,unknown
C21.MAA000906.3_11_M.1.1,endothelial,MAA000906,,Aorta,endothelial
N21.MAA000906.3_11_M.1.1,endothelial,MAA000906,,Aorta,endothelial
C22.MAA000906.3_11_M.1.1,endothelial,MAA000906,,Aorta,endothelial
L17.MAA000906.3_11_M.1.1,adipocytes,MAA000906,,Aorta,adipocytes
P17.MAA000906.3_11_M.1.1,endothelial,MAA000906,,Aorta,endothelial
B18.MAA000908.3_10_M.1.1,endothelial,MAA000908,,Aorta,endothelial
B19.MAA000908.3_10_M.1.1,endothelial,MAA000908,,Aorta,endothelial
B20.MAA000908.3_10_M.1.1,endothelial,MAA000908,,Aorta,endothelial
B21.MAA000908.3_10_M.1.1,endothelial,MAA000908,,Aorta,endothelial
B22.MAA000908.3_10_M.1.1,endothelial,MAA000908,,Aorta,endothelial
A17.MAA000908.3_10_M.1.1,endothelial,MAA000908,,Aorta,endothelial
A18.MAA000908.3_10_M.1.1,endothelial,MAA000908,,Aorta,endothelial
C17.MAA000908.3_10_M.1.1,endothelial,MAA000908,,Aorta,endothelial
A20.MAA000908.3_10_M.1.1,endothelial,MAA000908,,Aorta,endothelial
C18.MAA000908.3_10_M.1.1,endothelial,MAA000908,,Aorta,endothelial
A21.MAA000908.3_10_M.1.1,endothelial,MAA000908,,Aorta,endothelial
C19.MAA000908.3_10_M.1.1,endothelial,MAA000908,,Aorta,endothelial
A22.MAA000908.3_10_M.1.1,endothelial,MAA000908,,Aorta,endothelial
C20.MAA000908.3_10_M.1.1,endothelial,MAA000908,,Aorta,endothelial
C21.MAA000908.3_10_M.1.1,endothelial,MAA000908,,Aorta,endothelial
B1.MAA000908.3_10_M.1.1,unknown,MAA000908,,Aorta,unknown
C22.MAA000908.3_10_M.1.1,endothelial,MAA000908,,Aorta,endothelial
B17.MAA000908.3_10_M.1.1,unknown,MAA000908,,Aorta,unknown
D20.MAA000908.3_10_M.1.1,endothelial,MAA000908,,Aorta,endothelial
K20.MAA000908.3_10_M.1.1,endothelial,MAA000908,,Aorta,endothelial
D21.MAA000908.3_10_M.1.1,endothelial,MAA000908,,Aorta,endothelial
G15.MAA000908.3_10_M.1.1,adipocytes,MAA000908,,Aorta,adipocytes
J9.MAA000908.3_10_M.1.1,adipocytes,MAA000908,,Aorta,adipocytes
K21.MAA000908.3_10_M.1.1,endothelial,MAA000908,,Aorta,endothelial
D22.MAA000908.3_10_M.1.1,endothelial,MAA000908,,Aorta,endothelial
G17.MAA000908.3_10_M.1.1,endothelial,MAA000908,,Aorta,endothelial
K22.MAA000908.3_10_M.1.1,endothelial,MAA000908,,Aorta,endothelial
G18.MAA000908.3_10_M.1.1,endothelial,MAA000908,,Aorta,endothelial
G19.MAA000908.3_10_M.1.1,endothelial,MAA000908,,Aorta,endothelial
P17.MAA000908.3_10_M.1.1,endothelial,MAA000908,,Aorta,endothelial
G20.MAA000908.3_10_M.1.1,endothelial,MAA000908,,Aorta,endothelial
J17.MAA000908.3_10_M.1.1,endothelial,MAA000908,,Aorta,endothelial
G21.MAA000908.3_10_M.1.1,endothelial,MAA000908,,Aorta,endothelial
J18.MAA000908.3_10_M.1.1,endothelial,MAA000908,,Aorta,endothelial
P18.MAA000908.3_10_M.1.1,endothelial,MAA000908,,Aorta,endothelial
E17.MAA000908.3_10_M.1.1,endothelial,MAA000908,,Aorta,endothelial
G22.MAA000908.3_10_M.1.1,endothelial,MAA000908,,Aorta,endothelial
O17.MAA000908.3_10_M.1.1,endothelial,MAA000908,,Aorta,endothelial
P20.MAA000908.3_10_M.1.1,endothelial,MAA000908,,Aorta,endothelial
P19.MAA000908.3_10_M.1.1,endothelial,MAA000908,,Aorta,endothelial
J20.MAA000908.3_10_M.1.1,endothelial,MAA000908,,Aorta,endothelial
O18.MAA000908.3_10_M.1.1,endothelial,MAA000908,,Aorta,endothelial
P21.MAA000908.3_10_M.1.1,endothelial,MAA000908,,Aorta,endothelial
E18.MAA000908.3_10_M.1.1,endothelial,MAA000908,,Aorta,endothelial
P22.MAA000908.3_10_M.1.1,endothelial,MAA000908,,Aorta,endothelial
E20.MAA000908.3_10_M.1.1,endothelial,MAA000908,,Aorta,endothelial
H17.MAA000908.3_10_M.1.1,endothelial,MAA000908,,Aorta,endothelial
J22.MAA000908.3_10_M.1.1,endothelial,MAA000908,,Aorta,endothelial
E19.MAA000908.3_10_M.1.1,endothelial,MAA000908,,Aorta,endothelial
J21.MAA000908.3_10_M.1.1,endothelial,MAA000908,,Aorta,endothelial
N17.MAA000908.3_10_M.1.1,endothelial,MAA000908,,Aorta,endothelial
O19.MAA000908.3_10_M.1.1,endothelial,MAA000908,,Aorta,endothelial
E21.MAA000908.3_10_M.1.1,endothelial,MAA000908,,Aorta,endothelial
H18.MAA000908.3_10_M.1.1,endothelial,MAA000908,,Aorta,endothelial
M17.MAA000908.3_10_M.1.1,endothelial,MAA000908,,Aorta,endothelial
N19.MAA000908.3_10_M.1.1,endothelial,MAA000908,,Aorta,endothelial
N18.MAA000908.3_10_M.1.1,endothelial,MAA000908,,Aorta,endothelial
O21.MAA000908.3_10_M.1.1,endothelial,MAA000908,,Aorta,endothelial
O20.MAA000908.3_10_M.1.1,endothelial,MAA000908,,Aorta,endothelial
E22.MAA000908.3_10_M.1.1,endothelial,MAA000908,,Aorta,endothelial
H20.MAA000908.3_10_M.1.1,endothelial,MAA000908,,Aorta,endothelial
M18.MAA000908.3_10_M.1.1,endothelial,MAA000908,,Aorta,endothelial
N20.MAA000908.3_10_M.1.1,endothelial,MAA000908,,Aorta,endothelial
O22.MAA000908.3_10_M.1.1,endothelial,MAA000908,,Aorta,endothelial
H21.MAA000908.3_10_M.1.1,endothelial,MAA000908,,Aorta,endothelial
M19.MAA000908.3_10_M.1.1,endothelial,MAA000908,,Aorta,endothelial
N21.MAA000908.3_10_M.1.1,endothelial,MAA000908,,Aorta,endothelial
H22.MAA000908.3_10_M.1.1,endothelial,MAA000908,,Aorta,endothelial
M20.MAA000908.3_10_M.1.1,endothelial,MAA000908,,Aorta,endothelial
L17.MAA000908.3_10_M.1.1,endothelial,MAA000908,,Aorta,endothelial
M21.MAA000908.3_10_M.1.1,endothelial,MAA000908,,Aorta,endothelial
M22.MAA000908.3_10_M.1.1,endothelial,MAA000908,,Aorta,endothelial
F17.MAA000908.3_10_M.1.1,endothelial,MAA000908,,Aorta,endothelial
L18.MAA000908.3_10_M.1.1,endothelial,MAA000908,,Aorta,endothelial
F18.MAA000908.3_10_M.1.1,endothelial,MAA000908,,Aorta,endothelial
I17.MAA000908.3_10_M.1.1,endothelial,MAA000908,,Aorta,endothelial
F19.MAA000908.3_10_M.1.1,endothelial,MAA000908,,Aorta,endothelial
I18.MAA000908.3_10_M.1.1,endothelial,MAA000908,,Aorta,endothelial
L20.MAA000908.3_10_M.1.1,endothelial,MAA000908,,Aorta,endothelial
L21.MAA000908.3_10_M.1.1,endothelial,MAA000908,,Aorta,endothelial
F20.MAA000908.3_10_M.1.1,endothelial,MAA000908,,Aorta,endothelial
I19.MAA000908.3_10_M.1.1,endothelial,MAA000908,,Aorta,endothelial
F21.MAA000908.3_10_M.1.1,endothelial,MAA000908,,Aorta,endothelial
I20.MAA000908.3_10_M.1.1,endothelial,MAA000908,,Aorta,endothelial
L22.MAA000908.3_10_M.1.1,endothelial,MAA000908,,Aorta,endothelial
K17.MAA000908.3_10_M.1.1,endothelial,MAA000908,,Aorta,endothelial
D17.MAA000908.3_10_M.1.1,endothelial,MAA000908,,Aorta,endothelial
F22.MAA000908.3_10_M.1.1,endothelial,MAA000908,,Aorta,endothelial
I21.MAA000908.3_10_M.1.1,endothelial,MAA000908,,Aorta,endothelial
D19.MAA000908.3_10_M.1.1,endothelial,MAA000908,,Aorta,endothelial
D18.MAA000908.3_10_M.1.1,endothelial,MAA000908,,Aorta,endothelial
I22.MAA000908.3_10_M.1.1,endothelial,MAA000908,,Aorta,endothelial
K19.MAA000908.3_10_M.1.1,endothelial,MAA000908,,Aorta,endothelial
A22.B002430.3_38_F.1.1,adipocytes,B002430,,Aorta,adipocytes
J17.B002430.3_38_F.1.1,adipocytes,B002430,,Aorta,adipocytes
F22.B002430.3_38_F.1.1,adipocytes,B002430,,Aorta,adipocytes
J21.B002430.3_38_F.1.1,adipocytes,B002430,,Aorta,adipocytes
K5.B002430.3_38_F.1.1,unknown,B002430,,Aorta,unknown
G18.B002430.3_38_F.1.1,adipocytes,B002430,,Aorta,adipocytes
N16.B002430.3_38_F.1.1,unknown,B002430,,Aorta,unknown
C19.B002430.3_38_F.1.1,adipocytes,B002430,,Aorta,adipocytes
K21.B002430.3_38_F.1.1,endothelial,B002430,,Aorta,endothelial
N17.B002430.3_38_F.1.1,adipocytes,B002430,,Aorta,adipocytes
C20.B002430.3_38_F.1.1,unknown,B002430,,Aorta,unknown
H21.B002430.3_38_F.1.1,adipocytes,B002430,,Aorta,adipocytes
L18.B002430.3_38_F.1.1,endothelial,B002430,,Aorta,endothelial
D17.B002430.3_38_F.1.1,adipocytes,B002430,,Aorta,adipocytes
P18.B002430.3_38_F.1.1,adipocytes,B002430,,Aorta,adipocytes
D19.B002430.3_38_F.1.1,unknown,B002430,,Aorta,unknown
D20.B002430.3_38_F.1.1,adipocytes,B002430,,Aorta,adipocytes
E22.B002430.3_38_F.1.1,adipocytes,B002430,,Aorta,adipocytes
M20.B002430.3_38_F.1.1,unknown,B002430,,Aorta,unknown
C15.B002431.3_39_F.1.1,unknown,B002431,,Aorta,unknown
D20.B002431.3_39_F.1.1,adipocytes,B002431,,Aorta,adipocytes
H18.B002431.3_39_F.1.1,adipocytes,B002431,,Aorta,adipocytes
K22.B002431.3_39_F.1.1,adipocytes,B002431,,Aorta,adipocytes
K21.B002431.3_39_F.1.1,adipocytes,B002431,,Aorta,adipocytes
P22.B002431.3_39_F.1.1,adipocytes,B002431,,Aorta,adipocytes
M9.B002431.3_39_F.1.1,unknown,B002431,,Aorta,unknown
N15.B002431.3_39_F.1.1,unknown,B002431,,Aorta,unknown
O18.B002431.3_39_F.1.1,adipocytes,B002431,,Aorta,adipocytes
H20.B002431.3_39_F.1.1,adipocytes,B002431,,Aorta,adipocytes
O21.B002431.3_39_F.1.1,adipocytes,B002431,,Aorta,adipocytes
D22.B002431.3_39_F.1.1,adipocytes,B002431,,Aorta,adipocytes
C18.B002431.3_39_F.1.1,adipocytes,B002431,,Aorta,adipocytes
O22.B002431.3_39_F.1.1,unknown,B002431,,Aorta,unknown
C19.B002431.3_39_F.1.1,adipocytes,B002431,,Aorta,adipocytes
H21.B002431.3_39_F.1.1,adipocytes,B002431,,Aorta,adipocytes
J18.B002431.3_39_F.1.1,adipocytes,B002431,,Aorta,adipocytes
J19.B002431.3_39_F.1.1,adipocytes,B002431,,Aorta,adipocytes
F20.B002431.3_39_F.1.1,adipocytes,B002431,,Aorta,adipocytes
J20.B002431.3_39_F.1.1,adipocytes,B002431,,Aorta,adipocytes
M17.B002431.3_39_F.1.1,adipocytes,B002431,,Aorta,adipocytes
C21.B002431.3_39_F.1.1,endothelial,B002431,,Aorta,endothelial
F21.B002431.3_39_F.1.1,adipocytes,B002431,,Aorta,adipocytes
J21.B002431.3_39_F.1.1,adipocytes,B002431,,Aorta,adipocytes
