annotation,n_cells
b_cells,8611
basal_cells,6743
cardiomyocytes,83
chondrogenic_cells,380
ciliated_cells,41
club_cells,5
collecting_duct_cells,72
dendritic_cells,369
endothelial_cells,3381
epithelial_cells,974
erythrocytes,197
fenestrated_capillary_cells,345
fibroblasts,270
granulocytes,770
hematopoietic_stem_cells,399
hepatocytes,1006
immune_cells,1160
keratinocytes,1454
luminal_cells,1353
macrophages,1748
mast_cells,22
mesenchymal_cells,1186
mesenchymal_stem_cells,1111
mesothelial_cells,24
monocytes,667
natural_killer_cells,832
pdgfrb_+_ptprc_cells,543
progenitors,714
progenitors_erythroblasts,268
satellite_cells,349
smooth_muscle_cells,136
stromal_cells,11135
stromal_mesenchymal_cells,112
t_cells,6095
tubule_cells,1921
unknown_cells,361
