"","annotation","subannotation"
"B12.MAA000398.3_9_M.1.1","Fb_1",NA
"D16.MAA000398.3_9_M.1.1","Edc_1",NA
"F10.MAA000398.3_9_M.1.1","SMCs","Myofibroblast"
"L17.MAA000398.3_9_M.1.1","SMCs","Myofibroblast"
"N18.MAA000398.3_9_M.1.1","Fb_1",NA
"H15.MAA000398.3_9_M.1.1","Edc_3_endocardial",NA
"J14.MAA000398.3_9_M.1.1","Immune_Cells_1",NA
"B14.MAA000398.3_9_M.1.1","Fb_1",NA
"D17.MAA000398.3_9_M.1.1","Fb_1",NA
"F14.MAA000398.3_9_M.1.1","Immune_Cells_1",NA
"H16.MAA000398.3_9_M.1.1","Immune_Cells_1",NA
"J15.MAA000398.3_9_M.1.1","Fb_1",NA
"L19.MAA000398.3_9_M.1.1","Fb_1",NA
"F15.MAA000398.3_9_M.1.1","Immune_Cells_1",NA
"J16.MAA000398.3_9_M.1.1","Fb_1",NA
"L20.MAA000398.3_9_M.1.1","Edc_1",NA
"B15.MAA000398.3_9_M.1.1","Fb_1",NA
"D18.MAA000398.3_9_M.1.1","Immune_Cells_1",NA
"B18.MAA000398.3_9_M.1.1","Immune_Cells_1",NA
"F16.MAA000398.3_9_M.1.1","Immune_Cells_1",NA
"J17.MAA000398.3_9_M.1.1","Edc_1",NA
"L22.MAA000398.3_9_M.1.1","Fb_1",NA
"B20.MAA000398.3_9_M.1.1","Fb_1",NA
"D21.MAA000398.3_9_M.1.1","Edc_1",NA
"F17.MAA000398.3_9_M.1.1","Edc_1",NA
"H19.MAA000398.3_9_M.1.1","Fb_1",NA
"J19.MAA000398.3_9_M.1.1","Fb_1",NA
"M4.MAA000398.3_9_M.1.1","Fb_1",NA
"B21.MAA000398.3_9_M.1.1","Fb_1",NA
"F19.MAA000398.3_9_M.1.1","Fb_1",NA
"H20.MAA000398.3_9_M.1.1","Fb_1",NA
"M5.MAA000398.3_9_M.1.1","Edc_1",NA
"A1.MAA000398.3_9_M.1.1","Fb_1",NA
"C1.MAA000398.3_9_M.1.1","Fb_1",NA
"E7.MAA000398.3_9_M.1.1","Edc_1",NA
"F20.MAA000398.3_9_M.1.1","Fb_1",NA
"H22.MAA000398.3_9_M.1.1","CMs",NA
"A3.MAA000398.3_9_M.1.1","Fb_1",NA
"C10.MAA000398.3_9_M.1.1","SMCs","Myofibroblast"
"M6.MAA000398.3_9_M.1.1","Fb_1",NA
"K4.MAA000398.3_9_M.1.1","SMCs","Myofibroblast"
"M9.MAA000398.3_9_M.1.1","Immune_Cells_1",NA
"E9.MAA000398.3_9_M.1.1","Immune_Cells_1",NA
"G3.MAA000398.3_9_M.1.1","Immune_Cells_1",NA
"I3.MAA000398.3_9_M.1.1","Edc_1",NA
"A9.MAA000398.3_9_M.1.1","SMCs","Smooth_Muscle_Cells"
"E10.MAA000398.3_9_M.1.1","Edc_1",NA
"G10.MAA000398.3_9_M.1.1","Fb_1",NA
"I8.MAA000398.3_9_M.1.1","Immune_Cells_1",NA
"K6.MAA000398.3_9_M.1.1","Fb_1",NA
"M10.MAA000398.3_9_M.1.1","Fb_1",NA
"A10.MAA000398.3_9_M.1.1","Immune_Cells_2",NA
"E11.MAA000398.3_9_M.1.1","Edc_1",NA
"G11.MAA000398.3_9_M.1.1","SMCs","Myofibroblast"
"K13.MAA000398.3_9_M.1.1","SMCs","Smooth_Muscle_Cells"
"A11.MAA000398.3_9_M.1.1","SMCs","Myofibroblast"
"M12.MAA000398.3_9_M.1.1","Edc_1",NA
"C14.MAA000398.3_9_M.1.1","Edc_1",NA
"G12.MAA000398.3_9_M.1.1","Edc_1",NA
"I12.MAA000398.3_9_M.1.1","Fb_2",NA
"K14.MAA000398.3_9_M.1.1","Immune_Cells_1",NA
"M13.MAA000398.3_9_M.1.1","Fb_1",NA
"E12.MAA000398.3_9_M.1.1","Fb_1",NA
"A13.MAA000398.3_9_M.1.1","SMCs","Myofibroblast"
"C15.MAA000398.3_9_M.1.1","Immune_Cells_2",NA
"E13.MAA000398.3_9_M.1.1","Edc_1",NA
"G15.MAA000398.3_9_M.1.1","Edc_1",NA
"I13.MAA000398.3_9_M.1.1","Fb_1",NA
"A14.MAA000398.3_9_M.1.1","Fb_1",NA
"C16.MAA000398.3_9_M.1.1","Fb_1",NA
"E14.MAA000398.3_9_M.1.1","Fb_1",NA
"G16.MAA000398.3_9_M.1.1","Edc_3_endocardial",NA
"M15.MAA000398.3_9_M.1.1","Edc_1",NA
"C17.MAA000398.3_9_M.1.1","CMs",NA
"E15.MAA000398.3_9_M.1.1","Fb_1",NA
"G17.MAA000398.3_9_M.1.1","Immune_Cells_1",NA
"I15.MAA000398.3_9_M.1.1","Fb_1",NA
"K18.MAA000398.3_9_M.1.1","Edc_1",NA
"M17.MAA000398.3_9_M.1.1","Edc_1",NA
"I16.MAA000398.3_9_M.1.1","Edc_1",NA
"A18.MAA000398.3_9_M.1.1","Fb_1",NA
"M18.MAA000398.3_9_M.1.1","Edc_1",NA
"C18.MAA000398.3_9_M.1.1","Immune_Cells_1",NA
"I17.MAA000398.3_9_M.1.1","Fb_2",NA
"L1.MAA000398.3_9_M.1.1","Edc_1",NA
"M19.MAA000398.3_9_M.1.1","SMCs","Myofibroblast"
"E16.MAA000398.3_9_M.1.1","Edc_1",NA
"A19.MAA000398.3_9_M.1.1","Edc_1",NA
"C19.MAA000398.3_9_M.1.1","SMCs","Myofibroblast"
"E17.MAA000398.3_9_M.1.1","Edc_1",NA
"G19.MAA000398.3_9_M.1.1","Edc_1",NA
"I18.MAA000398.3_9_M.1.1","Edc_1",NA
"L4.MAA000398.3_9_M.1.1","Fb_1",NA
"M20.MAA000398.3_9_M.1.1","Edc_1",NA
"A20.MAA000398.3_9_M.1.1","Fb_1",NA
"C21.MAA000398.3_9_M.1.1","Fb_1",NA
"M21.MAA000398.3_9_M.1.1","Fb_2",NA
"A21.MAA000398.3_9_M.1.1","Fb_1",NA
"E19.MAA000398.3_9_M.1.1","Fb_1",NA
"G20.MAA000398.3_9_M.1.1","Immune_Cells_1",NA
"I20.MAA000398.3_9_M.1.1","Fb_1",NA
"L7.MAA000398.3_9_M.1.1","Fb_1",NA
"M22.MAA000398.3_9_M.1.1","Edc_1",NA
"H5.MAA000398.3_9_M.1.1","Immune_Cells_1",NA
"I22.MAA000398.3_9_M.1.1","SMCs","Myofibroblast"
"L9.MAA000398.3_9_M.1.1","SMCs","Smooth_Muscle_Cells"
"A22.MAA000398.3_9_M.1.1","SMCs","Myofibroblast"
"D10.MAA000398.3_9_M.1.1","Fb_1",NA
"H6.MAA000398.3_9_M.1.1","Immune_Cells_1",NA
"J7.MAA000398.3_9_M.1.1","Fb_1",NA
"N7.MAA000398.3_9_M.1.1","Fb_1",NA
"B1.MAA000398.3_9_M.1.1","Fb_1",NA
"E21.MAA000398.3_9_M.1.1","Fb_1",NA
"H8.MAA000398.3_9_M.1.1","Fb_1",NA
"J9.MAA000398.3_9_M.1.1","Immune_Cells_1",NA
"L11.MAA000398.3_9_M.1.1","Fb_1",NA
"N10.MAA000398.3_9_M.1.1","Edc_1",NA
"E22.MAA000398.3_9_M.1.1","Fb_1",NA
"H10.MAA000398.3_9_M.1.1","Edc_1",NA
"J10.MAA000398.3_9_M.1.1","Fb_2",NA
"L12.MAA000398.3_9_M.1.1","Fb_1",NA
"N11.MAA000398.3_9_M.1.1","Fb_1",NA
"B7.MAA000398.3_9_M.1.1","Immune_Cells_1",NA
"D12.MAA000398.3_9_M.1.1","Edc_1",NA
"F3.MAA000398.3_9_M.1.1","Edc_1",NA
"H11.MAA000398.3_9_M.1.1","Fb_1",NA
"J11.MAA000398.3_9_M.1.1","Fb_1",NA
"D14.MAA000398.3_9_M.1.1","Fb_1",NA
"N12.MAA000398.3_9_M.1.1","Fb_1",NA
"N13.MAA000398.3_9_M.1.1","Fb_1",NA
