"","plate.barcode","annotation","subannotation"
"A15.D041894.3_9_M.1.1","D041894","Stratified/differentiated keratinocytes",NA
"B19.D041894.3_9_M.1.1","D041894","Basal/differentiating",NA
"C21.D041894.3_9_M.1.1","D041894","Maturing/nonkeratinized",NA
"E1.D041894.3_9_M.1.1","D041894","Maturing/nonkeratinized",NA
"F4.D041894.3_9_M.1.1","D041894","Basal/differentiating",NA
"G7.D041894.3_9_M.1.1","D041894","Basal/differentiating",NA
"H10.D041894.3_9_M.1.1","D041894","Basal/differentiating",NA
"I12.D041894.3_9_M.1.1","D041894","Basal/differentiating",NA
"A16.D041894.3_9_M.1.1","D041894","Proliferating",NA
"B20.D041894.3_9_M.1.1","D041894","Filiform",NA
"C22.D041894.3_9_M.1.1","D041894","Basal/differentiating",NA
"E3.D041894.3_9_M.1.1","D041894","Basal/differentiating",NA
"F5.D041894.3_9_M.1.1","D041894","Basal/differentiating",NA
"G8.D041894.3_9_M.1.1","D041894","Basal/differentiating",NA
"H11.D041894.3_9_M.1.1","D041894","Maturing/nonkeratinized",NA
"I13.D041894.3_9_M.1.1","D041894","Basal/differentiating",NA
"J15.D041894.3_9_M.1.1","D041894","Basal/differentiating",NA
"K18.D041894.3_9_M.1.1","D041894","Basal/differentiating",NA
"J14.D041894.3_9_M.1.1","D041894","Basal/differentiating",NA
"L20.D041894.3_9_M.1.1","D041894","Basal/differentiating",NA
"K17.D041894.3_9_M.1.1","D041894","Basal/differentiating",NA
"L19.D041894.3_9_M.1.1","D041894","Basal/differentiating",NA
"M21.D041894.3_9_M.1.1","D041894","Stratified/differentiated keratinocytes",NA
"O4.D041894.3_9_M.1.1","D041894","Basal/differentiating",NA
"P7.D041894.3_9_M.1.1","D041894","Basal/differentiating",NA
"M22.D041894.3_9_M.1.1","D041894","Basal/differentiating",NA
"B21.D041894.3_9_M.1.1","D041894","Stratified/differentiated keratinocytes",NA
"D1.D041894.3_9_M.1.1","D041894","Proliferating",NA
"E4.D041894.3_9_M.1.1","D041894","Basal/differentiating",NA
"F6.D041894.3_9_M.1.1","D041894","Maturing/nonkeratinized",NA
