"","annotation","subannotation"
"E19.MAA000538.3_8_M.1.1","astrocytes","Berg.Glia"
"F11.MAA000538.3_8_M.1.1","oligodendrocytes",NA
"H11.MAA000538.3_8_M.1.1","neurons","excitatory"
"J7.MAA000538.3_8_M.1.1","unknown",NA
"K3.MAA000538.3_8_M.1.1","oligodendrocytes",NA
"O14.MAA000538.3_8_M.1.1","oligodendrocytes",NA
"O19.MAA000538.3_8_M.1.1","oligodendrocytes",NA
"L7.MAA000538.3_8_M.1.1","oligodendrocytes",NA
"E6.MAA000550.3_10_M.1.1","unknown",NA
"P18.MAA000550.3_10_M.1.1","oligodendrocytes",NA
"G3.MAA000550.3_10_M.1.1","oligodendrocytes",NA
"L19.MAA000550.3_10_M.1.1","astrocytes","cerebral_astrocytes"
"G7.MAA000550.3_10_M.1.1","OPCs",NA
"M21.MAA000550.3_10_M.1.1","oligodendrocytes",NA
"N4.MAA000550.3_10_M.1.1","astrocytes","cerebral_astrocytes"
"N11.MAA000550.3_10_M.1.1","oligodendrocytes",NA
"N13.MAA000550.3_10_M.1.1","astrocytes","cerebral_astrocytes"
"J13.MAA000550.3_10_M.1.1","astrocytes","cerebral_astrocytes"
"O11.MAA000550.3_10_M.1.1","oligodendrocytes",NA
"D15.MAA000550.3_10_M.1.1","oligodendrocytes",NA
"K13.MAA000550.3_10_M.1.1","astrocytes","cerebral_astrocytes"
"O21.MAA000550.3_10_M.1.1","astrocytes","cerebral_astrocytes"
"I11.MAA000553.3_10_M.1.1","OPCs",NA
"J20.MAA000553.3_10_M.1.1","oligodendrocytes",NA
"C11.MAA000553.3_10_M.1.1","endothelial","vascular"
"C12.MAA000553.3_10_M.1.1","endothelial","vascular"
"K11.MAA000553.3_10_M.1.1","endothelial","vascular"
"L11.MAA000553.3_10_M.1.1","endothelial","vascular"
"C19.MAA000553.3_10_M.1.1","astrocytes","cerebral_astrocytes"
"L21.MAA000553.3_10_M.1.1","oligodendrocytes",NA
"M11.MAA000553.3_10_M.1.1","endothelial","vascular"
"C22.MAA000553.3_10_M.1.1","endothelial","vascular"
"M20.MAA000553.3_10_M.1.1","oligodendrocytes",NA
"M21.MAA000553.3_10_M.1.1","unknown",NA
"D11.MAA000553.3_10_M.1.1","endothelial","vascular"
"N10.MAA000553.3_10_M.1.1","endothelial","vascular"
"D13.MAA000553.3_10_M.1.1","oligodendrocytes",NA
"N11.MAA000553.3_10_M.1.1","endothelial","vascular"
"N13.MAA000553.3_10_M.1.1","pericytes",NA
"D19.MAA000553.3_10_M.1.1","astrocytes","cerebral_astrocytes"
"N15.MAA000553.3_10_M.1.1","OPCs",NA
"O10.MAA000553.3_10_M.1.1","endothelial","vascular"
"F11.MAA000553.3_10_M.1.1","endothelial","vascular"
"O11.MAA000553.3_10_M.1.1","pericytes",NA
"F15.MAA000553.3_10_M.1.1","OPCs",NA
"F22.MAA000553.3_10_M.1.1","oligodendrocytes",NA
"O18.MAA000553.3_10_M.1.1","endothelial","vascular"
"O21.MAA000553.3_10_M.1.1","OPCs",NA
"G11.MAA000553.3_10_M.1.1","endothelial","vascular"
"P10.MAA000553.3_10_M.1.1","endothelial","vascular"
"G20.MAA000553.3_10_M.1.1","OPCs",NA
"P14.MAA000553.3_10_M.1.1","OPCs",NA
"H10.MAA000553.3_10_M.1.1","OPCs",NA
"H13.MAA000553.3_10_M.1.1","oligodendrocytes",NA
"H16.MAA000553.3_10_M.1.1","endothelial","vascular"
"A16.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"C1.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"D11.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"E22.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"G7.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"H17.MAA000560.3_10_M.1.1","astrocytes","cerebral_astrocytes"
"J4.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"K11.MAA000560.3_10_M.1.1","astrocytes","cerebral_astrocytes"
"A17.MAA000560.3_10_M.1.1","astrocytes","cerebral_astrocytes"
"C2.MAA000560.3_10_M.1.1","oligodendrocytes",NA
