"","annotation","subannotation"
"D12.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"F2.MAA000560.3_10_M.1.1","astrocytes","cerebral_astrocytes"
"G8.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"H18.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"J5.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"K12.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"L18.MAA000560.3_10_M.1.1","OPCs",NA
"N2.MAA000560.3_10_M.1.1","astrocytes","cerebral_astrocytes"
"L17.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"O8.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"P13.MAA000560.3_10_M.1.1","astrocytes","cerebral_astrocytes"
"N1.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"O7.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"P12.MAA000560.3_10_M.1.1","astrocytes","cerebral_astrocytes"
"J8.MAA000560.3_10_M.1.1","astrocytes","cerebral_astrocytes"
"K13.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"L19.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"N3.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"O9.MAA000560.3_10_M.1.1","neurons","inhibitory"
"P14.MAA000560.3_10_M.1.1","pericytes",NA
"A19.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"C5.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"A18.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"C3.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"D14.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"F3.MAA000560.3_10_M.1.1","astrocytes","cerebral_astrocytes"
"G9.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"D15.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"P15.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"A20.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"F4.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"C6.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"G13.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"H21.MAA000560.3_10_M.1.1","astrocytes","cerebral_astrocytes"
"J9.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"K14.MAA000560.3_10_M.1.1","astrocytes","cerebral_astrocytes"
"L20.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"N4.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"O10.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"D17.MAA000560.3_10_M.1.1","pericytes",NA
"N5.MAA000560.3_10_M.1.1","OPCs",NA
"O11.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"P16.MAA000560.3_10_M.1.1","astrocytes","cerebral_astrocytes"
"F6.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"A21.MAA000560.3_10_M.1.1","astrocytes","cerebral_astrocytes"
"C7.MAA000560.3_10_M.1.1","astrocytes","cerebral_astrocytes"
"G14.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"I2.MAA000560.3_10_M.1.1","astrocytes","cerebral_astrocytes"
"J10.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"K15.MAA000560.3_10_M.1.1","astrocytes","cerebral_astrocytes"
"L21.MAA000560.3_10_M.1.1","astrocytes","cerebral_astrocytes"
"F7.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"N6.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"O12.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"P17.MAA000560.3_10_M.1.1","astrocytes","cerebral_astrocytes"
"A22.MAA000560.3_10_M.1.1","unknown",NA
"C9.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"G15.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"I3.MAA000560.3_10_M.1.1","OPCs",NA
"J11.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"K16.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"L22.MAA000560.3_10_M.1.1","astrocytes","cerebral_astrocytes"
"D20.MAA000560.3_10_M.1.1","astrocytes","cerebral_astrocytes"
"O14.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"P18.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"F8.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"B1.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"C11.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"D21.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"G18.MAA000560.3_10_M.1.1","astrocytes","cerebral_astrocytes"
"I4.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"J12.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"K17.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"M1.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"N7.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"O15.MAA000560.3_10_M.1.1","astrocytes","myelinating_oligodendrocytes"
"P19.MAA000560.3_10_M.1.1","astrocytes","cerebral_astrocytes"
"B2.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"C12.MAA000560.3_10_M.1.1","astrocytes","cerebral_astrocytes"
"F9.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"E1.MAA000560.3_10_M.1.1","astrocytes","cerebral_astrocytes"
"F10.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"G20.MAA000560.3_10_M.1.1","astrocytes","cerebral_astrocytes"
"G19.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"I5.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"J13.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"K18.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"M2.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"N8.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"I6.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"B3.MAA000560.3_10_M.1.1","astrocytes","cerebral_astrocytes"
"C13.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"J14.MAA000560.3_10_M.1.1","astrocytes","cerebral_astrocytes"
"E2.MAA000560.3_10_M.1.1","endothelial","vascular"
"F11.MAA000560.3_10_M.1.1","astrocytes","cerebral_astrocytes"
"K20.MAA000560.3_10_M.1.1","astrocytes","cerebral_astrocytes"
"M3.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"N9.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"O17.MAA000560.3_10_M.1.1","astrocytes","cerebral_astrocytes"
"P20.MAA000560.3_10_M.1.1","astrocytes","cerebral_astrocytes"
"G21.MAA000560.3_10_M.1.1","OPCs",NA
"A1.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"B4.MAA000560.3_10_M.1.1","endothelial","vSMCs"
"C14.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"E3.MAA000560.3_10_M.1.1","astrocytes","cerebral_astrocytes"
"F12.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"I7.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"H1.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"I8.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"J15.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"K21.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"M4.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"N10.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"O18.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"P21.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"A2.MAA000560.3_10_M.1.1","astrocytes","cerebral_astrocytes"
"B5.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"C16.MAA000560.3_10_M.1.1","astrocytes","cerebral_astrocytes"
"E4.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"F13.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"H2.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"I9.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"J16.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"J17.MAA000560.3_10_M.1.1","endothelial","vascular"
"L2.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"K22.MAA000560.3_10_M.1.1","astrocytes","cerebral_astrocytes"
"M5.MAA000560.3_10_M.1.1","OPCs",NA
"N11.MAA000560.3_10_M.1.1","astrocytes","cerebral_astrocytes"
"O19.MAA000560.3_10_M.1.1","astrocytes","cerebral_astrocytes"
"P22.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"A3.MAA000560.3_10_M.1.1","OPCs",NA
"B6.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"C18.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"E6.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"F14.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"H3.MAA000560.3_10_M.1.1","astrocytes","cerebral_astrocytes"
"I12.MAA000560.3_10_M.1.1","endothelial","vSMCs"
"J18.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"L4.MAA000560.3_10_M.1.1","astrocytes","cerebral_astrocytes"
"M6.MAA000560.3_10_M.1.1","unknown",NA
"M8.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"N14.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"O21.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"N12.MAA000560.3_10_M.1.1","astrocytes","cerebral_astrocytes"
"O20.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"E7.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"F16.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"H4.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"I13.MAA000560.3_10_M.1.1","unknown",NA
"J19.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"L5.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"M9.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"N15.MAA000560.3_10_M.1.1","astrocytes","cerebral_astrocytes"
"O22.MAA000560.3_10_M.1.1","astrocytes","myelinating_oligodendrocytes"
"A4.MAA000560.3_10_M.1.1","OPCs",NA
"B7.MAA000560.3_10_M.1.1","astrocytes","cerebral_astrocytes"
"C19.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"F18.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"H5.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"I14.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"J20.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"L6.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"M10.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"N17.MAA000560.3_10_M.1.1","astrocytes","cerebral_astrocytes"
"P1.MAA000560.3_10_M.1.1","astrocytes","cerebral_astrocytes"
"A6.MAA000560.3_10_M.1.1","astrocytes","cerebral_astrocytes"
"A5.MAA000560.3_10_M.1.1","astrocytes","cerebral_astrocytes"
"B8.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"C20.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"E8.MAA000560.3_10_M.1.1","astrocytes","cerebral_astrocytes"
"B9.MAA000560.3_10_M.1.1","astrocytes","cerebral_astrocytes"
"M11.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"N18.MAA000560.3_10_M.1.1","astrocytes","cerebral_astrocytes"
"P2.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"C21.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"B10.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"C22.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"E9.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"F19.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"H6.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"I15.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"J21.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"L7.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"E11.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"A8.MAA000560.3_10_M.1.1","astrocytes","cerebral_astrocytes"
"B11.MAA000560.3_10_M.1.1","astrocytes","cerebral_astrocytes"
"D1.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"E13.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"F20.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"F21.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"H8.MAA000560.3_10_M.1.1","OPCs",NA
"H7.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"I16.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"J22.MAA000560.3_10_M.1.1","astrocytes","cerebral_astrocytes"
"L9.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"M12.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"N19.MAA000560.3_10_M.1.1","astrocytes","cerebral_astrocytes"
"P3.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"I17.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"A9.MAA000560.3_10_M.1.1","astrocytes","cerebral_astrocytes"
"B15.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"D4.MAA000560.3_10_M.1.1","astrocytes","cerebral_astrocytes"
"E14.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"F22.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"H9.MAA000560.3_10_M.1.1","astrocytes","cerebral_astrocytes"
"K2.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"I18.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"K3.MAA000560.3_10_M.1.1","unknown",NA
"L11.MAA000560.3_10_M.1.1","astrocytes","cerebral_astrocytes"
"L10.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"M15.MAA000560.3_10_M.1.1","astrocytes","cerebral_astrocytes"
"N21.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"M16.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"D5.MAA000560.3_10_M.1.1","astrocytes","cerebral_astrocytes"
"E16.MAA000560.3_10_M.1.1","astrocytes","cerebral_astrocytes"
"H10.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"I19.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"K4.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"L12.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"M17.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"O1.MAA000560.3_10_M.1.1","astrocytes","cerebral_astrocytes"
"N22.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"P6.MAA000560.3_10_M.1.1","astrocytes","cerebral_astrocytes"
"A11.MAA000560.3_10_M.1.1","OPCs",NA
"B16.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"B17.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"D7.MAA000560.3_10_M.1.1","OPCs",NA
"E18.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"G2.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"H11.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"A12.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"P7.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"A13.MAA000560.3_10_M.1.1","astrocytes","cerebral_astrocytes"
"I20.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"K5.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"L13.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"M19.MAA000560.3_10_M.1.1","astrocytes","cerebral_astrocytes"
"O2.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"B18.MAA000560.3_10_M.1.1","OPCs",NA
"G3.MAA000560.3_10_M.1.1","astrocytes","cerebral_astrocytes"
"H12.MAA000560.3_10_M.1.1","OPCs",NA
"I22.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"K6.MAA000560.3_10_M.1.1","astrocytes","cerebral_astrocytes"
"D8.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"E19.MAA000560.3_10_M.1.1","OPCs",NA
"L14.MAA000560.3_10_M.1.1","astrocytes","cerebral_astrocytes"
"M20.MAA000560.3_10_M.1.1","astrocytes","cerebral_astrocytes"
"O4.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"P8.MAA000560.3_10_M.1.1","astrocytes","cerebral_astrocytes"
"A14.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"B19.MAA000560.3_10_M.1.1","astrocytes","cerebral_astrocytes"
"J2.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"K7.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"L15.MAA000560.3_10_M.1.1","astrocytes","cerebral_astrocytes"
"D9.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"E20.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"G4.MAA000560.3_10_M.1.1","astrocytes","cerebral_astrocytes"
"H14.MAA000560.3_10_M.1.1","astrocytes","cerebral_astrocytes"
"M21.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"O5.MAA000560.3_10_M.1.1","astrocytes","cerebral_astrocytes"
"P9.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"E21.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"G6.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"H15.MAA000560.3_10_M.1.1","astrocytes","myelinating_oligodendrocytes"
"J3.MAA000560.3_10_M.1.1","astrocytes","cerebral_astrocytes"
"A15.MAA000560.3_10_M.1.1","astrocytes","cerebral_astrocytes"
"K8.MAA000560.3_10_M.1.1","astrocytes","cerebral_astrocytes"
"L16.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"B21.MAA000560.3_10_M.1.1","NPCS",NA
"D10.MAA000560.3_10_M.1.1","endothelial","vascular"
"M22.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"O6.MAA000560.3_10_M.1.1","unknown",NA
"P11.MAA000560.3_10_M.1.1","oligodendrocytes",NA
"A15.MAA000561.3_10_M.1.1","pericytes",NA
"I16.MAA000561.3_10_M.1.1","neurons","inhibitory"
"A16.MAA000561.3_10_M.1.1","neurons","excitatory"
"D21.MAA000561.3_10_M.1.1","endothelial","vascular"
"A18.MAA000561.3_10_M.1.1","neurons","excitatory"
"A17.MAA000561.3_10_M.1.1","neurons","inhibitory"
"D22.MAA000561.3_10_M.1.1","neurons","excitatory"
"I20.MAA000561.3_10_M.1.1","pericytes",NA
"I22.MAA000561.3_10_M.1.1","endothelial","vascular"
"A19.MAA000561.3_10_M.1.1","neurons","excitatory"
"E19.MAA000561.3_10_M.1.1","endothelial","vascular"
"A20.MAA000561.3_10_M.1.1","pericytes",NA
"E20.MAA000561.3_10_M.1.1","pericytes",NA
"J15.MAA000561.3_10_M.1.1","neurons","doublet"
"J16.MAA000561.3_10_M.1.1","neurons","excitatory"
"A21.MAA000561.3_10_M.1.1","neurons","inhibitory"
"F10.MAA000561.3_10_M.1.1","astrocytes","cerebral_astrocytes"
"A22.MAA000561.3_10_M.1.1","endothelial","vascular"
"F11.MAA000561.3_10_M.1.1","oligodendrocytes",NA
"J19.MAA000561.3_10_M.1.1","NPCS",NA
"J20.MAA000561.3_10_M.1.1","pericytes",NA
"B16.MAA000561.3_10_M.1.1","pericytes",NA
"J22.MAA000561.3_10_M.1.1","pericytes",NA
"B17.MAA000561.3_10_M.1.1","endothelial","vascular"
"K21.MAA000561.3_10_M.1.1","neurons","excitatory"
"L8.MAA000561.3_10_M.1.1","neurons","inhibitory"
"B18.MAA000561.3_10_M.1.1","pericytes",NA
"B19.MAA000561.3_10_M.1.1","pericytes",NA
"B20.MAA000561.3_10_M.1.1","pericytes",NA
"L17.MAA000561.3_10_M.1.1","endothelial","vascular"
"L21.MAA000561.3_10_M.1.1","neurons","inhibitory"
"G20.MAA000561.3_10_M.1.1","endothelial","vascular"
"M12.MAA000561.3_10_M.1.1","neurons","excitatory"
"C17.MAA000561.3_10_M.1.1","pericytes",NA
"C18.MAA000561.3_10_M.1.1","unknown",NA
"C19.MAA000561.3_10_M.1.1","pericytes",NA
"D12.MAA000561.3_10_M.1.1","neurons","inhibitory"
"H15.MAA000561.3_10_M.1.1","endothelial","vascular"
"D15.MAA000561.3_10_M.1.1","pericytes",NA
"D16.MAA000561.3_10_M.1.1","neurons","inhibitory"
"A11.MAA000561.3_10_M.1.1","OPCs",NA
"H22.MAA000561.3_10_M.1.1","pericytes",NA
"A14.MAA000561.3_10_M.1.1","NPCS",NA
"D18.MAA000561.3_10_M.1.1","endothelial","vascular"
"N12.MAA000561.3_10_M.1.1","endothelial","vascular"
"N18.MAA000561.3_10_M.1.1","unknown",NA
"N20.MAA000561.3_10_M.1.1","neurons","excitatory"
"N21.MAA000561.3_10_M.1.1","endothelial","vascular"
"N22.MAA000561.3_10_M.1.1","neurons","excitatory"
"O13.MAA000561.3_10_M.1.1","neurons","inhibitory"
"O15.MAA000561.3_10_M.1.1","NPCS",NA
"O16.MAA000561.3_10_M.1.1","endothelial","vascular"
"O17.MAA000561.3_10_M.1.1","oligodendrocytes",NA
"O18.MAA000561.3_10_M.1.1","endothelial","vascular"
"O20.MAA000561.3_10_M.1.1","pericytes",NA
"O19.MAA000561.3_10_M.1.1","neurons","excitatory"
"O21.MAA000561.3_10_M.1.1","pericytes",NA
"O22.MAA000561.3_10_M.1.1","pericytes",NA
"P14.MAA000561.3_10_M.1.1","pericytes",NA
"P12.MAA000561.3_10_M.1.1","pericytes",NA
"P15.MAA000561.3_10_M.1.1","neurons","excitatory"
"M14.MAA000561.3_10_M.1.1","pericytes",NA
"P16.MAA000561.3_10_M.1.1","pericytes",NA
"M16.MAA000561.3_10_M.1.1","endothelial","vascular"
"P18.MAA000561.3_10_M.1.1","pericytes",NA
"M15.MAA000561.3_10_M.1.1","pericytes",NA
"P17.MAA000561.3_10_M.1.1","neurons","inhibitory"
"M19.MAA000561.3_10_M.1.1","neurons","inhibitory"
"P19.MAA000561.3_10_M.1.1","pericytes",NA
"M20.MAA000561.3_10_M.1.1","neurons","inhibitory"
"P20.MAA000561.3_10_M.1.1","neurons","excitatory"
"M22.MAA000561.3_10_M.1.1","pericytes",NA
"M21.MAA000561.3_10_M.1.1","endothelial","vascular"
"P22.MAA000561.3_10_M.1.1","endothelial","vascular"
"P21.MAA000561.3_10_M.1.1","pericytes",NA
"A4.MAA000563.3_10_M.1.1","OPCs",NA
"D22.MAA000563.3_10_M.1.1","oligodendrocytes",NA
"L2.MAA000563.3_10_M.1.1","astrocytes","cerebral_astrocytes"
"O1.MAA000563.3_10_M.1.1","oligodendrocytes",NA
"E4.MAA000563.3_10_M.1.1","unknown",NA
"L3.MAA000563.3_10_M.1.1","OPCs",NA
"O3.MAA000563.3_10_M.1.1","oligodendrocytes",NA
"O7.MAA000563.3_10_M.1.1","oligodendrocytes",NA
"E6.MAA000563.3_10_M.1.1","astrocytes","cerebral_astrocytes"
"L4.MAA000563.3_10_M.1.1","oligodendrocytes",NA
"E10.MAA000563.3_10_M.1.1","OPCs",NA
"L12.MAA000563.3_10_M.1.1","oligodendrocytes",NA
"E20.MAA000563.3_10_M.1.1","oligodendrocytes",NA
"L22.MAA000563.3_10_M.1.1","OPCs",NA
"F4.MAA000563.3_10_M.1.1","pericytes",NA
"M1.MAA000563.3_10_M.1.1","astrocytes","cerebral_astrocytes"
"A13.MAA000563.3_10_M.1.1","oligodendrocytes",NA
"F6.MAA000563.3_10_M.1.1","oligodendrocytes",NA
