plate_name,download_url,tissue,subtissue,mouse.id,mouse.age,mouse.sex,mouse.number,FACS.selection,median_number_of_input_reads,median_uniquely_mapped_reads_%
B000610,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/B000610.zip,Bladder,,3_56_F,3,F,56,Multiple,482084.0,85.88499999999999
D042253,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/D042253.zip,Bladder,,3_9_M,3,M,9,Multiple,10713.5,81.125
B002771,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/B002771.zip,Bladder,,3_39_F,3,F,39,Multiple,474393.0,85.875
B002764,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/B002764.zip,Bladder,,3_38_F,3,F,38,Multiple,146313.5,84.67
MAA000487,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000487.zip,Bladder,,3_10_M,3,M,10,Multiple,486860.5,84.9
D041914,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/D041914.zip,Bladder,,3_8_M,3,M,8,Multiple,27854.0,80.79499999999999
B000826,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/B000826.zip,Brain,Cortex,3_39_F,3,F,39,Microglia,388555.5,87.325
MAA000572,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000572.zip,Brain,Cortex,3_8_M,3,M,8,Microglia,485226.5,85.765
B003292,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/B003292.zip,Brain,Striatum,3_39_F,3,F,39,Microglia,541576.5,89.49
MAA000578,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000578.zip,Brain,Cerebellum,3_10_M,3,M,10,Neurons,15734.5,75.92
B003728,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/B003728.zip,Brain,Striatum,3_56_F,3,F,56,Neurons,199112.0,67.315
B003275,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/B003275.zip,Brain,Hippocampus,3_38_F,3,F,38,Neurons,328005.5,84.75999999999999
MAA000935,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000935.zip,Brain,Hippocampus,3_8_M,3,M,8,Neurons,54207.5,76.435
MAA000581,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000581.zip,Brain,Cerebellum,3_10_M,3,M,10,Neurons,126938.5,80.39
MAA001856,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA001856.zip,Brain,Cerebellum,3_39_F,3,F,39,Neurons,421949.5,86.65
MAA000563,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000563.zip,Brain,Hippocampus,3_10_M,3,M,10,Neurons,76708.0,61.04
MAA000591,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000591.zip,Brain,Hippocampus,3_8_M,3,M,8,Microglia,409312.5,66.42500000000001
MAA001854,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA001854.zip,Brain,Cerebellum,3_38_F,3,F,38,Neurons,334686.5,86.405
MAA001871,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA001871.zip,Brain,Cerebellum,3_39_F,3,F,39,Microglia,520739.0,78.91
MAA000930,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000930.zip,Brain,Cortex,3_8_M,3,M,8,Neurons,387876.0,86.44
MAA000924,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000924.zip,Brain,Cerebellum,3_8_M,3,M,8,Neurons,240805.0,44.3
MAA000641,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000641.zip,Brain,Cerebellum,3_9_M,3,M,9,Multiple,231055.5,40.095
MAA000593,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000593.zip,Brain,Striatum,3_8_M,3,M,8,Microglia,26822.5,74.96000000000001
MAA001853,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA001853.zip,Brain,Cerebellum,3_38_F,3,F,38,Neurons,22951.5,64.63499999999999
MAA000571,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000571.zip,Brain,Cerebellum,3_9_M,3,M,9,Microglia,512473.0,85.63
MAA000605,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000605.zip,Brain,Cerebellum,3_10_M,3,M,10,Microglia,254245.0,83.435
MAA000550,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000550.zip,Brain,Hippocampus,3_10_M,3,M,10,Neurons,3859.5,73.695
B003274,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/B003274.zip,Brain,Striatum,3_38_F,3,F,38,Neurons,433682.5,83.685
MAA000570,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000570.zip,Brain,Cerebellum,3_8_M,3,M,8,Microglia,418185.0,81.44999999999999
MAA000944,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000944.zip,Brain,Cortex,3_9_M,3,M,9,Neurons,235919.0,85.13
MAA000590,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000590.zip,Brain,Striatum,3_9_M,3,M,9,Microglia,561701.0,82.45500000000001
MAA000928,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000928.zip,Brain,Cerebellum,3_9_M,3,M,9,Neurons,55881.0,72.85
B003279,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/B003279.zip,Brain,Cerebellum,3_38_F,3,F,38,Microglia,584398.0,83.93
MAA000617,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000617.zip,Brain,Striatum,3_10_M,3,M,10,Microglia,264132.0,84.245
MAA000925,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000925.zip,Brain,Striatum,3_9_M,3,M,9,Neurons,317158.5,83.445
B003281,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/B003281.zip,Brain,Hippocampus,3_39_F,3,F,39,Microglia,368677.5,85.4
MAA000615,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000615.zip,Brain,Striatum,3_10_M,3,M,10,Neurons,52546.0,54.92
B003290,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/B003290.zip,Brain,Striatum,3_38_F,3,F,38,Neurons,332413.5,83.985
B003277,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/B003277.zip,Brain,Hippocampus,3_39_F,3,F,39,Neurons,421406.5,80.735
B000404,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/B000404.zip,Brain,Cerebellum,3_56_F,3,F,56,Neurons,439997.5,86.66
MAA000638,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000638.zip,Brain,Cerebellum,3_9_M,3,M,9,Neurons,245118.5,49.435
MAA000603,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000603.zip,Brain,Hippocampus,3_10_M,3,M,10,Microglia,458410.0,85.02000000000001
B001688,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/B001688.zip,Brain,Hippocampus,3_38_F,3,F,38,Neurons,525252.5,90.66
MAA000592,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000592.zip,Brain,Hippocampus,3_9_M,3,M,9,Microglia,472359.0,85.3
B001689,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/B001689.zip,Brain,Hippocampus,3_38_F,3,F,38,Microglia,523825.0,91.595
MAA000940,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000940.zip,Brain,Striatum,3_8_M,3,M,8,Neurons,34591.0,79.525
B000825,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/B000825.zip,Brain,Striatum,3_38_F,3,F,38,Microglia,670709.0,82.265
MAA001894,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA001894.zip,Brain,Cortex,3_39_F,3,F,39,Neurons,280839.0,85.71000000000001
MAA000947,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000947.zip,Brain,Hippocampus,3_9_M,3,M,9,Neurons,96125.5,77.875
MAA001895,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA001895.zip,Brain,Cortex,3_38_F,3,F,38,Neurons,241857.5,85.715
MAA000923,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000923.zip,Brain,Hippocampus,3_9_M,3,M,9,Neurons,32899.5,73.54
MAA000604,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000604.zip,Brain,Cortex,3_10_M,3,M,10,Microglia,249347.0,83.03999999999999
