plate_name,download_url,tissue,subtissue,mouse.id,mouse.age,mouse.sex,mouse.number,FACS.selection,median_number_of_input_reads,median_uniquely_mapped_reads_%
MAA000941,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000941.zip,Brain,Hippocampus,3_8_M,3,M,8,Neurons,241425.5,84.53
MAA000926,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000926.zip,Brain,Cortex,3_9_M,3,M,9,Neurons,306063.5,84.97
MAA000560,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000560.zip,Brain,Cortex,3_10_M,3,M,10,Neurons,624161.5,85.215
MAA000573,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000573.zip,Brain,Cortex,3_9_M,3,M,9,Microglia,307408.0,86.93
MAA000942,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000942.zip,Brain,Striatum,3_8_M,3,M,8,Neurons,261371.5,84.58
MAA001845,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA001845.zip,Brain,Cerebellum,3_39_F,3,F,39,Neurons,49516.5,75.595
B000621,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/B000621.zip,Brain,Hippocampus,3_56_F,3,F,56,Neurons,462680.5,86.375
B001176,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/B001176.zip,Brain,Striatum,3_56_F,3,F,56,Microglia,485862.0,90.25
MAA000553,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000553.zip,Brain,Hippocampus,3_10_M,3,M,10,,203086.5,82.68
MAA000424,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000424.zip,Brain,Cerebellum,3_11_M,3,M,11,Neurons,15818.5,76.725
MAA000538,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000538.zip,Brain,Cerebellum,3_8_M,3,M,8,Neurons,14061.5,74.345
MAA000932,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000932.zip,Brain,Hippocampus,3_11_M,3,M,11,Neurons,44228.0,73.295
MAA000564,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000564.zip,Brain,Striatum,3_10_M,3,M,10,Neurons,554839.0,85.44
MAA000561,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000561.zip,Brain,Cortex,3_10_M,3,M,10,Neurons,193591.5,83.61
B003278,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/B003278.zip,Brain,Cortex,3_38_F,3,F,38,Microglia,395170.5,72.455
MAA000902,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000902.zip,Brain,Striatum,3_11_M,3,M,11,Neurons,203518.0,73.61
MAA000871,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000871.zip,Colon,Proximal,3_11_M,3,M,11,Multiple,57414.0,73.16499999999999
MAA000909,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000909.zip,Colon,Proximal,3_10_M,3,M,10,Multiple,27827.0,72.58
MAA001539,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA001539.zip,Colon,Distal,3_56_F,3,F,56,Multiple,488192.0,82.31
MAA001869,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA001869.zip,Colon,Proximal,3_38_F,3,F,38,Multiple,404378.5,76.41499999999999
MAA000870,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000870.zip,Colon,Distal,3_10_M,3,M,10,Multiple,479086.5,79.455
MAA001632,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA001632.zip,Colon,Proximal,3_56_F,3,F,56,Multiple,549595.0,83.765
MAA001875,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA001875.zip,Colon,Distal,3_39_F,3,F,39,Multiple,485259.0,83.27
MAA000611,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000611.zip,Colon,Proximal,3_8_M,3,M,8,Multiple,3997.5,74.25999999999999
MAA001872,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA001872.zip,Colon,Proximal,3_39_F,3,F,39,Multiple,567945.0,80.125
MAA001873,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA001873.zip,Colon,Distal,3_38_F,3,F,38,Multiple,826163.5,80.27
MAA000612,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000612.zip,Colon,Proximal,3_9_M,3,M,9,Multiple,51811.0,74.58
MAA000583,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000583.zip,Colon,Distal,3_9_M,3,M,9,Multiple,393972.5,83.465
MAA000937,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000937.zip,Colon,Distal,3_8_M,3,M,8,Multiple,31752.0,75.47
B002954,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/B002954.zip,Fat,SCAT,3_56_F,3,F,56,Multiple,462325.5,85.58
MAA000934,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000934.zip,Fat,SCAT,3_9_M,3,M,9,Multiple,396239.5,85.385
MAA000599,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000599.zip,Fat,BAT,3_8_M,3,M,8,Multiple,27848.5,74.28999999999999
B001216,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/B001216.zip,Fat,BAT,3_38_F,3,F,38,Multiple,678579.0,82.0
MAA000510,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000510.zip,Fat,SCAT,3_8_M,3,M,8,Multiple,22849.0,79.94
D043520,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/D043520.zip,Fat,MAT,3_39_F,3,F,39,Multiple,565736.5,86.86500000000001
MAA000914,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000914.zip,Fat,MAT,3_9_M,3,M,9,Multiple,209477.5,68.065
B002707,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/B002707.zip,Fat,BAT,3_39_F,3,F,39,Multiple,179133.5,82.255
D045058,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/D045058.zip,Fat,GAT,3_39_F,3,F,39,Multiple,687818.5,88.66
MAA000877,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000877.zip,Fat,MAT,3_11_M,3,M,11,Multiple,515601.0,86.44999999999999
MAA000385,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000385.zip,Fat,SCAT,3_10_M,3,M,10,Multiple,312963.5,86.0
MAA000554,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000554.zip,Fat,GAT,3_8_M,3,M,8,Multiple,12066.0,72.78
D045064,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/D045064.zip,Fat,MAT,3_38_F,3,F,38,Multiple,663436.5,88.64
MAA000556,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000556.zip,Fat,BAT,3_9_M,3,M,9,Multiple,383416.5,81.675
B001960,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/B001960.zip,Fat,BAT,3_56_F,3,F,56,Multiple,517719.5,84.945
D045067,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/D045067.zip,Fat,GAT,3_38_F,3,F,38,Multiple,385806.5,86.96000000000001
B002314,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/B002314.zip,Fat,MAT,3_56_F,3,F,56,Multiple,562578.0,86.59
D043526,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/D043526.zip,Fat,SCAT,3_39_F,3,F,39,Multiple,428514.5,88.11
MAA000386,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000386.zip,Fat,SCAT,3_11_M,3,M,11,Multiple,411719.5,85.795
B002955,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/B002955.zip,Fat,GAT,3_56_F,3,F,56,Multiple,422166.5,83.48
B000127,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/B000127.zip,Fat,SCAT,3_38_F,3,F,38,Multiple,546166.5,87.67
MAA000913,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000913.zip,Fat,GAT,3_9_M,3,M,9,Multiple,414392.0,82.60499999999999
MAA000388,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000388.zip,Fat,GAT,3_11_M,3,M,11,Multiple,388247.0,84.61500000000001
MAA000531,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000531.zip,Fat,MAT,3_8_M,3,M,8,Multiple,27281.5,76.08
MAA000442,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000442.zip,Fat,BAT,3_11_M,3,M,11,Multiple,457718.5,83.36500000000001
MAA000439,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000439.zip,Fat,GAT,3_10_M,3,M,10,Multiple,554794.5,85.8
MAA000873,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000873.zip,Fat,MAT,3_10_M,3,M,10,Multiple,408283.5,80.445
MAA000441,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000441.zip,Fat,BAT,3_10_M,3,M,10,Multiple,466048.5,85.2
MAA000452,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000452.zip,Heart,RV,3_8_M,3,M,8,Viable,48501.5,77.545
MAA000594,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000594.zip,Heart,Aorta,3_8_M,3,M,8,Viable,432379.0,63.78
MAA000919,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000919.zip,Heart,LA,3_10_M,3,M,10,Viable,315280.0,81.325
B000412,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/B000412.zip,Heart,RA,3_56_F,3,F,56,Viable,447821.5,85.435
MAA000903,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000903.zip,Heart,RA,3_11_M,3,M,11,Viable,308566.5,79.70500000000001
MAA000906,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000906.zip,Heart,Aorta,3_11_M,3,M,11,Viable,333012.5,81.505
B002428,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/B002428.zip,Heart,LA,3_38_F,3,F,38,Viable,564720.5,89.32
MAA000400,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000400.zip,Heart,LA,3_8_M,3,M,8,Viable,23063.0,78.25
MAA100037,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA100037.zip,Heart,?,3_10_M/3_11_M,3,M,,cardiomyocytes,377728.5,80.16499999999999
MAA000908,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000908.zip,Heart,Aorta,3_10_M,3,M,10,Viable,162691.0,70.685
B000634,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/B000634.zip,Heart,LA,3_56_F,3,F,56,Viable,501895.0,85.525
B002429,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/B002429.zip,Heart,LV,3_38_F,3,F,38,Viable,513713.5,78.775
MAA000595,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000595.zip,Heart,Aorta,3_9_M,3,M,9,Viable,443525.5,71.845
MAA000586,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000586.zip,Heart,RA,3_8_M,3,M,8,Viable,5167.5,74.78999999999999
B002421,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/B002421.zip,Heart,LV,3_39_F,3,F,39,Viable,538887.0,85.58
MAA100097,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA100097.zip,Heart,LA/RA,3_38_F/3_39_F,3,F,,cardiomyocytes,484462.0,77.62
MAA000587,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000587.zip,Heart,LV,3_8_M,3,M,8,Viable,23726.0,74.295
MAA000399,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000399.zip,Heart,RV,3_9_M,3,M,9,Viable,340897.5,81.095
B002431,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/B002431.zip,Heart,Aorta,3_39_F,3,F,39,Viable,298428.5,64.065
MAA000898,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000898.zip,Heart,RV,3_11_M,3,M,11,Viable,169669.0,74.4
B002010,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/B002010.zip,Heart,RA,3_39_F,3,F,39,Viable,612043.5,86.68
MAA000901,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000901.zip,Heart,RV,3_10_M,3,M,10,Viable,270971.0,79.88
MAA000899,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000899.zip,Heart,RA,3_10_M,3,M,10,Viable,375227.0,81.14
MAA000918,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000918.zip,Heart,LV,3_10_M,3,M,10,Viable,316889.5,82.26
B000633,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/B000633.zip,Heart,RV,3_56_F,3,F,56,Viable,504047.5,86.85499999999999
MAA000936,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000936.zip,Heart,RA,3_9_M,3,M,9,Viable,465110.5,86.14500000000001
MAA000917,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000917.zip,Heart,LV,3_11_M,3,M,11,Viable,238791.5,80.225
MAA000589,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000589.zip,Heart,LV,3_9_M,3,M,9,Viable,382930.5,81.27
MAA000920,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000920.zip,Heart,LA,3_11_M,3,M,11,Viable,503603.0,83.82
B000636,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/B000636.zip,Heart,LV,3_56_F,3,F,56,Viable,471039.5,85.365
B002430,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/B002430.zip,Heart,Aorta,3_38_F,3,F,38,Viable,605859.0,84.9
MAA100096,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA100096.zip,Heart,?,3_38_F/3_39_F,3,F,,cardiomyocytes,145481.5,75.62
MAA000398,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000398.zip,Heart,LA,3_9_M,3,M,9,Viable,403096.0,86.26
B002011,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/B002011.zip,Heart,RA,3_38_F,3,F,38,Viable,562820.5,78.91
B002423,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/B002423.zip,Heart,RV,3_39_F,3,F,39,Viable,560943.0,87.015
B002427,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/B002427.zip,Heart,LA,3_39_F,3,F,39,Viable,564774.5,89.37
MAA000801,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/MAA000801.zip,Kidney,,3_11_M,3,M,11,Viable,402263.5,78.055
B002775,https://s3.amazonaws.com/czbiohub-maca/gc_table_by_plates_processed_remux_redux_zipped/B002775.zip,Kidney,,3_39_F,3,F,39,Viable,422421.5,85.025
