"","plate.barcode","annotation","subannotation"
"L4.D042103.3_11_M.1","D042103","fibro-/adipogenic progenitors",NA
"D1.D042103.3_11_M.1","D042103","muscle stem cells",NA
"N2.D042103.3_11_M.1","D042103","endothelial cells","Jun-negative"
"H4.D042103.3_11_M.1","D042103","muscle stem cells",NA
"E1.D042103.3_11_M.1","D042103","muscle stem cells",NA
"A6.D042103.3_11_M.1","D042103","muscle stem cells",NA
"O2.D042103.3_11_M.1","D042103","B cells",NA
"I4.D042103.3_11_M.1","D042103","fibro-/adipogenic progenitors",NA
"F1.D042103.3_11_M.1","D042103","muscle stem cells",NA
"G1.D042103.3_11_M.1","D042103","muscle stem cells",NA
"A3.D042103.3_11_M.1","D042103","muscle stem cells",NA
"H1.D042103.3_11_M.1","D042103","muscle stem cells",NA
"J4.D042103.3_11_M.1","D042103","fibro-/adipogenic progenitors",NA
"B3.D042103.3_11_M.1","D042103","muscle stem cells",NA
"J1.D042103.3_11_M.1","D042103","fibro-/adipogenic progenitors",NA
"D3.D042103.3_11_M.1","D042103","muscle stem cells",NA
"N4.D042103.3_11_M.1","D042103","endothelial cells","Jun-negative"
"I1.D042103.3_11_M.1","D042103","fibro-/adipogenic progenitors",NA
"C3.D042103.3_11_M.1","D042103","muscle stem cells",NA
"M4.D042103.3_11_M.1","D042103","endothelial cells","Jun-negative"
"K1.D042103.3_11_M.1","D042103","fibro-/adipogenic progenitors",NA
"E3.D042103.3_11_M.1","D042103","muscle stem cells",NA
"O4.D042103.3_11_M.1","D042103","B cells",NA
"P4.D042103.3_11_M.1","D042103","B cells",NA
"L1.D042103.3_11_M.1","D042103","fibro-/adipogenic progenitors",NA
"F3.D042103.3_11_M.1","D042103","muscle stem cells",NA
"A5.D042103.3_11_M.1","D042103","muscle stem cells",NA
"M1.D042103.3_11_M.1","D042103","endothelial cells",NA
"G3.D042103.3_11_M.1","D042103","muscle stem cells",NA
"N1.D042103.3_11_M.1","D042103","endothelial cells","Jun-negative"
"H3.D042103.3_11_M.1","D042103","muscle stem cells",NA
"B5.D042103.3_11_M.1","D042103","muscle stem cells",NA
"O1.D042103.3_11_M.1","D042103","B cells",NA
"I3.D042103.3_11_M.1","D042103","fibro-/adipogenic progenitors",NA
"C5.D042103.3_11_M.1","D042103","muscle stem cells",NA
"J3.D042103.3_11_M.1","D042103","fibro-/adipogenic progenitors",NA
"D5.D042103.3_11_M.1","D042103","muscle stem cells",NA
"P1.D042103.3_11_M.1","D042103","macrophages",NA
"A2.D042103.3_11_M.1","D042103","muscle stem cells",NA
"M3.D042103.3_11_M.1","D042103","endothelial cells",NA
"E5.D042103.3_11_M.1","D042103","muscle stem cells",NA
"B2.D042103.3_11_M.1","D042103","muscle stem cells",NA
"N3.D042103.3_11_M.1","D042103","endothelial cells","Jun-negative"
"F5.D042103.3_11_M.1","D042103","muscle stem cells",NA
"C2.D042103.3_11_M.1","D042103","muscle stem cells",NA
"O3.D042103.3_11_M.1","D042103","B cells",NA
"G5.D042103.3_11_M.1","D042103","muscle stem cells",NA
"D2.D042103.3_11_M.1","D042103","muscle stem cells",NA
"P3.D042103.3_11_M.1","D042103","T cells",NA
"H5.D042103.3_11_M.1","D042103","muscle stem cells",NA
"E2.D042103.3_11_M.1","D042103","muscle stem cells",NA
"A4.D042103.3_11_M.1","D042103","muscle stem cells",NA
"I5.D042103.3_11_M.1","D042103","fibro-/adipogenic progenitors",NA
"F2.D042103.3_11_M.1","D042103","muscle stem cells",NA
"B4.D042103.3_11_M.1","D042103","muscle stem cells",NA
"J5.D042103.3_11_M.1","D042103","endothelial cells","Jun-negative"
"G2.D042103.3_11_M.1","D042103","muscle stem cells",NA
"C4.D042103.3_11_M.1","D042103","muscle stem cells",NA
"K5.D042103.3_11_M.1","D042103","fibro-/adipogenic progenitors",NA
"H2.D042103.3_11_M.1","D042103","muscle stem cells",NA
"D4.D042103.3_11_M.1","D042103","muscle stem cells",NA
"M5.D042103.3_11_M.1","D042103","endothelial cells","Jun-positive"
"A1.D042103.3_11_M.1","D042103","muscle stem cells",NA
"I2.D042103.3_11_M.1","D042103","fibro-/adipogenic progenitors",NA
"E4.D042103.3_11_M.1","D042103","muscle stem cells",NA
"N5.D042103.3_11_M.1","D042103","endothelial cells","Jun-positive"
"B1.D042103.3_11_M.1","D042103","muscle stem cells",NA
"K2.D042103.3_11_M.1","D042103","fibro-/adipogenic progenitors",NA
"F4.D042103.3_11_M.1","D042103","muscle stem cells",NA
"O5.D042103.3_11_M.1","D042103","B cells",NA
"C1.D042103.3_11_M.1","D042103","muscle stem cells",NA
"M2.D042103.3_11_M.1","D042103","endothelial cells",NA
"G4.D042103.3_11_M.1","D042103","muscle stem cells",NA
"P5.D042103.3_11_M.1","D042103","B cells",NA
"C12.D042185.3_9_M.1.1","D042185","muscle stem cells",NA
"G2.D042185.3_9_M.1.1","D042185","muscle stem cells",NA
"C18.D042185.3_9_M.1.1","D042185","muscle stem cells",NA
"C13.D042185.3_9_M.1.1","D042185","muscle stem cells",NA
"G3.D042185.3_9_M.1.1","D042185","muscle stem cells",NA
"K5.D042185.3_9_M.1.1","D042185","fibro-/adipogenic progenitors",NA
"G4.D042185.3_9_M.1.1","D042185","muscle stem cells",NA
"G5.D042185.3_9_M.1.1","D042185","muscle stem cells",NA
"K13.D042185.3_9_M.1.1","D042185","fibro-/adipogenic progenitors",NA
"C20.D042185.3_9_M.1.1","D042185","muscle stem cells",NA
"G6.D042185.3_9_M.1.1","D042185","muscle stem cells",NA
"C22.D042185.3_9_M.1.1","D042185","muscle stem cells",NA
"K19.D042185.3_9_M.1.1","D042185","fibro-/adipogenic progenitors",NA
"D7.D042185.3_9_M.1.1","D042185","muscle stem cells",NA
"G20.D042185.3_9_M.1.1","D042185","muscle stem cells",NA
"D4.D042185.3_9_M.1.1","D042185","muscle stem cells",NA
"G16.D042185.3_9_M.1.1","D042185","muscle stem cells",NA
"K20.D042185.3_9_M.1.1","D042185","fibro-/adipogenic progenitors",NA
"D11.D042185.3_9_M.1.1","D042185","muscle stem cells",NA
"G21.D042185.3_9_M.1.1","D042185","muscle stem cells",NA
"L4.D042185.3_9_M.1.1","D042185","fibro-/adipogenic progenitors",NA
"D16.D042185.3_9_M.1.1","D042185","muscle stem cells",NA
"H4.D042185.3_9_M.1.1","D042185","muscle stem cells",NA
"H10.D042185.3_9_M.1.1","D042185","muscle stem cells",NA
"D19.D042185.3_9_M.1.1","D042185","muscle stem cells",NA
"H5.D042185.3_9_M.1.1","D042185","muscle stem cells",NA
"E3.D042185.3_9_M.1.1","D042185","muscle stem cells",NA
"H13.D042185.3_9_M.1.1","D042185","muscle stem cells",NA
"E4.D042185.3_9_M.1.1","D042185","muscle stem cells",NA
"H22.D042185.3_9_M.1.1","D042185","muscle stem cells",NA
"E8.D042185.3_9_M.1.1","D042185","muscle stem cells",NA
"I19.D042185.3_9_M.1.1","D042185","fibro-/adipogenic progenitors",NA
"E5.D042185.3_9_M.1.1","D042185","muscle stem cells",NA
"I5.D042185.3_9_M.1.1","D042185","fibro-/adipogenic progenitors",NA
"B7.D042185.3_9_M.1.1","D042185","muscle stem cells",NA
"E9.D042185.3_9_M.1.1","D042185","muscle stem cells",NA
"I22.D042185.3_9_M.1.1","D042185","fibro-/adipogenic progenitors",NA
"B8.D042185.3_9_M.1.1","D042185","muscle stem cells",NA
"E16.D042185.3_9_M.1.1","D042185","muscle stem cells",NA
"J3.D042185.3_9_M.1.1","D042185","fibro-/adipogenic progenitors",NA
"B13.D042185.3_9_M.1.1","D042185","muscle stem cells",NA
"B12.D042185.3_9_M.1.1","D042185","muscle stem cells",NA
"E17.D042185.3_9_M.1.1","D042185","muscle stem cells",NA
"E20.D042185.3_9_M.1.1","D042185","muscle stem cells",NA
