"","plate.barcode","annotation","subannotation"
"A8.D042105.3_11_M.1.1","B002762","satellite cells 1","satellite cells 1"
"K10.D042105.3_11_M.1.1","B002762","fibro/adipogenic progenitors","fibro/adipogenic progenitors"
"L13.D042105.3_11_M.1.1","B002762","fibro/adipogenic progenitors","fibro/adipogenic progenitors"
"M15.D042105.3_11_M.1.1","B002762","endothelial cells","endothelial cells"
"N17.D042105.3_11_M.1.1","B002762","endothelial cells","endothelial cells"
"O19.D042105.3_11_M.1.1","B002762","B cells & T-cells","B cells & T-cells"
"P22.D042105.3_11_M.1.1","B002762","macrophages","macrophages"
"A9.D042105.3_11_M.1.1","B002762","satellite cells 1","satellite cells 1"
"B12.D042105.3_11_M.1.1","B002762","satellite cells 1","satellite cells 1"
"C14.D042105.3_11_M.1.1","B002762","satellite cells 1","satellite cells 1"
"B11.D042105.3_11_M.1.1","B002762","satellite cells 1","satellite cells 1"
"D16.D042105.3_11_M.1.1","B002762","satellite cells 1","satellite cells 1"
"E19.D042105.3_11_M.1.1","B002762","satellite cells 1","satellite cells 1"
"C13.D042105.3_11_M.1.1","B002762","satellite cells 1","satellite cells 1"
"D15.D042105.3_11_M.1.1","B002762","satellite cells 1","satellite cells 1"
"E18.D042105.3_11_M.1.1","B002762","satellite cells 1","satellite cells 1"
"F21.D042105.3_11_M.1.1","B002762","satellite cells 1","satellite cells 1"
"H2.D042105.3_11_M.1.1","B002762","satellite cells 1","satellite cells 1"
"I4.D042105.3_11_M.1.1","B002762","fibro/adipogenic progenitors","fibro/adipogenic progenitors"
"J8.D042105.3_11_M.1.1","B002762","fibro/adipogenic progenitors","fibro/adipogenic progenitors"
"F22.D042105.3_11_M.1.1","B002762","satellite cells 1","satellite cells 1"
"A10.D042105.3_11_M.1.1","B002762","satellite cells 1","satellite cells 1"
"C15.D042105.3_11_M.1.1","B002762","satellite cells 1","satellite cells 1"
"D17.D042105.3_11_M.1.1","B002762","satellite cells 1","satellite cells 1"
"E20.D042105.3_11_M.1.1","B002762","satellite cells 1","satellite cells 1"
"G1.D042105.3_11_M.1.1","B002762","satellite cells 1","satellite cells 1"
"H4.D042105.3_11_M.1.1","B002762","satellite cells 1","satellite cells 1"
"I6.D042105.3_11_M.1.1","B002762","fibro/adipogenic progenitors","fibro/adipogenic progenitors"
"H3.D042105.3_11_M.1.1","B002762","satellite cells 1","satellite cells 1"
"J10.D042105.3_11_M.1.1","B002762","fibro/adipogenic progenitors","fibro/adipogenic progenitors"
"K12.D042105.3_11_M.1.1","B002762","fibro/adipogenic progenitors","fibro/adipogenic progenitors"
"L15.D042105.3_11_M.1.1","B002762","satellite cells 1","satellite cells 1"
"I5.D042105.3_11_M.1.1","B002762","fibro/adipogenic progenitors","fibro/adipogenic progenitors"
"J9.D042105.3_11_M.1.1","B002762","fibro/adipogenic progenitors","fibro/adipogenic progenitors"
"L14.D042105.3_11_M.1.1","B002762","fibro/adipogenic progenitors","fibro/adipogenic progenitors"
"N18.D042105.3_11_M.1.1","B002762","endothelial cells","endothelial cells"
"M17.D042105.3_11_M.1.1","B002762","endothelial cells","endothelial cells"
"E21.D042105.3_11_M.1.1","B002762","satellite cells 1","satellite cells 1"
"G2.D042105.3_11_M.1.1","B002762","satellite cells 1","satellite cells 1"
"H5.D042105.3_11_M.1.1","B002762","satellite cells 1","satellite cells 1"
"J11.D042105.3_11_M.1.1","B002762","fibro/adipogenic progenitors","fibro/adipogenic progenitors"
"K13.D042105.3_11_M.1.1","B002762","fibro/adipogenic progenitors","fibro/adipogenic progenitors"
"L16.D042105.3_11_M.1.1","B002762","fibro/adipogenic progenitors","fibro/adipogenic progenitors"
"M18.D042105.3_11_M.1.1","B002762","endothelial cells","endothelial cells"
"O22.D042105.3_11_M.1.1","B002762","macrophages","macrophages"
"N19.D042105.3_11_M.1.1","B002762","endothelial cells","endothelial cells"
"A12.D042105.3_11_M.1.1","B002762","satellite cells 1","satellite cells 1"
"O21.D042105.3_11_M.1.1","B002762","B cells & T-cells","B cells & T-cells"
"A11.D042105.3_11_M.1.1","B002762","satellite cells 1","satellite cells 1"
"B14.D042105.3_11_M.1.1","B002762","satellite cells 1","satellite cells 1"
"C16.D042105.3_11_M.1.1","B002762","satellite cells 1","satellite cells 1"
"D18.D042105.3_11_M.1.1","B002762","satellite cells 1","satellite cells 1"
"B15.D042105.3_11_M.1.1","B002762","satellite cells 1","satellite cells 1"
"L17.D042105.3_11_M.1.1","B002762","fibro/adipogenic progenitors","fibro/adipogenic progenitors"
"M19.D042105.3_11_M.1.1","B002762","endothelial cells","endothelial cells"
"N21.D042105.3_11_M.1.1","B002762","endothelial cells","endothelial cells"
"P1.D042105.3_11_M.1.1","B002762","B cells & T-cells","B cells & T-cells"
"A13.D042105.3_11_M.1.1","B002762","satellite cells 1","satellite cells 1"
"B16.D042105.3_11_M.1.1","B002762","satellite cells 1","satellite cells 1"
"C18.D042105.3_11_M.1.1","B002762","satellite cells 1","satellite cells 1"
"D20.D042105.3_11_M.1.1","B002762","satellite cells 1","satellite cells 1"
"C17.D042105.3_11_M.1.1","B002762","satellite cells 1","satellite cells 1"
"F1.D042105.3_11_M.1.1","B002762","satellite cells 1","satellite cells 1"
"G4.D042105.3_11_M.1.1","B002762","satellite cells 1","satellite cells 1"
"H7.D042105.3_11_M.1.1","B002762","satellite cells 1","satellite cells 1"
"D19.D042105.3_11_M.1.1","B002762","satellite cells 1","satellite cells 1"
"E22.D042105.3_11_M.1.1","B002762","satellite cells 1","satellite cells 1"
"G3.D042105.3_11_M.1.1","B002762","satellite cells 1","satellite cells 1"
"H6.D042105.3_11_M.1.1","B002762","satellite cells 1","satellite cells 1"
"I8.D042105.3_11_M.1.1","B002762","fibro/adipogenic progenitors","fibro/adipogenic progenitors"
