,plate.barcode,annotation,subannotation
H6.MAA000607.3_9_M.1.1,MAA000607,thymocyte_1_mix of DN4_DP_immatureSPs,immature_SP_CD4
I8.MAA000607.3_9_M.1.1,MAA000607,thymocyte_1_mix of DN4_DP_immatureSPs,DP
J10.MAA000607.3_9_M.1.1,MAA000607,thymocyte_4_DP_rapidly dividing_favoring CD8 differenation,NA
K12.MAA000607.3_9_M.1.1,MAA000607,thymocyte_1_mix of DN4_DP_immatureSPs,immature_SP_CD4
A17.MAA000607.3_9_M.1.1,MAA000607,thymocyte_1_mix of DN4_DP_immatureSPs,DN4
A16.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
B18.MAA000607.3_9_M.1.1,MAA000607,thymocyte_1_mix of DN4_DP_immatureSPs,DP
D22.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
F2.MAA000607.3_9_M.1.1,MAA000607,thymocyte_1_mix of DN4_DP_immatureSPs,immature_SP_CD4
G4.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
B19.MAA000607.3_9_M.1.1,MAA000607,thymocyte_4_DP_rapidly dividing_favoring CD8 differenation,NA
A18.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
B20.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
C21.MAA000607.3_9_M.1.1,MAA000607,thymocyte_1_mix of DN4_DP_immatureSPs,immature_SP_CD4
C22.MAA000607.3_9_M.1.1,MAA000607,thymocyte_4_DP_rapidly dividing_favoring CD8 differenation,NA
E2.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
F4.MAA000607.3_9_M.1.1,MAA000607,thymocyte_1_mix of DN4_DP_immatureSPs,DN4
E1.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
F3.MAA000607.3_9_M.1.1,MAA000607,thymocyte_1_mix of DN4_DP_immatureSPs,immature_SP_CD4
G5.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
H7.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
I9.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
J11.MAA000607.3_9_M.1.1,MAA000607,thymocyte_1_mix of DN4_DP_immatureSPs,immature_SP_CD4
K13.MAA000607.3_9_M.1.1,MAA000607,thymocyte_2_DP_favoring CD8 differentiation,NA
G6.MAA000607.3_9_M.1.1,MAA000607,thymocyte_1_mix of DN4_DP_immatureSPs,immature_SP_CD4
