"","annotation"
"K9.MAA000583.3_9_M.1.1","Enterocyte 2"
"L20.MAA000583.3_9_M.1.1","Goblet Cell 1"
"N11.MAA000583.3_9_M.1.1","Goblet Cell 1"
"O19.MAA000583.3_9_M.1.1","Goblet Cell 1"
"C12.MAA000583.3_9_M.1.1","Enterocyte 2"
"E6.MAA000583.3_9_M.1.1","Enterocyte 2"
"F14.MAA000583.3_9_M.1.1","Goblet Cell 4"
"N12.MAA000583.3_9_M.1.1","Non-Cycling Undiff. Cell"
"O20.MAA000583.3_9_M.1.1","Goblet Cell 1"
"A18.MAA000583.3_9_M.1.1","Goblet Cell 4"
"C17.MAA000583.3_9_M.1.1","Enterocyte 2"
"A16.MAA000583.3_9_M.1.1","Enterocyte 2"
"F16.MAA000583.3_9_M.1.1","Enterocyte 2"
"C13.MAA000583.3_9_M.1.1","Goblet Cell 4"
"E7.MAA000583.3_9_M.1.1","Goblet Cell 1"
"F15.MAA000583.3_9_M.1.1","Enterocyte 2"
"H7.MAA000583.3_9_M.1.1","Goblet Cell 1"
"I17.MAA000583.3_9_M.1.1","Goblet Cell 4"
"K13.MAA000583.3_9_M.1.1","Enterocyte 2"
"L21.MAA000583.3_9_M.1.1","Non-Cycling Undiff. Cell"
"H8.MAA000583.3_9_M.1.1","Non-Cycling Undiff. Cell"
"A19.MAA000583.3_9_M.1.1","Goblet Cell 1"
"C18.MAA000583.3_9_M.1.1","Amplifying Cell"
"E9.MAA000583.3_9_M.1.1","Goblet Cell 4"
"F17.MAA000583.3_9_M.1.1","Enterocyte 2"
"H9.MAA000583.3_9_M.1.1","Amplifying Cell"
"I19.MAA000583.3_9_M.1.1","Amplifying Cell"
"K16.MAA000583.3_9_M.1.1","Enterocyte 2"
"I18.MAA000583.3_9_M.1.1","Goblet Cell 1"
"M8.MAA000583.3_9_M.1.1","Cycling Undiff. Cell"
"K14.MAA000583.3_9_M.1.1","Enterocyte 2"
"L22.MAA000583.3_9_M.1.1","Amplifying Cell"
"N13.MAA000583.3_9_M.1.1","Enterocyte 2"
"O21.MAA000583.3_9_M.1.1","Goblet Cell 1"
"A20.MAA000583.3_9_M.1.1","Non-Cycling Undiff. Cell"
"C19.MAA000583.3_9_M.1.1","Goblet Cell 1"
"E11.MAA000583.3_9_M.1.1","Amplifying Cell"
"N14.MAA000583.3_9_M.1.1","Enterocyte 2"
"F18.MAA000583.3_9_M.1.1","Cycling Undiff. Cell"
"H10.MAA000583.3_9_M.1.1","Goblet Cell 1"
"I21.MAA000583.3_9_M.1.1","Cycling Undiff. Cell"
"O22.MAA000583.3_9_M.1.1","Non-Cycling Undiff. Cell"
"K17.MAA000583.3_9_M.1.1","Enterocyte 2"
"A21.MAA000583.3_9_M.1.1","Goblet Cell 1"
"C20.MAA000583.3_9_M.1.1","Non-Cycling Undiff. Cell"
"E12.MAA000583.3_9_M.1.1","Non-Cycling Undiff. Cell"
"F20.MAA000583.3_9_M.1.1","Enterocyte 2"
"M9.MAA000583.3_9_M.1.1","Goblet Cell 1"
"N15.MAA000583.3_9_M.1.1","Enterocyte 2"
"P1.MAA000583.3_9_M.1.1","Non-Cycling Undiff. Cell"
"K18.MAA000583.3_9_M.1.1","Non-Cycling Undiff. Cell"
"M11.MAA000583.3_9_M.1.1","Goblet Cell 1"
"N16.MAA000583.3_9_M.1.1","Enterocyte 2"
"P2.MAA000583.3_9_M.1.1","Goblet Cell 1"
"H11.MAA000583.3_9_M.1.1","Non-Cycling Undiff. Cell"
"I22.MAA000583.3_9_M.1.1","Goblet Cell 1"
"M12.MAA000583.3_9_M.1.1","Goblet Cell 1"
"N17.MAA000583.3_9_M.1.1","Non-Cycling Undiff. Cell"
"P3.MAA000583.3_9_M.1.1","Non-Cycling Undiff. Cell"
"C21.MAA000583.3_9_M.1.1","Goblet Cell 1"
"E14.MAA000583.3_9_M.1.1","Enterocyte 2"
"F21.MAA000583.3_9_M.1.1","Enterocyte 2"
"H12.MAA000583.3_9_M.1.1","Non-Cycling Undiff. Cell"
"J1.MAA000583.3_9_M.1.1","Non-Cycling Undiff. Cell"
"K20.MAA000583.3_9_M.1.1","Enterocyte 2"
"F22.MAA000583.3_9_M.1.1","Goblet Cell 1"
"H13.MAA000583.3_9_M.1.1","Enterocyte 2"
"J2.MAA000583.3_9_M.1.1","Non-Cycling Undiff. Cell"
"K22.MAA000583.3_9_M.1.1","Non-Cycling Undiff. Cell"
"M14.MAA000583.3_9_M.1.1","Enterocyte 2"
"P4.MAA000583.3_9_M.1.1","Goblet Cell 1"
"C22.MAA000583.3_9_M.1.1","Goblet Cell 1"
"E16.MAA000583.3_9_M.1.1","Enterocyte 2"
"H15.MAA000583.3_9_M.1.1","Non-Cycling Undiff. Cell"
"J5.MAA000583.3_9_M.1.1","Goblet Cell 1"
"L1.MAA000583.3_9_M.1.1","Goblet Cell 3 (Batch Effect)"
"M16.MAA000583.3_9_M.1.1","Enterocyte 2"
"N19.MAA000583.3_9_M.1.1","Non-Cycling Undiff. Cell"
"P5.MAA000583.3_9_M.1.1","Non-Cycling Undiff. Cell"
"B3.MAA000583.3_9_M.1.1","Goblet Cell 1"
"E18.MAA000583.3_9_M.1.1","Goblet Cell 4"
"G2.MAA000583.3_9_M.1.1","Goblet Cell 4"
"E19.MAA000583.3_9_M.1.1","Goblet Cell 1"
"G5.MAA000583.3_9_M.1.1","Enterocyte 2"
"H17.MAA000583.3_9_M.1.1","Enterocyte 2"
"J7.MAA000583.3_9_M.1.1","Goblet Cell 1"
"L2.MAA000583.3_9_M.1.1","Goblet Cell 1"
"M17.MAA000583.3_9_M.1.1","Enterocyte 2"
"N20.MAA000583.3_9_M.1.1","Goblet Cell 1"
"P6.MAA000583.3_9_M.1.1","Non-Cycling Undiff. Cell"
"B4.MAA000583.3_9_M.1.1","Enterocyte 2"
"D2.MAA000583.3_9_M.1.1","Enterocyte 2"
"G7.MAA000583.3_9_M.1.1","Goblet Cell 1"
"H18.MAA000583.3_9_M.1.1","Non-Cycling Undiff. Cell"
"J8.MAA000583.3_9_M.1.1","Non-Cycling Undiff. Cell"
"L3.MAA000583.3_9_M.1.1","Goblet Cell 1"
"M18.MAA000583.3_9_M.1.1","Goblet Cell 1"
"N21.MAA000583.3_9_M.1.1","Non-Cycling Undiff. Cell"
"P7.MAA000583.3_9_M.1.1","Goblet Cell 1"
"B5.MAA000583.3_9_M.1.1","Non-Cycling Undiff. Cell"
"D3.MAA000583.3_9_M.1.1","Non-Cycling Undiff. Cell"
"E20.MAA000583.3_9_M.1.1","Non-Cycling Undiff. Cell"
"E21.MAA000583.3_9_M.1.1","Goblet Cell 1"
"G11.MAA000583.3_9_M.1.1","Goblet Cell 1"
"H19.MAA000583.3_9_M.1.1","Non-Cycling Undiff. Cell"
"J11.MAA000583.3_9_M.1.1","Goblet Cell 1"
"L5.MAA000583.3_9_M.1.1","Goblet Cell 1"
"M19.MAA000583.3_9_M.1.1","Goblet Cell 1"
"N22.MAA000583.3_9_M.1.1","Goblet Cell 1"
"B10.MAA000583.3_9_M.1.1","Non-Cycling Undiff. Cell"
"E22.MAA000583.3_9_M.1.1","Goblet Cell 1"
"G12.MAA000583.3_9_M.1.1","Goblet Cell 4"
"H20.MAA000583.3_9_M.1.1","Non-Cycling Undiff. Cell"
"J12.MAA000583.3_9_M.1.1","Goblet Cell 1"
"L6.MAA000583.3_9_M.1.1","Non-Cycling Undiff. Cell"
"M20.MAA000583.3_9_M.1.1","Goblet Cell 4"
"O4.MAA000583.3_9_M.1.1","Amplifying Cell"
"P9.MAA000583.3_9_M.1.1","Non-Cycling Undiff. Cell"
"B13.MAA000583.3_9_M.1.1","Enterocyte 2"
"D5.MAA000583.3_9_M.1.1","Enterocyte 2"
"B14.MAA000583.3_9_M.1.1","Enterocyte 2"
"D6.MAA000583.3_9_M.1.1","Enterocyte 2"
"F1.MAA000583.3_9_M.1.1","Goblet Cell 1"
"G13.MAA000583.3_9_M.1.1","Enterocyte 2"
"H21.MAA000583.3_9_M.1.1","Amplifying Cell"
"J13.MAA000583.3_9_M.1.1","Enterocyte 2"
"L7.MAA000583.3_9_M.1.1","Goblet Cell 1"
"M21.MAA000583.3_9_M.1.1","Goblet Cell 4"
"B16.MAA000583.3_9_M.1.1","Enterocyte 2"
"D7.MAA000583.3_9_M.1.1","Goblet Cell 1"
"F2.MAA000583.3_9_M.1.1","Non-Cycling Undiff. Cell"
"G14.MAA000583.3_9_M.1.1","Enterocyte 2"
"H22.MAA000583.3_9_M.1.1","Goblet Cell 1"
"J16.MAA000583.3_9_M.1.1","Goblet Cell 4"
"L8.MAA000583.3_9_M.1.1","Non-Cycling Undiff. Cell"
"O5.MAA000583.3_9_M.1.1","Goblet Cell 1"
"M22.MAA000583.3_9_M.1.1","Non-Cycling Undiff. Cell"
"O6.MAA000583.3_9_M.1.1","Goblet Cell 1"
"P11.MAA000583.3_9_M.1.1","Non-Cycling Undiff. Cell"
"P10.MAA000583.3_9_M.1.1","Enterocyte 2"
"D8.MAA000583.3_9_M.1.1","Non-Cycling Undiff. Cell"
"F3.MAA000583.3_9_M.1.1","Goblet Cell 1"
"G17.MAA000583.3_9_M.1.1","Enterocyte 2"
"J18.MAA000583.3_9_M.1.1","Non-Cycling Undiff. Cell"
"B18.MAA000583.3_9_M.1.1","Amplifying Cell"
"D11.MAA000583.3_9_M.1.1","Goblet Cell 1"
"F4.MAA000583.3_9_M.1.1","Goblet Cell 1"
"G18.MAA000583.3_9_M.1.1","Non-Cycling Undiff. Cell"
"I5.MAA000583.3_9_M.1.1","Goblet Cell 1"
"J19.MAA000583.3_9_M.1.1","Cycling Undiff. Cell"
"L11.MAA000583.3_9_M.1.1","Goblet Cell 1"
"N1.MAA000583.3_9_M.1.1","Goblet Cell 1"
"O9.MAA000583.3_9_M.1.1","Goblet Cell 1"
"O7.MAA000583.3_9_M.1.1","Enterocyte 2"
"P13.MAA000583.3_9_M.1.1","Enterocyte 2"
"B19.MAA000583.3_9_M.1.1","Non-Cycling Undiff. Cell"
"D12.MAA000583.3_9_M.1.1","Goblet Cell 1"
"F6.MAA000583.3_9_M.1.1","Enterocyte 2"
"G19.MAA000583.3_9_M.1.1","Non-Cycling Undiff. Cell"
"I6.MAA000583.3_9_M.1.1","Goblet Cell 1"
"J20.MAA000583.3_9_M.1.1","Enterocyte 2"
"L12.MAA000583.3_9_M.1.1","Non-Cycling Undiff. Cell"
"O10.MAA000583.3_9_M.1.1","Goblet Cell 1"
"P15.MAA000583.3_9_M.1.1","Non-Cycling Undiff. Cell"
"A6.MAA000583.3_9_M.1.1","Goblet Cell 1"
"I9.MAA000583.3_9_M.1.1","Cycling Undiff. Cell"
"J21.MAA000583.3_9_M.1.1","Non-Cycling Undiff. Cell"
"L13.MAA000583.3_9_M.1.1","Enterocyte 2"
"N4.MAA000583.3_9_M.1.1","Non-Cycling Undiff. Cell"
"O11.MAA000583.3_9_M.1.1","Enterocyte 2"
"P16.MAA000583.3_9_M.1.1","Enterocyte 2"
"A7.MAA000583.3_9_M.1.1","Amplifying Cell"
"B20.MAA000583.3_9_M.1.1","Non-Cycling Undiff. Cell"
"D13.MAA000583.3_9_M.1.1","Enterocyte 2"
"F7.MAA000583.3_9_M.1.1","Non-Cycling Undiff. Cell"
"G21.MAA000583.3_9_M.1.1","Non-Cycling Undiff. Cell"
"A10.MAA000583.3_9_M.1.1","Non-Cycling Undiff. Cell"
"I10.MAA000583.3_9_M.1.1","Goblet Cell 1"
"J22.MAA000583.3_9_M.1.1","Enterocyte 2"
"L15.MAA000583.3_9_M.1.1","Enterocyte 2"
"B21.MAA000583.3_9_M.1.1","Goblet Cell 1"
"D17.MAA000583.3_9_M.1.1","Enterocyte 2"
"F8.MAA000583.3_9_M.1.1","Goblet Cell 1"
"G22.MAA000583.3_9_M.1.1","Non-Cycling Undiff. Cell"
"A11.MAA000583.3_9_M.1.1","Cycling Undiff. Cell"
"B22.MAA000583.3_9_M.1.1","Goblet Cell 1"
"D18.MAA000583.3_9_M.1.1","Enterocyte 2"
"F9.MAA000583.3_9_M.1.1","Non-Cycling Undiff. Cell"
"O12.MAA000583.3_9_M.1.1","Goblet Cell 1"
"I11.MAA000583.3_9_M.1.1","Goblet Cell 1"
"P17.MAA000583.3_9_M.1.1","Enterocyte 2"
"K5.MAA000583.3_9_M.1.1","Non-Cycling Undiff. Cell"
"L16.MAA000583.3_9_M.1.1","Enterocyte 2"
"N6.MAA000583.3_9_M.1.1","Amplifying Cell"
"O15.MAA000583.3_9_M.1.1","Enterocyte 2"
"C14.MAA000611.3_8_M.1.1","Enterocyte 1"
"D18.MAA000611.3_8_M.1.1","Enterocyte 1"
"A8.MAA000611.3_8_M.1.1","Amplifying Cell"
"E22.MAA000611.3_8_M.1.1","Enterocyte 1"
"B11.MAA000611.3_8_M.1.1","Non-Cycling Undiff. Cell"
"A9.MAA000611.3_8_M.1.1","Non-Cycling Undiff. Cell"
"B12.MAA000611.3_8_M.1.1","Cycling Undiff. Cell"
"C15.MAA000611.3_8_M.1.1","Enterocyte 1"
"D19.MAA000611.3_8_M.1.1","Amplifying Cell"
"F1.MAA000611.3_8_M.1.1","Goblet Cell 2"
"A10.MAA000611.3_8_M.1.1","Amplifying Cell"
"B13.MAA000611.3_8_M.1.1","Amplifying Cell"
"C16.MAA000611.3_8_M.1.1","Enterocyte 1"
"F2.MAA000611.3_8_M.1.1","Non-Cycling Undiff. Cell"
"A11.MAA000611.3_8_M.1.1","Amplifying Cell"
"C17.MAA000611.3_8_M.1.1","Amplifying Cell"
"D22.MAA000611.3_8_M.1.1","Enterocyte 1"
"F4.MAA000611.3_8_M.1.1","Non-Cycling Undiff. Cell"
"E1.MAA000611.3_8_M.1.1","Amplifying Cell"
"F5.MAA000611.3_8_M.1.1","Non-Cycling Undiff. Cell"
"A12.MAA000611.3_8_M.1.1","Cycling Undiff. Cell"
"B15.MAA000611.3_8_M.1.1","Amplifying Cell"
"C18.MAA000611.3_8_M.1.1","Goblet Cell 4"
"A13.MAA000611.3_8_M.1.1","Enterocyte 1"
"C19.MAA000611.3_8_M.1.1","Non-Cycling Undiff. Cell"
"F6.MAA000611.3_8_M.1.1","Amplifying Cell"
"A14.MAA000611.3_8_M.1.1","Enterocyte 1"
"B17.MAA000611.3_8_M.1.1","Enterocyte 1"
"C21.MAA000611.3_8_M.1.1","Amplifying Cell"
"E3.MAA000611.3_8_M.1.1","Amplifying Cell"
"F7.MAA000611.3_8_M.1.1","Non-Cycling Undiff. Cell"
"B19.MAA000611.3_8_M.1.1","Non-Cycling Undiff. Cell"
"C22.MAA000611.3_8_M.1.1","Amplifying Cell"
"E4.MAA000611.3_8_M.1.1","Amplifying Cell"
"F8.MAA000611.3_8_M.1.1","Amplifying Cell"
"A15.MAA000611.3_8_M.1.1","Enterocyte 1"
"A16.MAA000611.3_8_M.1.1","Enterocyte 1"
"B20.MAA000611.3_8_M.1.1","Enterocyte 1"
"D1.MAA000611.3_8_M.1.1","Amplifying Cell"
"E5.MAA000611.3_8_M.1.1","Amplifying Cell"
"F9.MAA000611.3_8_M.1.1","Non-Cycling Undiff. Cell"
"D2.MAA000611.3_8_M.1.1","Amplifying Cell"
"E6.MAA000611.3_8_M.1.1","Non-Cycling Undiff. Cell"
"A17.MAA000611.3_8_M.1.1","Enterocyte 1"
"B21.MAA000611.3_8_M.1.1","Amplifying Cell"
"A18.MAA000611.3_8_M.1.1","Amplifying Cell"
"B22.MAA000611.3_8_M.1.1","Chromaffin Cell"
"D3.MAA000611.3_8_M.1.1","Amplifying Cell"
"E7.MAA000611.3_8_M.1.1","Chromaffin Cell"
"A20.MAA000611.3_8_M.1.1","Amplifying Cell"
"C1.MAA000611.3_8_M.1.1","Non-Cycling Undiff. Cell"
"D4.MAA000611.3_8_M.1.1","Amplifying Cell"
"E8.MAA000611.3_8_M.1.1","Amplifying Cell"
"D5.MAA000611.3_8_M.1.1","Non-Cycling Undiff. Cell"
"E9.MAA000611.3_8_M.1.1","Non-Cycling Undiff. Cell"
"A22.MAA000611.3_8_M.1.1","Amplifying Cell"
"C3.MAA000611.3_8_M.1.1","Amplifying Cell"
"D6.MAA000611.3_8_M.1.1","Goblet Cell 2"
"E10.MAA000611.3_8_M.1.1","Amplifying Cell"
"B1.MAA000611.3_8_M.1.1","Non-Cycling Undiff. Cell"
"C4.MAA000611.3_8_M.1.1","Amplifying Cell"
"D8.MAA000611.3_8_M.1.1","Cycling Undiff. Cell"
"E11.MAA000611.3_8_M.1.1","Cycling Undiff. Cell"
"B2.MAA000611.3_8_M.1.1","Non-Cycling Undiff. Cell"
"D9.MAA000611.3_8_M.1.1","Goblet Cell 2"
"E13.MAA000611.3_8_M.1.1","Enterocyte 1"
"C5.MAA000611.3_8_M.1.1","Amplifying Cell"
"C6.MAA000611.3_8_M.1.1","Cycling Undiff. Cell"
"D10.MAA000611.3_8_M.1.1","Amplifying Cell"
"E14.MAA000611.3_8_M.1.1","Enterocyte 1"
"A1.MAA000611.3_8_M.1.1","Non-Cycling Undiff. Cell"
"B4.MAA000611.3_8_M.1.1","Amplifying Cell"
"C7.MAA000611.3_8_M.1.1","Non-Cycling Undiff. Cell"
"D11.MAA000611.3_8_M.1.1","Non-Cycling Undiff. Cell"
"E15.MAA000611.3_8_M.1.1","Enterocyte 1"
"D12.MAA000611.3_8_M.1.1","Non-Cycling Undiff. Cell"
"E16.MAA000611.3_8_M.1.1","Enterocyte 1"
"A2.MAA000611.3_8_M.1.1","Amplifying Cell"
"B5.MAA000611.3_8_M.1.1","Amplifying Cell"
"C8.MAA000611.3_8_M.1.1","Non-Cycling Undiff. Cell"
"A4.MAA000611.3_8_M.1.1","Goblet Cell 2"
"B7.MAA000611.3_8_M.1.1","Cycling Undiff. Cell"
"A3.MAA000611.3_8_M.1.1","Non-Cycling Undiff. Cell"
"C10.MAA000611.3_8_M.1.1","Amplifying Cell"
"D14.MAA000611.3_8_M.1.1","Enterocyte 1"
"B6.MAA000611.3_8_M.1.1","Goblet Cell 2"
"C9.MAA000611.3_8_M.1.1","Amplifying Cell"
"D13.MAA000611.3_8_M.1.1","Enterocyte 1"
"E17.MAA000611.3_8_M.1.1","Enterocyte 1"
"E18.MAA000611.3_8_M.1.1","Enterocyte 1"
"A5.MAA000611.3_8_M.1.1","Goblet Cell 2"
"B8.MAA000611.3_8_M.1.1","Non-Cycling Undiff. Cell"
"C11.MAA000611.3_8_M.1.1","Amplifying Cell"
"E19.MAA000611.3_8_M.1.1","Non-Cycling Undiff. Cell"
"C12.MAA000611.3_8_M.1.1","Cycling Undiff. Cell"
"D16.MAA000611.3_8_M.1.1","Enterocyte 1"
"E20.MAA000611.3_8_M.1.1","Enterocyte 1"
"A6.MAA000611.3_8_M.1.1","Goblet Cell 2"
"G6.MAA000611.3_8_M.1.1","Non-Cycling Undiff. Cell"
"H8.MAA000611.3_8_M.1.1","Amplifying Cell"
"I12.MAA000611.3_8_M.1.1","Goblet Cell 2"
"J17.MAA000611.3_8_M.1.1","Enterocyte 1"
"K20.MAA000611.3_8_M.1.1","Tuft Cell"
"M2.MAA000611.3_8_M.1.1","Cycling Undiff. Cell"
"N5.MAA000611.3_8_M.1.1","Amplifying Cell"
"O8.MAA000611.3_8_M.1.1","Amplifying Cell"
"P12.MAA000611.3_8_M.1.1","Amplifying Cell"
"A7.MAA000611.3_8_M.1.1","Non-Cycling Undiff. Cell"
"B10.MAA000611.3_8_M.1.1","Cycling Undiff. Cell"
"C13.MAA000611.3_8_M.1.1","Enterocyte 1"
"D17.MAA000611.3_8_M.1.1","Enterocyte 1"
"I13.MAA000611.3_8_M.1.1","Enterocyte 1"
"J18.MAA000611.3_8_M.1.1","Amplifying Cell"
"K21.MAA000611.3_8_M.1.1","Amplifying Cell"
"M3.MAA000611.3_8_M.1.1","Non-Cycling Undiff. Cell"
"N6.MAA000611.3_8_M.1.1","Non-Cycling Undiff. Cell"
"O9.MAA000611.3_8_M.1.1","Goblet Cell 2"
"P13.MAA000611.3_8_M.1.1","Enterocyte 1"
"G7.MAA000611.3_8_M.1.1","Non-Cycling Undiff. Cell"
"H9.MAA000611.3_8_M.1.1","Amplifying Cell"
"P14.MAA000611.3_8_M.1.1","Enterocyte 1"
"G9.MAA000611.3_8_M.1.1","Amplifying Cell"
"H11.MAA000611.3_8_M.1.1","Non-Cycling Undiff. Cell"
"G8.MAA000611.3_8_M.1.1","Cycling Undiff. Cell"
"I16.MAA000611.3_8_M.1.1","Non-Cycling Undiff. Cell"
"J20.MAA000611.3_8_M.1.1","Amplifying Cell"
"H10.MAA000611.3_8_M.1.1","Goblet Cell 2"
"I14.MAA000611.3_8_M.1.1","Enterocyte 1"
"J19.MAA000611.3_8_M.1.1","Enterocyte 1"
"K22.MAA000611.3_8_M.1.1","Non-Cycling Undiff. Cell"
"M4.MAA000611.3_8_M.1.1","Cycling Undiff. Cell"
"N7.MAA000611.3_8_M.1.1","Non-Cycling Undiff. Cell"
"O10.MAA000611.3_8_M.1.1","Amplifying Cell"
"L1.MAA000611.3_8_M.1.1","Goblet Cell 2"
"G10.MAA000611.3_8_M.1.1","Non-Cycling Undiff. Cell"
"H12.MAA000611.3_8_M.1.1","Goblet Cell 2"
"I17.MAA000611.3_8_M.1.1","Enterocyte 1"
"J21.MAA000611.3_8_M.1.1","Amplifying Cell"
"M5.MAA000611.3_8_M.1.1","Amplifying Cell"
"L2.MAA000611.3_8_M.1.1","Amplifying Cell"
"M6.MAA000611.3_8_M.1.1","Amplifying Cell"
"N9.MAA000611.3_8_M.1.1","Cycling Undiff. Cell"
"N8.MAA000611.3_8_M.1.1","Amplifying Cell"
"O11.MAA000611.3_8_M.1.1","Non-Cycling Undiff. Cell"
"P15.MAA000611.3_8_M.1.1","Enterocyte 1"
"O12.MAA000611.3_8_M.1.1","Amplifying Cell"
"G11.MAA000611.3_8_M.1.1","Cycling Undiff. Cell"
"H13.MAA000611.3_8_M.1.1","Enterocyte 1"
"I18.MAA000611.3_8_M.1.1","Amplifying Cell"
"J22.MAA000611.3_8_M.1.1","Enterocyte 1"
"L3.MAA000611.3_8_M.1.1","Cycling Undiff. Cell"
"M7.MAA000611.3_8_M.1.1","Amplifying Cell"
"N10.MAA000611.3_8_M.1.1","Goblet Cell 2"
"O13.MAA000611.3_8_M.1.1","Enterocyte 1"
"P17.MAA000611.3_8_M.1.1","Amplifying Cell"
"P16.MAA000611.3_8_M.1.1","Enterocyte 1"
"M8.MAA000611.3_8_M.1.1","Amplifying Cell"
"N12.MAA000611.3_8_M.1.1","Amplifying Cell"
"O14.MAA000611.3_8_M.1.1","Enterocyte 1"
"G13.MAA000611.3_8_M.1.1","Enterocyte 1"
"G12.MAA000611.3_8_M.1.1","Amplifying Cell"
"H14.MAA000611.3_8_M.1.1","Non-Cycling Undiff. Cell"
"I20.MAA000611.3_8_M.1.1","Amplifying Cell"
"K1.MAA000611.3_8_M.1.1","Amplifying Cell"
"L4.MAA000611.3_8_M.1.1","Non-Cycling Undiff. Cell"
"H15.MAA000611.3_8_M.1.1","Enterocyte 1"
"G14.MAA000611.3_8_M.1.1","Enterocyte 1"
"H16.MAA000611.3_8_M.1.1","Enterocyte 1"
"I21.MAA000611.3_8_M.1.1","Non-Cycling Undiff. Cell"
"I22.MAA000611.3_8_M.1.1","Goblet Cell 4"
"K3.MAA000611.3_8_M.1.1","Amplifying Cell"
"L6.MAA000611.3_8_M.1.1","Non-Cycling Undiff. Cell"
"L5.MAA000611.3_8_M.1.1","Non-Cycling Undiff. Cell"
"M9.MAA000611.3_8_M.1.1","Amplifying Cell"
"N13.MAA000611.3_8_M.1.1","Enterocyte 1"
"O15.MAA000611.3_8_M.1.1","Enterocyte 1"
"P19.MAA000611.3_8_M.1.1","Enterocyte 1"
"M10.MAA000611.3_8_M.1.1","Amplifying Cell"
"G15.MAA000611.3_8_M.1.1","Enterocyte 1"
"H17.MAA000611.3_8_M.1.1","Enterocyte 1"
"J1.MAA000611.3_8_M.1.1","Goblet Cell 2"
"K4.MAA000611.3_8_M.1.1","Amplifying Cell"
"L7.MAA000611.3_8_M.1.1","Amplifying Cell"
"M11.MAA000611.3_8_M.1.1","Non-Cycling Undiff. Cell"
"N15.MAA000611.3_8_M.1.1","Enterocyte 1"
"O17.MAA000611.3_8_M.1.1","Enterocyte 1"
"N14.MAA000611.3_8_M.1.1","Enterocyte 1"
"P21.MAA000611.3_8_M.1.1","Amplifying Cell"
"O16.MAA000611.3_8_M.1.1","Enterocyte 1"
"P20.MAA000611.3_8_M.1.1","Cycling Undiff. Cell"
"J2.MAA000611.3_8_M.1.1","Non-Cycling Undiff. Cell"
"K5.MAA000611.3_8_M.1.1","Non-Cycling Undiff. Cell"
"L8.MAA000611.3_8_M.1.1","Amplifying Cell"
"M12.MAA000611.3_8_M.1.1","Amplifying Cell"
"N16.MAA000611.3_8_M.1.1","Enterocyte 1"
"O18.MAA000611.3_8_M.1.1","Amplifying Cell"
"P22.MAA000611.3_8_M.1.1","Amplifying Cell"
"F11.MAA000611.3_8_M.1.1","Cycling Undiff. Cell"
"G16.MAA000611.3_8_M.1.1","Enterocyte 1"
"H18.MAA000611.3_8_M.1.1","Amplifying Cell"
"O20.MAA000611.3_8_M.1.1","Enterocyte 1"
"F13.MAA000611.3_8_M.1.1","Enterocyte 1"
"F12.MAA000611.3_8_M.1.1","Amplifying Cell"
"G18.MAA000611.3_8_M.1.1","Enterocyte 1"
"H20.MAA000611.3_8_M.1.1","Amplifying Cell"
"G17.MAA000611.3_8_M.1.1","Enterocyte 1"
"H19.MAA000611.3_8_M.1.1","Goblet Cell 2"
"J3.MAA000611.3_8_M.1.1","Amplifying Cell"
"K6.MAA000611.3_8_M.1.1","Non-Cycling Undiff. Cell"
