"","annotation"
"A12.MAA000583.3_9_M.1.1","Non-Cycling Undiff. Cell"
"C5.MAA000583.3_9_M.1.1","Goblet Cell 1"
"D20.MAA000583.3_9_M.1.1","Non-Cycling Undiff. Cell"
"F11.MAA000583.3_9_M.1.1","Non-Cycling Undiff. Cell"
"H2.MAA000583.3_9_M.1.1","Non-Cycling Undiff. Cell"
"I12.MAA000583.3_9_M.1.1","Enterocyte 2"
"A13.MAA000583.3_9_M.1.1","Enterocyte 2"
"C6.MAA000583.3_9_M.1.1","Non-Cycling Undiff. Cell"
"D21.MAA000583.3_9_M.1.1","Goblet Cell 1"
"F12.MAA000583.3_9_M.1.1","Goblet Cell 1"
"H3.MAA000583.3_9_M.1.1","Amplifying Cell"
"I13.MAA000583.3_9_M.1.1","Goblet Cell 4"
"K7.MAA000583.3_9_M.1.1","Non-Cycling Undiff. Cell"
"L18.MAA000583.3_9_M.1.1","Goblet Cell 1"
"N8.MAA000583.3_9_M.1.1","Goblet Cell 1"
"L17.MAA000583.3_9_M.1.1","Enterocyte 2"
"N7.MAA000583.3_9_M.1.1","Goblet Cell 1"
"P19.MAA000583.3_9_M.1.1","Non-Cycling Undiff. Cell"
"F13.MAA000583.3_9_M.1.1","Enterocyte 2"
"H5.MAA000583.3_9_M.1.1","Enterocyte 2"
"I14.MAA000583.3_9_M.1.1","Enterocyte 2"
"K8.MAA000583.3_9_M.1.1","Goblet Cell 1"
"L19.MAA000583.3_9_M.1.1","Enterocyte 2"
"N9.MAA000583.3_9_M.1.1","Goblet Cell 1"
"O18.MAA000583.3_9_M.1.1","Non-Cycling Undiff. Cell"
"P21.MAA000583.3_9_M.1.1","Amplifying Cell"
"A14.MAA000583.3_9_M.1.1","Enterocyte 2"
"C11.MAA000583.3_9_M.1.1","Non-Cycling Undiff. Cell"
"D22.MAA000583.3_9_M.1.1","Goblet Cell 1"
"H6.MAA000583.3_9_M.1.1","Enterocyte 2"
"I16.MAA000583.3_9_M.1.1","Enterocyte 2"
